sourcetype,tech_category,scope,security_classification,security_relevance,data_models,vendor,description,expanded_desc
claroty:baseline,security,security,,med,Network_Traffic.All_Traffic,Claroty,Claroty OT asset baseline data,"Claroty xDome / CTD asset baseline data - OT asset inventory, protocol fingerprint, vendor/model attribution."
claroty:event,security,security,,high,"Alerts.Alerts, Network_Traffic.All_Traffic",Claroty,Claroty OT security events,"Claroty xDome / CTD security event - OT anomaly, vulnerability, policy violation, and known-threat alerts on ICS networks."
cloudflare:audit,network,security,WAF,med,Change.All_Changes,Cloudflare,Cloudflare audit log events,Cloudflare account audit log - dashboard and API actions performed against the Cloudflare control plane. Feeds the Change data model.
cloudflare:dns_logs,network,"security, operational",,med,Network_Resolution.DNS,Cloudflare,Cloudflare DNS query logs,Cloudflare DNS query log - authoritative and 1.1.1.1 resolver query records. Feeds Network_Resolution.DNS.
cloudflare:firewall_events,network,security,WAF,high,"Intrusion_Detection.IDS_Attacks, Web.Web",Cloudflare,Cloudflare firewall events,"Cloudflare firewall and WAF event log - per-request rule matches with action, ruleset, and triggering criteria. Feeds the Web data model."
cloudflare:logpush,network,security,WAF,high,"Web.Web, Network_Traffic.All_Traffic",Cloudflare,Cloudflare Logpush HTTP events,Cloudflare Logpush HTTP request log - per-request CDN/HTTP traffic with security and performance fields. Feeds the Web data model.
cloudhealth:assets:azure,azure,operational,,low,Compute_Inventory.All_Inventory,VMware,CloudHealth Azure asset inventory,"VMware Aria Cost (CloudHealth) asset inventory data for Azure subscriptions covering VMs, storage accounts, network resources, tags, and cost-attribution metadata."
cloudhealth:assets:gcp,gcp,operational,,low,Compute_Inventory.All_Inventory,VMware,CloudHealth GCP asset inventory,"VMware Aria Cost (CloudHealth) asset inventory data for Google Cloud projects covering compute, storage, network resources, labels, and cost-attribution metadata."
cloud-init,linux,operational,,low,,,Infrastructure logs (cloud-init),"Linux cloud-init agent log on cloud VMs - first-boot configuration, user data execution, module run status. Operational provisioning evidence."
cloud-init-output,linux,operational,,low,,,Cloud-init bootstrap output log,"Cloud-init bootstrap output log written during cloud instance initialization (AWS EC2, Azure, GCP, etc.). Captures user-data script execution, network setup, package installation, and module run results."
cnf,linux,operational,,none,,,Configuration data,Generic configuration data sourcetype - free-form config file contents. Inventory/audit evidence.
collectd,linux,operational,,none,Performance.All_Performance,,System performance metrics,"collectd metric daemon output - host CPU, memory, disk, network, interface counters in collectd's protocol or write_http output. Performance telemetry."
collectd.conf,linux,operational,,none,Performance.All_Performance,,System performance metrics,collectd configuration file snapshot - the running collectd.conf content collected as inventory/config evidence.
CommandExecution,linux,security,,med,Endpoint.Processes,,Command execution audit logs,"Generic command execution audit log - captures executed commands on a host through PowerShell logging, audit subsystem, or commercial agents. Feeds the Endpoint.Processes dataset."
config,linux,unknown,,low,,,config-too_small,Generic config-too_small artifact - the Splunk Universal Forwarder filename-pattern source emitted when a config-like file is too short to typesniff. Investigate input and reroute.
config_file,linux,operational,,low,Change.All_Changes,Linux,Splunk_TA_nix config file monitor,Generic Splunk_TA_nix configuration file monitor sourcetype - emits the contents of any /etc file listed in inputs.conf for compliance evidence.
confluence,app,operational,,low,Change.All_Changes,Atlassian,Confluence wiki logs,"Atlassian Confluence access/audit log - page view/create/update, admin and permission activity."
consul,app,operational,,med,Change.All_Changes,HashiCorp,HashiCorp Consul service mesh logs,"HashiCorp Consul service mesh log - service registration, health-check results, ACL token events. Operational service-discovery telemetry."
containerd:events,app,operational,,low,Endpoint.Processes,CNCF,containerd runtime events,"containerd container runtime events - container/image lifecycle (create, start, stop, remove). Operational core runtime telemetry."
cpu,linux,operational,,none,Performance.CPU,Linux/Unix,CPU utilization metrics,Splunk_TA_nix CPU utilization metric input - per-core utilization sampled at intervals. Pure performance telemetry.
cribl:internal,app,operational,,none,,Cribl,Cribl internal logs,"Cribl Stream internal log - pipeline route status, worker process activity, queue and persistent state. Operational diagnostics for the Cribl observability pipeline."
cron,linux,operational,,low,Change.All_Changes,Linux/Unix,Cron job execution logs,"Linux/Unix cron daemon log - scheduled job invocations and completion status. Operational, with limited security value for spotting unauthorized cron entries."
crowdstrike:device:json,security,security,EDR,high,"Compute_Inventory.All_Inventory, Endpoint.Filesystem, Endpoint.Ports, Endpoint.Processes, Endpoint.Registry, Endpoint.Services, Network_Resolution.DNS",CrowdStrike,CrowdStrike device telemetry (JSON),"CrowdStrike Falcon device inventory feed - sensor host attributes, OS, last seen, sensor version, platform. Critical for ES Assets/Identities enrichment."
CrowdStrike:Event:Streams:JSON,security,security,EDR,high,"Alerts.Alerts, Authentication.Authentication",CrowdStrike,CrowdStrike event streams (JSON),"CrowdStrike Falcon Streaming API event stream - detection summaries, audit events, IDP events delivered as JSON. Foundational Falcon source feeding Endpoint, Authentication, and Change data models."
crowdstrike:events:detections,security,security,EDR,high,"Alerts.Alerts, Intrusion_Detection.IDS_Attacks",CrowdStrike,CrowdStrike Falcon detection events,"CrowdStrike Falcon detection events extracted from the Event Streams feed - per-detection records with severity, technique, tactic, behavior, and host context. Feeds Alerts and Endpoint data models."
crowdstrike:events:incidents,security,security,EDR,high,Alerts.Alerts,CrowdStrike,CrowdStrike Falcon incident data,"CrowdStrike Falcon incident records - groupings of related detections with assigned analyst, status, and tactic chain. Used for case-management and ES notable correlation."
crowdstrike:events:indicators,security,security,TIP,high,Threat_Intelligence.Threat_Intel,CrowdStrike,CrowdStrike threat indicators,"CrowdStrike threat intelligence indicators - hashes, IPs, domains, URLs with malware family and actor attributions. TIP-grade enrichment data."
crowdstrike:events:sensor,security,security,EDR,high,"Endpoint.Processes, Malware.Malware_Operations",CrowdStrike,CrowdStrike Falcon sensor events,"CrowdStrike Falcon sensor telemetry events - process, network, file, and authentication events from the agent. Underpins behavioral detections and threat hunting in Falcon."
crowdstrike:filevantage:json,security,security,EDR,high,"Endpoint.Filesystem, Change.All_Changes",CrowdStrike,CrowdStrike FileVantage FIM events,"CrowdStrike Falcon FileVantage file integrity monitoring events - file/registry create, modify, delete on monitored paths. Feeds the Change data model."
crowdstrike:indicators:json,security,security,"EDR, TIP",high,Intrusion_Detection.IDS_Attacks,CrowdStrike,CrowdStrike threat intelligence,CrowdStrike Falcon Intelligence indicator JSON feed - hash/IP/domain IOCs with threat actor and malware metadata. Feeds the CIM Threat Intelligence framework.
crowdstrike:spotlight,security,security,VMS,high,Vulnerabilities.Vulnerabilities,CrowdStrike,CrowdStrike Spotlight vulnerability data,CrowdStrike Spotlight vulnerability findings - per-host/per-CVE exposure with remediation guidance. Primary CrowdStrike VMS source feeding the Vulnerabilities data model.
crowdstrike:unified:alert:json,security,security,EDR,high,"Alerts.Alerts, Authentication.Authentication, Endpoint.Filesystem, Endpoint.Processes, Intrusion_Detection.IDS_Attacks, Malware.Malware_Attacks",CrowdStrike,CrowdStrike unified alert data (JSON),"CrowdStrike unified alerts JSON - normalized alert schema spanning Falcon detections, Identity Protection, mobile, and cloud alerts. Modern preferred ingest path."
csv,linux,operational,,none,,,Splunk default sourcetype for CSV files,Splunk default sourcetype for CSV files - tabular lookup-style data ingested verbatim. CIM mapping depends on file content; usually used for lookups rather than primary events.
cta_linux_agent,linux,operational,,low,,Linux,Linux cta_linux_agent-2,"Cisco Telemetry Agent (formerly Tetration / Secure Workload) Linux sensor log - workload telemetry, flow and process visibility. Security-relevant micro-segmentation source."
cta_linux_handler,linux,operational,,low,,Linux,Linux cta_linux_handler-2,"Cisco Telemetry Agent handler component log - the userland process that ships sensor data, with rotation suffixes typically following the same pattern as the agent."
cups_access,linux,operational,,none,,CUPS,Print server logs,"CUPS print server access log - print job requests with user, printer, document size, and result. Feeds the Web/Inventory data models lightly."
cups_error,linux,operational,,none,,CUPS,Print server logs,"CUPS print server error log - print job failures, driver errors, and daemon diagnostic messages."
cyberark:conjur,security,security,PAM,high,"Authentication.Authentication, Data_Access.All_Data_Access_Logs",CyberArk,CyberArk Conjur secrets logs,"CyberArk Conjur log - secret retrieval, policy load/update, and authn events from the open-source / DAP secrets engine."
cyberark:epm,security,security,PAM,high,"Endpoint.Processes, Change.All_Changes",CyberArk,CyberArk Endpoint Privilege Mgr,"CyberArk Endpoint Privilege Manager - elevation, application policy verdict, threat detection events from the EPM agent."
cyberark:pam,security,security,PAM,high,"Authentication.Authentication, Data_Access.All_Data_Access_Logs",CyberArk,CyberArk PAM session logs,"CyberArk Privileged Access Manager session and password activity - vault retrieve, PSM session start/end, recording metadata."
cyberark:vault:audit,security,security,PAM,high,"Authentication.Authentication, Change.All_Changes",CyberArk,CyberArk Vault audit logs,"CyberArk Vault audit log - core PAM vault events: safe access, password change, account add/remove, admin actions."
cylance,security,security,EDR,high,"Endpoint.Processes, Malware.Malware_Operations",Cylance,Cylance EDR logs,Cylance / BlackBerry CylancePROTECT log - AI-driven malware verdict and memory protection events. Feeds the Malware and Endpoint data models.
datadog:event,app,operational,,none,"Alerts.Alerts, Performance.All_Performance",Datadog,Datadog event stream,"Datadog event stream - alert state changes, deploys, custom events ingested from the Datadog Events API for cross-tool correlation."
db2:audit,app,security,,med,"Data_Access.All_Data_Access_Logs, Authentication.Authentication",IBM,IBM Db2 audit logs,"IBM Db2 audit log - SQL access, authorization, security, validation event categories. Feeds the Change data model for Db2 instances."
delinea:privilegemanager,security,security,PAM,high,"Endpoint.Processes, Change.All_Changes",Delinea,Delinea Privilege Manager logs,"Delinea (formerly Thycotic) Privilege Manager log - endpoint application elevation, allow/deny policy decisions, justification capture."
delinea:secretserver,security,security,PAM,high,"Authentication.Authentication, Data_Access.All_Data_Access_Logs",Delinea,Delinea Secret Server audit,"Delinea Secret Server audit log - secret access, password change, folder permission, and admin activity. PAM Change/Authentication contributor."
dependency-agent-install,azure,operational,,low,,Microsoft,Azure dependency agent logs,"Azure Monitor Dependency Agent installation log on Linux/Windows VMs - install progress, prerequisite checks, registration with the workspace."
df,linux,operational,,none,Performance.Storage,Linux/Unix,Disk filesystem usage,"Splunk_TA_nix `df` scripted input - filesystem mount, size, used, available, and percentage capacity. Storage capacity monitoring."
dhcp,network,operational,,low,Network_Traffic.All_Traffic,,DHCP server logs,Generic DHCP server log catch-all - lease offer/request/ack/release. Critical for IP-to-MAC-to-asset attribution. Feeds the Network_Sessions data model.
dmesg,linux,operational,,low,Alerts.Alerts,Linux/Unix,Kernel ring buffer messages,"Linux/Unix kernel ring buffer output - boot messages, hardware events, driver state changes. Operational diagnostics."
dnf,linux,operational,,low,Updates.All_Updates,Linux,DNF package manager logs,"DNF (Dandified YUM) package manager top-level log from /var/log/dnf.log - install/update/remove transactions on RHEL 8+, Fedora, CentOS Stream, Rocky, and Alma."
dnf.librepo,linux,operational,,low,Updates.Updates,Linux,Package manager logs,"DNF librepo subcomponent log - records repository metadata download activity (mirrorlist resolution, repodata fetches) underneath the dnf transaction layer."
dnf.librepo.log,linux,operational,,low,Updates.Updates,Linux,Package manager logs,Same as dnf.librepo - the explicit filename form created by some Splunk_TA_nix inputs that monitor /var/log/dnf.librepo.log directly.
dnf.log,linux,operational,,low,Updates.Updates,Linux,Package manager logs,Explicit filename form of dnf - same content as the dnf sourcetype but routed when the input monitors the .log path literally.
dnf.rpm,linux,operational,,low,Updates.Updates,Linux,Package manager logs,DNF/RPM transaction log from /var/log/dnf.rpm.log - low-level rpm operations performed on behalf of dnf. Useful for package inventory and CIM Updates dataset.
dns,network,security,,med,Network_Resolution.DNS,,DNS server logs,"Generic DNS server/event sourcetype - should be routed to a vendor-specific sourcetype (bind, infoblox:dns, etc.). Feeds Network_Resolution.DNS."
docker,app,operational,,med,"Change.All_Changes, Endpoint.Processes",Docker,Docker container logs,"Docker daemon log - container start/stop/die, image pull, network attach events. Operational with Change overlap when container lifecycle is security-relevant."
docker:keycloak,app,security,IAM,high,Authentication.Authentication,Keycloak,Keycloak authentication logs (Docker),"Keycloak logs collected from a Dockerized deployment - same authentication/admin event payload as keycloak, namespaced by the container runtime that captured it."
dovecot,linux,security,ESG,med,Email.All_Email,Dovecot,Dovecot IMAP/POP3 server logs,"Dovecot IMAP/POP3 server log - login success/failure, mailbox access, and protocol session events."
dpkg,linux,operational,,low,Updates.All_Updates,Linux,DPKG package manager logs,"Debian dpkg package operations log from /var/log/dpkg.log - per-package install/upgrade/remove status, the source of truth beneath apt for Updates data model mapping."
dragos:event,security,security,,high,"Alerts.Alerts, Intrusion_Detection.IDS_Attacks",Dragos,Dragos ICS threat events,"Dragos Platform OT/ICS threat event - asset, vulnerability, and threat behavior detections in industrial environments."
dropbox,security,security,CASB,med,"Change.All_Changes, Authentication.Authentication",Dropbox,Dropbox cloud storage logs,"Dropbox Business event log - team activity, sharing, sign-in, and admin events from the Dropbox API. CASB-grade audit trail."
duo,security,security,MFA,high,Authentication.Authentication,Duo Security,Duo MFA logs,"Cisco Duo Security multi-factor authentication log - admin, authentication, and telephony event types from the Duo Admin API. Foundational MFA Authentication source."
dynatrace:event,app,operational,,none,"Alerts.Alerts, Application_State.All_Application_State",Dynatrace,Dynatrace problem/event stream,"Dynatrace event/notification stream - problem events, lifecycle, deployment markers from the Dynatrace API."
dynatrace:problem,app,operational,,none,Alerts.Alerts,Dynatrace,Dynatrace problem notifications,Dynatrace problem notifications - opened/closed problem objects with impacted entities and root cause analysis output.
ecs:containerinsights:performance,app,operational,,low,Performance.All_Performance,Kubernetes,Kubernetes metrics,"AWS ECS / EKS Container Insights performance log group - CPU, memory, network, and disk metrics per cluster/node/pod. Operational metric stream."
elasticsearch,app,operational,,med,Alerts.Alerts,Elastic,Elasticsearch search engine logs,"Elasticsearch cluster log - master, gateway, indexing, shard, and slow-log content. Operational platform health."
error,linux,operational,,low,,,Error logs,Generic error log catch-all - vendor varies. Should be re-routed to a parsed sourcetype where possible.
error_log,app,operational,,low,,Apache,Apache error logs,Generic error_log file sourcetype - typically Apache or other web/server error stream when no specific routing exists.
eset,security,security,EPP,high,Malware.Malware_Operations,ESET,ESET antivirus logs,"ESET endpoint security log - detection, firewall, web protection events from the ESET PROTECT console. Feeds Malware and Endpoint data models."
exec,linux,security,,med,Endpoint.Processes,,Command execution logs,Generic command/script execution log - varies by source; often used for scripted-input outputs. Feeds Endpoint data model when context permits.
exim,linux,security,ESG,med,Email.All_Email,Exim,Exim mail server logs,"Exim MTA log - mail accept/reject, routing, delivery, and ACL decisions. Feeds the Email data model."
extension,azure,operational,,low,,Microsoft,Azure VM agent/handler logs,Azure VM extension handler log - extension install/upgrade/uninstall and command execution events.
f5,network,security,FW,med,"Web.Proxy, Network_Traffic.All_Traffic",F5,F5 BIG-IP load balancer logs,F5 BIG-IP umbrella sourcetype - catch-all for older F5 ingest before LTM/ASM/APM subtype routing. Prefer the specific f5:bigip:* sourcetypes.
f5:bigip:apm,network,security,VPN,high,"Authentication.Authentication, Network_Sessions.All_Sessions",F5,F5 BIG-IP APM access logs,"F5 BIG-IP Access Policy Manager log - per-user access policy session, SAML/OAuth federation, and SSL VPN events. Feeds Authentication and VPN data models."
f5:bigip:asm,network,security,WAF,high,"Web.Web, Intrusion_Detection.IDS_Attacks",F5,F5 BIG-IP ASM WAF events,"F5 BIG-IP Application Security Manager (WAF) log - per-request attack signature, violation, and policy enforcement events. Feeds the Web and IDS data models."
f5:bigip:ltm:access,network,"security, operational",WAF,med,"Network_Sessions.All_Sessions, Web.Web",F5,F5 BIG-IP LTM access logs,"F5 BIG-IP Local Traffic Manager virtual server access log - HTTP request/response with virtual server, pool, member, and HTTP analytics fields."
fail2ban,linux,security,IDS,high,"Intrusion_Detection.IDS_Attacks, Authentication.Authentication",Fail2ban,Fail2ban intrusion prevention logs,"Fail2ban log - ban/unban actions on services like SSH, Apache, postfix based on failed-attempt thresholds. Feeds the IDS data model."
falcon,linux,security,EDR,med,Endpoint.Processes,CrowdStrike,CrowdStrike Falcon falcon,CrowdStrike Falcon sensor catch-all - typically generated by host-side sensor log files (linux/falcon-sensor.log). Operational/diagnostic agent visibility rather than detections.
falconctl,security,security,EDR,med,Endpoint.Processes,CrowdStrike,CrowdStrike Falcon falconctl,"CrowdStrike Falcon sensor management utility (falconctl) output - sensor enrollment, configuration, and diagnostic command invocations on Linux/macOS hosts."
falcon-libbpf,linux,security,EDR,med,Endpoint.Processes,CrowdStrike,CrowdStrike Falcon falcon-libbpf,CrowdStrike Falcon sensor eBPF subsystem log on Linux - operational diagnostics about kernel telemetry collection via libbpf-based sensor mode.
fapolicyd,linux,security,EPP,med,"Change.All_Changes, Endpoint.Processes",Linux,File Access Policy Daemon logs,Red Hat File Access Policy Daemon log - application allowlisting enforcement events on RHEL 8+. Security-relevant for execution control.
fapolicyd-access,linux,security,EDR,med,Endpoint.Processes,Linux,File Access Policy Daemon logs,fapolicyd access-decision log subset - the allow/deny records used directly for endpoint execution control monitoring.
fe_cef_syslog,security,security,EDR,high,"Malware.Malware_Operations, Intrusion_Detection.IDS_Attacks",FireEye,FireEye Endpoint Security CEF syslog,"FireEye/Trellix Endpoint Security (HX/FES) agent events delivered as CEF-formatted syslog messages: malware detections, exploit guard events, and indicator-of-compromise hits."
fgt_dlp,network,security,DLP,high,DLP.All_Incidents,Fortinet,FortiGate DLP logs,Fortinet FortiGate Data Loss Prevention log - matched DLP sensor decisions on file/text content with action taken. Feeds the DLP data model.
fgt_dns,network,"security, operational",NGFW,med,Network_Resolution.DNS,Fortinet,FortiGate DNS logs,"Fortinet FortiGate DNS filter log - DNS query inspection, blocked domain categorizations, response decisions. Feeds Network_Resolution and Web data models."
fgt_event,network,"security, operational",NGFW,med,"Change.All_Changes, Authentication.Authentication",Fortinet,FortiGate system event logs,"Fortinet FortiGate event log - admin login, configuration change, HA, link, daemon health subtypes. Feeds Change and Authentication data models."
fgt_ips,network,security,IPS,high,Intrusion_Detection.IDS_Attacks,Fortinet,FortiGate IPS logs,"Fortinet FortiGate IPS log - intrusion prevention signature hits with severity, attack, action. Primary IDS/IPS data model source for FortiGate."
fgt_traffic,network,security,NGFW,high,"Network_Traffic.All_Traffic, Network_Sessions.All_Sessions",Fortinet,FortiGate traffic logs,"Fortinet FortiGate traffic log - session-start/session-end records with source/dest IP, port, app, policy, bytes, action. Primary Network_Traffic.All_Traffic source for FortiGate."
fgt_user,network,security,NGFW,med,Authentication.Authentication,Fortinet,FortiGate user authentication logs,"Fortinet FortiGate user authentication log subtype of event - portal, SSL VPN web login, captive portal. Authentication data model contributor."
fgt_utm,network,security,UTM,high,"Intrusion_Detection.IDS_Attacks, Malware.Malware_Attacks",Fortinet,FortiGate UTM security logs,"Fortinet FortiGate UTM umbrella log - aggregated webfilter, app control, IPS, AV records when the unified UTM logging mode is used."
fgt_virus,network,security,NGFW,high,Malware.Malware_Attacks,Fortinet,FortiGate antivirus logs,"Fortinet FortiGate antivirus log - file scan verdicts, blocked malware names, file hashes when AV inspection is enabled. Feeds the Malware data model."
fgt_vpn,network,security,VPN,high,"Authentication.Authentication, Network_Sessions.All_Sessions",Fortinet,FortiGate VPN logs,Fortinet FortiGate VPN log - SSL VPN and IPsec session events including dial-up tunnel state and remote user logon. Feeds Authentication and VPN data models.
fgt_webfilter,network,security,SWG,med,Web.Web,Fortinet,FortiGate web filter logs,"Fortinet FortiGate web filter log - URL category decisions, blocked sites, override events when web filtering is enabled. Feeds the Web data model."
fireeye,security,security,XDR,high,"Malware.Malware_Operations, Intrusion_Detection.IDS_Attacks",FireEye,FireEye threat detection logs,"FireEye (Trellix / Mandiant) NX/EX/CM/HX log - intrusion, email, central management, and HX endpoint detections."
firewalld,linux,security,FW,med,"Network_Traffic.All_Traffic, Intrusion_Detection.IDS_Attacks",Linux,Linux firewalld logs,"Red Hat firewalld service log - zone/rule changes, panic mode events, and runtime configuration updates layered over nftables/iptables."
fontconfig,linux,operational,,none,,Linux,Font configuration data,"Fontconfig cache and configuration data - operational metadata about installed fonts. Minimal monitoring value, rarely indexed in practice."
forcepoint,network,security,SWG,high,"Web.Proxy, Network_Traffic.All_Traffic",Forcepoint,Forcepoint web security logs,"Forcepoint web security gateway log (Triton / Forcepoint One Web Security) - URL category decisions, malware verdicts, DLP triggers."
forgerock:audit,security,security,IAM,high,"Authentication.Authentication, Change.All_Changes",ForgeRock,ForgeRock AM audit logs,"ForgeRock Access Management (AM) audit log - authentication, session, authorization, and config events from the AM platform."
fortinet,network,security,NGFW,high,"Network_Traffic.All_Traffic, Intrusion_Detection.IDS_Attacks",Fortinet,Fortinet FortiGate firewall logs,Fortinet umbrella sourcetype - typically emitted before subtype routing into fgt_* sourcetypes. Prefer subtype-specific sourcetypes (traffic/event/utm/etc.) for CIM accuracy.
freeradius,security,security,IAM,high,Authentication.Authentication,FreeRADIUS,FreeRADIUS authentication logs,FreeRADIUS server log - Access-Request/Accept/Reject events plus accounting Start/Stop records. Foundational Authentication data model source for wireless and VPN AAA.
fstab,linux,operational,,none,,Linux,Filesystem table config,Static filesystem mount table /etc/fstab captured as configuration data - useful for CIS benchmark checks and storage inventory.
ftp,linux,security,,med,"Network_Traffic.All_Traffic, Web.Web",,FTP server logs,"Generic FTP server log - login, command, and transfer events. Feeds Authentication and Web data models depending on payload."
gcp:assuredworkloads:regulatory_intercept_ack,gcp,security,GRC,med,Change.All_Changes,Google Cloud,GCP Assured Workloads compliance ack,Assured Workloads regulatory acknowledgment events - records operator approvals of compliance-controlled actions in regulated workload environments. GRC audit trail.
gcp:audit,gcp,"security, operational",CSPM,high,"Change.All_Changes, Authentication.Authentication",Google Cloud,GCP Cloud Audit logs,"Google Cloud audit logs - admin activity, data access, system event, and policy denied streams covering control-plane operations across all GCP services. Primary CIM Change and Authentication source for GCP."
gcp:backupdr:bdr_backup_plan_details,gcp,operational,,low,,Google Cloud,GCP Backup and DR plan details,"Backup and DR Service backup plan metadata - schedule, retention, target resource details emitted via Cloud Logging. Operational inventory of protection coverage."
gcp:backupdr:bdr_backup_restore_jobs,gcp,operational,,low,,Google Cloud,GCP Backup and DR restore jobs,"Backup and DR Service backup and restore job execution events - job state, status, source/target, and outcome. Operational evidence of recovery posture."
gcp:backupdr:bdr_backup_vault_details,gcp,operational,,low,,Google Cloud,GCP Backup and DR vault details,"Backup and DR Service backup vault inventory - vault location, immutability/lock state, capacity. Recovery posture and ransomware-resilience evidence."
gcp:backupdr:bdr_protected_resource,gcp,operational,,low,Compute_Inventory.All_Inventory,Google Cloud,GCP Backup and DR protected resources,Backup and DR Service protected resource inventory - which VMs/disks/databases are under a backup plan. Coverage reporting source.
gcp:cloud_functions,gcp,operational,,low,,Google Cloud,GCP Cloud Functions execution logs,"Cloud Functions invocation logs - function start/finish, runtime errors, and stdout/stderr output. Serverless operational telemetry."
gcp:cloud_scheduler_execution,gcp,operational,,low,,Google Cloud,GCP Cloud Scheduler execution logs,"Cloud Scheduler job execution events - cron-style job triggers, success/failure status, retry attempts. Operational job orchestration telemetry."
gcp:cloudarmor,gcp,security,WAF,high,"Web.Web, Network_Traffic.All_Traffic",Google Cloud,GCP Cloud Armor WAF events,"Cloud Armor WAF and DDoS protection events - per-request matched rule actions (allow, deny, throttle) on backend services. Feeds Web and IDS (where threat signatures fire)."
gcp:cloudaudit,gcp,"security, operational",CSPM,high,"Change.All_Changes, Authentication.Authentication",Google Cloud,GCP Cloud Audit logs,"Same content as gcp:audit, produced by the Splunk Add-on for Google Cloud Platform when reading from a Cloud Logging sink. The colonless variant google:gcp:cloudaudit was the legacy form."
gcp:compute:firewall,gcp,security,FW,high,Network_Traffic.All_Traffic,Google Cloud,GCP VPC firewall logs,Google Cloud VPC firewall rule logging - per-connection allow/deny decisions on VPC firewall rules with logging enabled. Feeds Network_Traffic.All_Traffic.
gcp:compute:shielded_vm_integrity,gcp,security,,high,Endpoint.Filesystem,Google Cloud,GCP Shielded VM integrity events,"Shielded VM integrity monitoring events - boot/launch attestation results, vTPM measurement mismatches indicating possible tampering. Endpoint integrity signal."
gcp:compute:vm_extension_policies,gcp,"security, operational",CSPM,med,Change.All_Changes,Google Cloud,GCP VM extension policy events,"VM Manager extension policy events - guest policy assignment, recipe execution, package state on Compute Engine instances. Configuration management telemetry."
gcp:dns,gcp,"security, operational",,med,Network_Resolution.DNS,Google Cloud,GCP Cloud DNS query logs,Cloud DNS query logs - per-query records emitted by Cloud DNS public and private zones with logging enabled. Feeds Network_Resolution.DNS.
gcp:iam:audit,gcp,security,IAM,high,"Authentication.Authentication, Change.All_Changes",Google Cloud,GCP IAM policy audit logs,"GCP IAM-scoped subset of Cloud Audit Logs - permission grants, role binding changes, service account key creation/deletion. Critical for Authentication and Change data models."
gcp:ipsec_event,gcp,operational,,low,Network_Traffic.All_Traffic,Google Cloud,GCP VPN IPsec tunnel events,"Cloud VPN IPsec tunnel events - tunnel up/down transitions, IKE phase 1/2 errors. Operational state for hybrid connectivity."
gcp:kubernetes:audit,gcp,security,CSPM,high,"Change.All_Changes, Authentication.Authentication",Google Cloud,GCP Kubernetes Engine audit logs,"GKE Kubernetes API server audit logs - control-plane API calls (kubectl, controllers, service accounts) with verb, resource, user, and authz decision. Primary GKE Change/Authentication source."
gcp:kubes:cluster_autoscaler_visibility,gcp,operational,,low,Change.All_Changes,Google Cloud,GCP GKE cluster autoscaler events,"GKE Cluster Autoscaler visibility events - scale-up/down decisions, unschedulable pod reasons, node-pool resize activity. Operational autoscaler diagnostics."
gcp:maintenance:maintenance_events,gcp,operational,,low,,Google Cloud,GCP infrastructure maintenance events,"Compute Engine planned maintenance events - host maintenance notifications, live-migration markers, scheduled reboot windows. Operational continuity input."
gcp:nat_flow,network,"security, operational",,med,Network_Traffic.All_Traffic,Google Cloud,GCP Cloud NAT flow logs,Cloud NAT VPC flow logs - source-NAT translation records for outbound traffic from private VMs/serverless. Provides source IP/port to translated IP/port mapping required to attribute external traffic.
gcp:networkanalyzer:analyzer_reports,gcp,"security, operational",CSPM,med,,Google Cloud,GCP Network Intelligence reports,"Network Intelligence Center analyzer findings - configuration drift, connectivity issues, and posture problems detected across the customer VPC topology."
gcp:pubsub,gcp,operational,,none,,Google Cloud,GCP Pub/Sub message logs,"Cloud Pub/Sub message and topic operational logs - publish/acknowledge activity, dead-letter routing. Used for ingestion-pipeline observability rather than the message payloads."
gcp:redis:redis,gcp,operational,,low,Databases.All_Databases,Google Cloud,GCP Memorystore for Redis logs,"Google Cloud Memorystore for Redis operational logs: command execution, errors, slow log entries, and connection events."
gcp:router_event,gcp,operational,,low,,Google Cloud,GCP Cloud Router events,Cloud Router events - BGP session state changes and dynamic-route activity for hybrid (Cloud VPN / Interconnect) connections. Operational telemetry.
gcp:securitycenter:finding,gcp,security,CSPM,high,"Alerts.Alerts, Vulnerabilities.Vulnerabilities",Google Cloud,GCP Security Command Center finding,Security Command Center findings - normalized security/compliance findings from native SCC detectors and integrated partner sources. Feeds Alerts and Vulnerabilities data models.
gcp:storage:access,gcp,"security, operational",CSPM,med,Data_Access.All_Data_Access_Logs,Google Cloud,GCP Cloud Storage access logs,"Cloud Storage usage and access logs - per-request bucket access including operation, principal, response code. Critical for bucket data-exfil and misconfig forensics."
gcp:vpc_flow,network,security,,high,Network_Traffic.All_Traffic,Google Cloud,GCP VPC flow logs,GCP VPC Flow Logs - 5-tuple traffic samples between VM/serverless endpoints inside VPCs. Feeds Network_Traffic.All_Traffic for cloud east-west and egress visibility.
genetec:event,security,security,,med,Authentication.Authentication,Genetec,Genetec Security Center events,"Genetec Security Center event - unified physical security platform records covering access control, video, ALPR, and intrusion."
github,app,operational,,med,Change.All_Changes,GitHub,GitHub version control logs,GitHub umbrella sourcetype - typically pre-dates audit log routing. Prefer github:audit for organizations on GitHub Enterprise.
github:audit,app,security,,med,"Change.All_Changes, Authentication.Authentication",GitHub,GitHub organization audit log,"GitHub Enterprise audit log - organization and repository administrative events, OAuth/PAT activity, permissions changes. Feeds the Change data model."
