lowerBound,upperBound,HourOfDay,BucketMinuteOfHour,DayOfWeek
"12958.755782122898","182202.42068846532",21,15,Wednesday
0,"177938.994380099",21,30,Friday
0,"226492.72985738155",21,30,Monday
"14399.4866356024","189103.99402738104",21,30,Saturday
"15483.569328117723","186728.14337906463",21,30,Sunday
0,"183453.83771791926",21,30,Thursday
"18241.600308494293","177326.58947252762",21,30,Tuesday
"17242.857913569387","184088.49764198618",21,30,Wednesday
0,"2086021.525915578",21,45,Friday
0,"724519.6074741449",21,45,Monday
"27187.135919478038","176180.96408052195",21,45,Saturday
"23196.90390359488","171940.11267099075",21,45,Sunday
0,"188811.7734193051",21,45,Thursday
"16318.812399098111","184906.25281829317",21,45,Tuesday
0,"218060.85244750712",21,45,Wednesday
0,"176630.41891487862",22,00,Friday
0,"187923.97320688117",22,00,Monday
"11230.28079979369","185547.35253353964",22,00,Saturday
0,"232904.3745995269",22,00,Sunday
0,"186761.73266783904",22,00,Thursday
"20763.702362414886","185407.584402291",22,00,Tuesday
"22372.579542287363","181722.26490215707",22,00,Wednesday
0,"1230799.8226205437",22,15,Friday
0,"672338.1694855262",22,15,Monday
"21807.238830116476","178451.57228099462",22,15,Saturday
"12728.763240128465","178631.56825158425",22,15,Sunday
0,"471874.33870936226",22,15,Thursday
"3633.0709600458213","192434.3526510653",22,15,Tuesday
"13388.750701921337","187701.8963569022",22,15,Wednesday
0,"178643.1362808331",22,30,Friday
0,"181645.29754568165",22,30,Monday
0,"627538.541590834",22,30,Saturday
"10415.365902415899","185424.24048056285",22,30,Sunday
0,"190099.26459731557",22,30,Thursday
0,"5422506.4784726",22,30,Tuesday
0,"183514.1274737088",22,30,Wednesday
0,"186778.95407676627",22,45,Friday
0,"1032456.8700289067",22,45,Monday
"19963.42952477609","183603.8743426272",22,45,Saturday
"22323.83407865945","183865.5913357052",22,45,Sunday
0,"126138.58479586443",22,45,Thursday
0,"216966.42075562757",22,45,Tuesday
0,"195142.85551683424",22,45,Wednesday
0,"238847.8406747704",23,00,Friday
0,"609238.42212273",23,00,Monday
"8827.299900489583","183379.55565506598",23,00,Saturday
"18761.248190302547","183030.70761080243",23,00,Sunday
0,"1013805.4219872912",23,00,Thursday
0,"167217.31979405193",23,00,Tuesday
"17065.578787170773","182325.46565727366",23,00,Wednesday
0,"185825.7503540849",23,15,Friday
0,"184232.93030571064",23,15,Monday
0,"198021.84535823617",23,15,Saturday
0,"208172.22766180278",23,15,Sunday
0,"1597861.8274139066",23,15,Thursday
0,"126779.39558171746",23,15,Tuesday
0,"664773.6949614271",23,15,Wednesday
0,"192093.49854105472",23,30,Friday
0,"128019.20160647898",23,30,Monday
0,"181074.41297888447",23,30,Saturday
0,"929167.9845038997",23,30,Sunday
0,"567447.4483627956",23,30,Thursday
"11373.046479285855","186575.85533889598",23,30,Tuesday
"23980.26467416252","176683.99458509675",23,30,Wednesday
0,"208409.61397268547",23,45,Friday
0,"106058.34742655112",23,45,Monday
"17009.71189139159","181896.95109203382",23,45,Saturday
0,"298073.3992634215",23,45,Sunday
0,"192252.51215162838",23,45,Thursday
0,"933386.9822776034",23,45,Tuesday
"16326.83461655199","181803.30508933036",23,45,Wednesday
