signature_id,signature
377-50030,Sender Policy Framework (SPF) sender failed check
377-50030251,Sender Policy Framework (SPF) sender failed check - Tarpit
377-50030252,Sender Policy Framework (SPF) sender failed check - Add a score
377-50030253,Sender Policy Framework (SPF) sender failed check - Accept and drop
377-50030254,Sender Policy Framework (SPF) sender failed check - Reject
377-50030255,Sender Policy Framework (SPF) sender failed check - Reject and close the connection
377-50030256,Sender Policy Framework (SPF) sender failed check - Reject
377-50030250,Sender Policy Framework (SPF) sender failed check - Allow through action
377-50031,Sender Policy Framework (SPF) sender passed check
377-50031250,Sender Policy Framework (SPF) sender passed check - Allow through action
377-50031252,Sender Policy Framework (SPF) sender passed check - Add a score
377-50032,Sender ID initialization failed
377-50032242,Sender ID initialization failed - Missing or invalid IP address
377-50032243,Sender ID initialization failed - Missing or invalid Sender address
377-50032244,Sender ID initialization failed - Missing or invalid HELO
377-50032247,Sender ID initialization failed - Missing or invalid data
377-50032245,Sender ID initialization failed - Missing or invalid Purported Responsible address
377-50032246,Sender ID initialization failed - SPF request failed
377-50033,Sender ID sender failed check
377-50033251,Sender ID sender failed check - Tarpit
377-50033252,Sender ID sender failed check - Add a score
377-50033253,Sender ID sender failed check - Accept and drop
377-50033254,Sender ID sender failed check - Reject
377-50033255,Sender ID sender failed check - Reject and close the connection
377-50033256,Sender ID sender failed check - Reject
377-50033250,Sender ID sender failed check - Allow through action
377-50034,Sender ID sender passed check
377-50034250,Sender ID sender passed check - Allow through action
377-50034252,Sender ID sender passed check - Add a score
377-50035,Real-time Blackhole List lookup error
377-50035683,Real-time Blackhole List lookup error - Real-time Blackhole List lookup query error
377-50036,Real-time Blackhole List lookup triggered
377-50036251,Real-time Blackhole List lookup triggered - Tarpit
377-50036252,Real-time Blackhole List lookup triggered - Add a score
377-50036253,Real-time Blackhole List lookup triggered - Accept and drop
377-50036254,Real-time Blackhole List lookup triggered - Reject
377-50036255,Real-time Blackhole List lookup triggered - Reject and close the connection
377-50036256,Real-time Blackhole List lookup triggered - Reject
377-50036250,Real-time Blackhole List lookup triggered - Allow through action
377-50036687,Real-time Blackhole List lookup triggered - Real-time Blackhole List match found
377-50037,Real-time Blackhole List failed to trigger
377-50037250,Real-time Blackhole List failed to trigger - Allow through action
377-50037688,Real-time Blackhole List failed to trigger - Real-time Blackhole List match not found
377-50038,Permit recipient failure triggered
377-50038251,Permit recipient failure triggered - Tarpit
377-50038252,Permit recipient failure triggered - Add a score
377-50038253,Permit recipient failure triggered - Accept and drop
377-50038254,Permit recipient failure triggered - Reject
377-50039,Permit recipient test passed
377-50039250,Permit recipient test passed - Allow through action
377-50040,DomainKeys Identified Mail (DKIM) failed
377-50040252,DomainKeys Identified Mail (DKIM) failed - Add a score
377-50040253,DomainKeys Identified Mail (DKIM) failed - Accept and drop
377-50040254,DomainKeys Identified Mail (DKIM) failed - Reject
377-50040255,DomainKeys Identified Mail (DKIM) failed - Reject and close the connection
377-50040256,DomainKeys Identified Mail (DKIM) failed - Reject
377-50040250,DomainKeys Identified Mail (DKIM) failed - Allow through action
377-50040684,DomainKeys Identified Mail (DKIM) failed - Invalid configuration value
377-50040685,DomainKeys Identified Mail (DKIM) failed - DKIM error
377-50041,DomainKeys Identified Mail (DKIM) was successful
377-50041250,DomainKeys Identified Mail (DKIM) was successful - Allow through action
377-50041252,DomainKeys Identified Mail (DKIM) was successful - Add a score
377-50042,DomainKeys Identified Mail (DKIM) error
377-50042686,DomainKeys Identified Mail (DKIM) error - Private key caching error
377-50042685,DomainKeys Identified Mail (DKIM) error - DKIM error
377-50045,Bounce Address Tag Validation check failed to validate
377-50045759,Bounce Address Tag Validation check failed to validate - The BATV tag value could not be validated
377-50046,McAfee GTI message reputation IP lookup error
377-50046769,McAfee GTI message reputation IP lookup error - McAfee GTI message reputation lookup query error
377-50046777,McAfee GTI message reputation IP lookup error - McAfee GTI message reputation lookup query timed out
377-50047,McAfee GTI message reputation IP lookup triggered
377-50047251,McAfee GTI message reputation IP lookup triggered - Tarpit
377-50047252,McAfee GTI message reputation IP lookup triggered - Add a score
377-50047253,McAfee GTI message reputation IP lookup triggered - Accept and drop
377-50047254,McAfee GTI message reputation IP lookup triggered - Reject
377-50047255,McAfee GTI message reputation IP lookup triggered - Reject and close the connection
377-50047256,McAfee GTI message reputation IP lookup triggered - Reject
377-50047250,McAfee GTI message reputation IP lookup triggered - Allow through action
377-50047766,McAfee GTI message reputation IP lookup triggered - McAfee GTI message reputation Lookup hit the configured threshold
377-50048,McAfee GTI message reputation IP lookup failed to trigger
377-50048767,McAfee GTI message reputation IP lookup failed to trigger - McAfee GTI message reputation lookup is succesful with the reputation score less than the configured threshold
377-50049,McAfee GTI message reputation message lookup error
377-50049769,McAfee GTI message reputation message lookup error - McAfee GTI message reputation lookup query error
377-50049777,McAfee GTI message reputation message lookup error - McAfee GTI message reputation lookup query timed out
377-50050,McAfee GTI message reputation message lookup triggered
377-50050251,McAfee GTI message reputation message lookup triggered - Tarpit
377-50050252,McAfee GTI message reputation message lookup triggered - Add a score
377-50050253,McAfee GTI message reputation message lookup triggered - Accept and drop
377-50050254,McAfee GTI message reputation message lookup triggered - Reject
377-50050255,McAfee GTI message reputation message lookup triggered - Reject and close the connection
377-50050256,McAfee GTI message reputation message lookup triggered - Reject
377-50050250,McAfee GTI message reputation message lookup triggered - Allow through action
377-50050766,McAfee GTI message reputation message lookup triggered - McAfee GTI message reputation Lookup hit the configured threshold
377-50051,McAfee GTI message reputation message lookup failed to trigger
377-50051250,McAfee GTI message reputation message lookup failed to trigger - Allow through action
377-50051767,McAfee GTI message reputation message lookup failed to trigger - McAfee GTI message reputation lookup is succesful with the reputation score less than the configured threshold
377-50052,Blackhole given recipients.
377-50052770,Blackhole given recipients. - Recipient should not receive the email due to the delivery address being configured as the blackhole address.
377-50053,Using encrypted delivery for email
377-50053778,Using encrypted delivery for email - Email deferred for encrypted delivery.
377-50054,Logging to Feedback client failed
377-50054787,Logging to Feedback client failed - File for Stats Collection is over maximum size
377-50054788,Logging to Feedback client failed - File for Stats Collection is not initialised
377-50055,Transmitting Stats Data to Feedback Servers failed
377-50055789,Transmitting Stats Data to Feedback Servers failed - Timeout while transmitting Stats Collection Data
377-50055784,Transmitting Stats Data to Feedback Servers failed - Failed due to error in network connection
377-50055790,Transmitting Stats Data to Feedback Servers failed - No Pending Stats Collection data to transmit
377-50056,Feedback SDK Initialisation Failed
377-50056791,Feedback SDK Initialisation Failed - Feedback client internal error
377-50057,Forward confirmed reverse DNS lookup error
377-50057683,Forward confirmed reverse DNS lookup error - Real-time Blackhole List lookup query error
377-50058,Forward confirmed reverse DNS failed to match
377-50058251,Forward confirmed reverse DNS failed to match - Tarpit
377-50058252,Forward confirmed reverse DNS failed to match - Add a score
377-50058253,Forward confirmed reverse DNS failed to match - Accept and drop
377-50058254,Forward confirmed reverse DNS failed to match - Reject
377-50058255,Forward confirmed reverse DNS failed to match - Reject and close the connection
377-50058256,Forward confirmed reverse DNS failed to match - Reject
377-50058250,Forward confirmed reverse DNS failed to match - Allow through action
377-50058819,Forward confirmed reverse DNS failed to match - Forward confirmed reverse DNS match not found
377-50059,Forward confirmed reverse DNS succeeded
377-50059250,Forward confirmed reverse DNS succeeded - Allow through action
377-50059252,Forward confirmed reverse DNS succeeded - Add a score
377-50059818,Forward confirmed reverse DNS succeeded - Forward confirmed reverse DNS match found
377-50060,Passing secure conversation straight through
377-50060830,Passing secure conversation straight through - Passing off connection to the onward server
377-50100,Hybrid connection information
377-50100840,Hybrid connection information - Switched into Hybrid mode
377-50100841,Hybrid connection information - Processing X-MXL-IP
377-50100842,Hybrid connection information - Processing X-MXL-IP failed
377-50100843,Hybrid connection information - Processing X-MXL-SCANRESULT
377-50100844,Hybrid connection information - Processing X-MXL-SCANRESULT failed
377-50061,Secure Web Mail
377-50061354,Secure Web Mail - Logon successful
377-50061355,Secure Web Mail - Logon failed
377-50061356,Secure Web Mail - The user logged off
377-50061357,Secure Web Mail - The session has expired
377-50062,SMTP protocol conversation
377-50062834,SMTP protocol conversation - ldap user name corresponsing to email address is resolved
377-50062835,SMTP protocol conversation - ldap user name corresponsing to email address is not resolved
377-50062836,SMTP protocol conversation - set ldap result corresponsing to email address
377-50062837,SMTP protocol conversation - Resolved identity corresponding to email address
377-70000,Undelivered email file access
377-70000117,Undelivered email file access - Check message format
377-70001,Undelivered email file context
377-70001118,Undelivered email file context - Message delivery can be attempted
377-70002,Retry attempt failed
377-70002119,Retry attempt failed - Cannot open directory
377-70002120,Retry attempt failed - Cannot open the index file
377-7000219,Retry attempt failed - Invalid sender email address
377-70002182,Retry attempt failed - Invalid recipient email address
377-70002197,Retry attempt failed - Unable to load policy
377-70002719,Retry attempt failed - Database pool management error
377-70002717,Retry attempt failed - Error connecting to the database
377-70002718,Retry attempt failed - Error executing SQL in the database
377-70002722,Retry attempt failed - Error connecting to the MTA
377-70002723,Retry attempt failed - MTA connection reset has occurred
377-70002724,Retry attempt failed - Error parsing the response from MTA
377-70002725,Retry attempt failed - Invalid response received from MTA
377-70003,Retryer error
377-70003717,Retryer error - Error connecting to the database
377-70003722,Retryer error - Error connecting to the MTA
377-70003679,Retryer error - Error spawning new thread
377-70003727,Retryer error - Retryer error
377-80000,Greylisting service command failed
377-80000676,Greylisting service command failed - Invalid input from SMTP proxy
377-80001,Greylisting database failed
377-80001677,Greylisting database failed - Database error
377-80002,Greylisting startup error
377-80002678,Greylisting startup error - Error setting TCP option
377-80002679,Greylisting startup error - Error spawning new thread
377-80002680,Greylisting startup error - Proxy error
377-80003,Greylisting database error
377-80003681,Greylisting database error - SQL query execution error
377-80004,Greylisting information
377-80004682,Greylisting information - Automatic database maintenance done
377-180000,Anti-virus engine detection
377-180000145,Anti-virus engine detection - The content was categorized as cleanable content
377-180000146,Anti-virus engine detection - The content was categorized as uncleanable content
377-180000624,Anti-virus engine detection - The content was categorized as a Potentially Unwanted Program
377-180000625,Anti-virus engine detection - The content was categorized as a Packer
377-180001,Content rule detection
377-180001146,Content rule detection - The content was categorized as uncleanable content
377-180002,Anti-spam classification
377-180002161,Anti-spam classification - The content was categorized as spam
377-180002206,Anti-spam classification - The content was categorized as non-spam
377-180002623,Anti-spam classification - The content was categorized as possible phish
377-180003,File format detection
377-180003146,File format detection - The content was categorized as uncleanable content
377-180003817,File format detection - The file format was categorized as non-compliant
377-180003821,File format detection - The file was classified as a DoS
377-180004,MIME format detection
377-180004146,MIME format detection - The content was categorized as uncleanable conten
377-180004590,MIME format detection - The content-type of the data being transferred is forbidden
377-180005,Scan actions
377-180005305,Scan actions - Email blocked with SMTP Code 550
377-180005420,Scan actions - Email blocked with SMTP Code 550. Connection closed
377-180005308,Scan actions - Content blocked
377-180005422,Scan actions - Scanner hit email routed to policy based relay
377-180005306,Scan actions - Email accepted and dropped
377-180005300,Scan actions - Signature not broken due to policy. Email delivered to the original recipients(s)
377-180005302,Scan actions - Content replaced with HTML due to policy. Modified email delivered to the original recipients(s)
377-180005303,Scan actions - Content removed due to policy. Modified email delivered to the original recipients(s)
377-180005304,Scan actions - Content cleaned due to policy. Modified email delivered to the original recipients(s)
377-180005301,Scan actions - Broken signature due to policy. Modified email delivered to the original recipient(s)
377-180005188,Scan actions - Allow through. Original email delivered to the original recipient(s)
377-180005353,Scan actions - Allow through. Data to be delivered to the peer
377-180005349,Scan actions - Allow through. Data to be delivered to the server
377-180005350,Scan actions - Allow through. Data to be delivered to the client
377-180005154,Scan actions - Original email quarantined
377-180005155,Scan actions - Modified email quarantined
377-180005778,Scan actions - Email deferred for encrypted delivery.
377-180005870,Scan actions - Email deferred for custom notification
377-180006,Scan action failed
377-180006168,Scan action failed - Unable to quarantine original email
377-180006169,Scan action failed - Unable to quarantine modified email
377-180006209,Scan action failed - Unable to quarantine the modified email. No modified email
377-18000639,Scan action failed - Maximum email size exceeded
377-180006779,Scan action failed - Unable to defer email for encrypted delivery.
377-180006871,Scan action failed - Unable to defer email for custom notification
377-180006872,Scan action failed - Unable to deliver the modified email because no modified email found
377-180006873,Scan action failed - Unable to deliver email because no recipient configured
377-180006874,Scan action failed - Unable to deliver the original email because it triggered the anti-virus scanner
377-180006885,Scan action failed - An error occurred attempting to take an action
377-180006166,Scan action failed - Unable to deliver a notification email to the original recipient(s)
377-180006167,Scan action failed - Unable to parse a notification email sender address(s)
377-180007,Scanner failed
377-180007189,Scanner failed - Unable to scan item
377-180007195,Scanner failed - Unable to set up scan policy
377-180007196,Scanner failed - Invalid scanner action
377-180007776,Scanner failed - Failed to get response for McAfee GTI file reputation Queries
377-180007851,Scanner failed - One or more of the URL Reputation network lookups timed out or failed
377-180007852,Scanner failed - Failed to decode URL Reputation network lookup response
377-180007853,Scanner failed - An error occurred while looking up the reputation of URLs from the network
377-18000772,Scanner failed - State of an object
377-180008,URL request denied
377-180008140,URL request denied - The requested URL contains forbidden characters
377-180008142,URL request denied - Access to the requested URL is not permitted
377-180009,HTML content detection
377-180009345,HTML content detection - HTML SCRIPT tags have been removed
377-180009347,HTML content detection - HTML ActiveX tags have been removed
377-180009346,HTML content detection - HTML APPLET tags have been removed
377-180010,Compliancy detection
377-180010728,Compliancy detection - The content was categorized as non-compliant
377-180011,Data Loss Prevention (DLP) detection
377-180011689,Data Loss Prevention (DLP) detection - The content was categorized as protected content
377-180012,Mail Size detection
377-18001239,Mail Size detection - Maximum email size exceeded
377-180012146,Mail Size detection - The content was categorized as uncleanable content
377-180013,Regular expression scanning failure
377-180013762,RegEx scanning failure - Error processing regular expression
377-180013763,RegEx scanning failure - Syntax error in a regular expression
377-180014,Image Filtering detection
377-180014800,Image Filtering detection - The content was categorized as inappropriate content
377-180015,Policy based action occurred
377-180015860,Policy based action occurred - Action taken due to the policy configuration
377-180015861,Policy based action occurred - An error occurred attempting to take an action
377-180016,Avira Anti-virus engine detection
377-180016145,Avira Anti-virus engine detection - The content was categorized as cleanable content
377-180016146,Avira Anti-virus engine detection - The content was categorized as uncleanable content
377-180016624,Avira Anti-virus engine detection - The content was categorized as a Potentially Unwanted Program
377-180016625,Avira Anti-virus engine detection - The content was categorized as a Packer
377-180017,CommtouchÂ® Command Anti-virus engine detection
377-180017145,CommtouchÂ® Command Anti-virus engine detection - The content was categorized as cleanable content
377-180017146,CommtouchÂ® Command Anti-virus engine detection - The content was categorized as uncleanable content
377-180017624,CommtouchÂ® Command Anti-virus engine detection - The content was categorized as a Potentially Unwanted Program
377-180017625,CommtouchÂ® Command Anti-virus engine detection - The content was categorized as a Packer
377-180018,Mail URL Reputation detection
377-180018849,Mail URL Reputation detection - Unsafe URL(s) found in the message
377-180018850,Mail URL Reputation detection - Too many URLs found in the message
377-180018890,Mail URL Reputation detection - URLs rewritten by ClickProtect
377-180018891,Mail URL Reputation detection - Could not ClickProtect URLs in the original email
377-180019,Unscannable Content
377-180019854,Unscannable Content - Too many unsuccessful scan attempts
377-180019855,Unscannable Content - An error occurred attempting to take an action
377-180022,Advanced Threat Defense
377-180022882,Advanced Threat Defense - ATD scan timed out
377-180022883,Advanced Threat Defense - Too many files queued for ATD
377-180022884,Advanced Threat Defense - ATD scan failed
377-180022885,Advanced Threat Defense - An error occurred attempting to take an action
377-180024,Advanced Threat Defense Scanning Flow
377-180024886,Advanced Threat Defense Scanning Flow - File submitted for scanning on ATD
377-180024892,Advanced Threat Defense Scanning Flow - Result for file submitted for scanning by ATD
377-180024887,Advanced Threat Defense Scanning Flow - File previously submitted to ATD
377-180024893,Advanced Threat Defense Scanning Flow - File is in whitelist
377-180024894,Advanced Threat Defense Scanning Flow - File is in blacklist
377-180024888,Advanced Threat Defense Scanning Flow - Failed to submit file to ATD
377-180024895,Advanced Threat Defense Scanning Flow - Failed to scan file with ATD
377-180024896,Advanced Threat Defense Scanning Flow - Unable to obtain result of scan from ATD
377-180024889,Advanced Threat Defense Scanning Flow - Read a result from the ATD cache
377-180024880,Advanced Threat Defense Scanning Flow - Email deferred for ATD scanning
377-180024897,Advanced Threat Defense Scanning Flow - The MATD scan has been cancelled
377-180025,Advanced Threat Defense Detection
377-180025881,Advanced Threat Defense Detection - ATD threshold level exceeded
377-180030,URL reputation has been temporarily disabled
377-180030626,URL reputation has been temporarily disabled - Unable to load the web categorization database
377-180030627,URL reputation has been temporarily disabled - Unable to initialize the McAfee GTI web categorization engine
377-180031,URL has been blocked due to categorization
377-180031611,URL has been blocked due to categorization - URL categorized by web categorization
377-180032,URL has been coached due to categorization
377-180032611,URL has been coached due to categorization - URL categorized by web categorization
377-180032612,URL has been coached due to categorization - Access to a coached URL permitted
377-180033,Categorized URL has been permitted
377-180033611,Categorized URL has been permitted - URL categorized by web categorization
377-180034,URL reputation summary data for ePO
377-180034619,URL reputation summary data for ePO - Web categorization ePolicy Orchestrator summary
377-180035,Categorized URL has been permitted for a monitored user
377-180035611,Categorized URL has been permitted for a monitored user - URL categorized by web categorization
377-180036,McAfee GTI web reputation has been temporarily disabled
377-180036626,McAfee GTI web reputation has been temporarily disabled - Unable to load the web categorization database
377-180036627,McAfee GTI web reputation has been temporarily disabled - Unable to initialize the McAfee GTI web categorization engine
377-180041,Avira AV Scanner has been temporarily disabled
377-180041801,Avira AV Scanner has been temporarily disabled - Engine file initialisation failed
377-180041802,Avira AV Scanner has been temporarily disabled - DAT file initialisation failed
377-180042,CommtouchÂ® Command AV Scanner has been temporarily disabled
377-180042801,CommtouchÂ® Command AV Scanner has been temporarily disabled - Engine file initialisation failed
377-180042802,CommtouchÂ® Command AV Scanner has been temporarily disabled - DAT file initialisation failed
377-181000,Transfer of events to SmartReporter
377-181000640,Transfer of events to SmartReporter - Transfer started
377-181000641,Transfer of events to SmartReporter - Transfer succeeded
377-181000642,Transfer of events to SmartReporter - Transfer failed
377-181000109,Transfer of events to SmartReporter - Request denied. Unable to authenticate user
377-182000,Authentication broker
377-182000662,Authentication broker - NTLM authentication failed
377-182000663,Authentication broker - Incorrect response from the NTLM authentication manager
377-182000664,Authentication broker - Unable to connect to NTLM authentication manager
377-182000665,Authentication broker - Incorrect response from NTLM authentication YR command
377-182000666,Authentication broker - No context for final NTLM authentication request
377-182000667,Authentication broker - Unable to connect to NTLM authentication manager
377-182000668,Authentication broker - Missing secret file
377-182000669,Authentication broker - Incorrect URL from HTTP proxy
377-182001,Authentication broker
377-182001670,Authentication broker - Setup authentication server OK
377-182001671,Authentication broker - Setup authentication server failed
377-185000,Objects are clean. No action taken
377-185000726,Objects are clean. No action taken - This conversation is pristine
377-190010,Load balance appliance install
377-190011,Load balance appliance booting
377-190012,Load balance appliance OK
377-190013,Load balance appliance shutdown
377-190014,Load balance appliance failure
377-190015,Load balance appliance disabled
377-190016,Load balance appliance timed out
377-190032,This appliance is the network appliance
377-190033,This appliance is a redundant appliance
377-190034,This appliance is synchronizing with the management appliance
377-190035,This appliance is being ignored
377-190036,This appliance has failed to install
377-200000,Statistics
377-200001,Periodic Statistics
377-210000,Resource failed
377-210000106,Resource failed - A disk is full
377-210000107,Resource failed - Creation of an object has failed
377-210000203,Resource failed - Unable to write file to disk
377-210000717,Resource failed - Error connecting to the database
377-210000718,Resource failed - Error executing SQL in the database
377-210000720,Resource failed - Resource synchronization error
377-210001,Resource usage is OK
377-210002,Resource usage reached warning level
377-210003,Resource usage reached critical level
377-210013,Resource usage is OK
377-210014,Resource usage reached warning level
377-210015,Resource usage reached critical level
377-210004,Raid disk state has changed
377-210004336,Raid disk state has changed - The RAID disk is optimal
377-210004337,Raid disk state has changed - The RAID disk is degraded
377-210004338,Raid disk state has changed - The RAID disk is being rebuilt
377-210005,Protocol state has changed
377-210005340,Protocol state has changed - The specific protocol is available
377-210005339,Protocol state has changed - The specific protocol has failed
377-210005904,Protocol state has changed - The specific protocol is in a critical condition
377-210006,Bridge state has changed
377-210006416,Bridge state has changed - The bridge is forwarding
377-210006417,Bridge state has changed - The bridge is blocking
377-210007,Appliance throughput limit
377-210007597,Appliance throughput limit - The appliance is approaching its throughput limit
377-210007596,Appliance throughput limit - The appliance has exceeded its throughput limit
377-210009,Bypass switch state has changed
377-210009656,Bypass switch state has changed - The bypass switch is present
377-210009657,Bypass switch state has changed - The bypass switch is not present
377-210009658,Bypass switch state has changed - The bypass switch is in bypass mode
377-210009659,Bypass switch state has changed - The bypass switch is online
377-210009673,Bypass switch state has changed - Unable to apply configuration to bypass switch
377-210009674,Bypass switch state has changed - Configured bypass switch successfully
377-210009675,Bypass switch state has changed - Communications failure with the bypass device
377-210010,An Appliance address has changed
377-210010735,An Appliance address has changed - New IP Address has been allocated to an interface
377-210010736,An Appliance address has changed - An IP Address has been removed from an interface
377-210011,MA state has changed
377-210011756,MA state has changed - Connectivity is available
377-210011757,MA state has changed - Connectivity is not available
377-210011744,MA state has changed - Number of files reached threshold
377-210011754,MA state has changed - Communication timeout
377-210011755,MA state has changed - Process is not running
377-21001152,MA state has changed - Network application was started
377-21001153,MA state has changed - Network application has finished
377-210012,Link has changed state
377-210012816,Link has changed state - Information about the network link
377-210050,The UPS mains power has returned
377-210050745,The UPS mains power has returned - Mains supply to the UPS has been restored
377-210051,The UPS mains power has failed
377-210051746,The UPS mains power has failed - Mains supply to the UPS has failed
377-210052,The UPS battery is low
377-210052747,The UPS battery is low - The charge level in the UPS battery is low
377-210053,The UPS has requested that the system shutdown
377-210053748,The UPS has requested that the system shutdown - The UPS has requested that the system is shut down
377-210053749,The UPS has requested that the system shutdown - The UPS system has requested that the system is shut down after the configured time on battery
377-210054,The UPS communications status has changed
377-210054750,The UPS communications status has changed - Communications with the UPS has been established
377-210054751,The UPS communications status has changed - Communications with the UPS has been interrupted
377-210054752,The UPS communications status has changed - Communications with the UPS has been lost
377-210055,The UPS battery needs replacing
377-210055753,The UPS battery needs replacing - The UPS has signalled that its battery has reached the end of its life and requires replacement
377-210060,Chassis configuration has changed and needs to be applied to the hardware
377-210060780,Chassis configuration has changed and needs to be applied to the hardware - The chassis configuration has changed and needs reapplying
377-210061,Chassis status has changed
377-210061781,Chassis status has changed - A component of the chassis is now OK
377-210061782,Chassis status has changed - A component of the chassis is not functioning correctly
377-210061783,Chassis status has changed - A component of the chassis has failed
377-210070,The appliance hardware monitoring has spotted a change
377-210070803,The appliance hardware monitoring has spotted a change - A hardware component of the appliance is now OK
377-210070804,The appliance hardware monitoring has spotted a change - A hardware component of the appliance is not functioning correctly
377-210070805,The appliance hardware monitoring has spotted a change - A hardware component of the appliance is in a critical state
377-210100,Update progress
377-210100317,Update progress - Start updating from a local file
377-210100318,Update progress - Start updating from a network server
377-210100319,Update progress - Attempting to fetch a file
377-210100320,Update progress - File fetched successfully
377-210100321,Update progress - Unable to fetch file
377-210100322,Update progress - File fetched was not as expected
377-210100323,Update progress - File has bad content
377-210100324,Update progress - Test install failed
377-210100343,Update progress - Unable to install new engine
377-210100344,Update progress - Unable to install new DATs/rules
377-210100341,Update progress - Successfully updated engine
377-210100342,Update progress - Successfully updated DATs/rules
377-210100327,Update progress - Appliance already up-to-date
377-210100729,Update progress - DATs/rules update failed
377-210100730,Update progress - Waiting for DATs/rules update server response
377-210100731,Update progress - Downloading DATs/rules from server
377-210100732,Update progress - Applying downloaded DATs/rules changes
377-210100733,Update progress - Reloading new DATs/rules
377-210100734,Update progress - Unspecified DATs/rules update progress
377-210100325,Update progress - Waiting to retry
377-210100391,Update progress - A system command failed
377-210100388,Update progress - Installed ExtraDAT file
377-210100389,Update progress - Removed ExtraDAT file
377-210100390,Update progress - No file given
377-210100381,Update progress - RPM contained unacceptable files
377-210100382,Update progress - RPM package contained unacceptable scripts
377-210100383,Update progress - File supplied is not a well formed RPM package
377-210100384,Update progress - RPM package conflicts with existing files
377-210100385,Update progress - RPM package conflict
377-210100386,Update progress - Added extra rules RPM package
377-210100387,Update progress - Removed extra rules RPM package
377-210101,Anti-virus update has made changes
377-210101326,Anti-virus update has made changes - Successfully updated engine and DATs/rules
377-210101341,Anti-virus update has made changes - Successfully updated engine
377-210101342,Anti-virus update has made changes - Successfully updated DATs/rules
377-210101388,Anti-virus update has made changes - Installed ExtraDAT file
377-210101389,Anti-virus update has made changes - Removed ExtraDAT file
377-210102,Anti-virus update. No change
377-210102327,Anti-virus update. No change - Appliance already up-to-date
377-210103,Anti-virus update failed
377-210103321,Anti-virus update failed - Unable to fetch file
377-210103322,Anti-virus update failed - File fetched was not as expected
377-210103323,Anti-virus update failed - File has bad content
377-210103324,Anti-virus update failed - Test install failed
377-210103343,Anti-virus update failed - Unable to install new engine
377-210103344,Anti-virus update failed - Unable to install new DATs/rules
377-210103391,Anti-virus update failed - A system command failed
377-210103784,Anti-virus update failed - Failed due to error in network connection
377-210104,Anti-virus update interrupted
377-210111,Anti-spam engine update has made changes
377-210111326,Anti-spam engine update has made changes - Successfully updated engine and DATs/rules
377-210111341,Anti-spam engine update has made changes - Successfully updated engine
377-210111342,Anti-spam engine update has made changes - Successfully updated DATs/rules
377-210111386,Anti-spam engine update has made changes - Added extra rules RPM package
377-210111387,Anti-spam engine update has made changes - Removed extra rules RPM package
377-210112,Anti-spam engine update. No change
377-210112327,Anti-spam engine update. No change - Appliance already up-to-date
377-210113,Anti-spam engine update failed
377-210113321,Anti-spam engine update failed - Unable to fetch file
377-210113322,Anti-spam engine update failed - File fetched was not as expected
377-210113323,Anti-spam engine update failed - File has bad content
377-210113324,Anti-spam engine update failed - Test install failed
377-210113343,Anti-spam engine update failed - Unable to install new engine
377-210113390,Anti-spam engine update failed - No file given
377-210113903,Anti-spam engine update failed - Spam enginge install failed
377-210113381,Anti-spam engine update failed - RPM contained unacceptable files
377-210113382,Anti-spam engine update failed - RPM package contained unacceptable scripts
377-210113383,Anti-spam engine update failed - File supplied is not a well formed RPM package
377-210113384,Anti-spam engine update failed - RPM package conflicts with existing files
377-210113385,Anti-spam engine update failed - RPM package conflict
377-210113391,Anti-spam engine update failed - A system command failed
377-210114,Anti-spam engine update interrupted
377-210121,Anti-spam rules update made changes
377-210121342,Anti-spam rules update made changes - Successfully updated DATs/rules
377-210122,Anti-spam rules update. No change
377-210122327,Anti-spam rules update. No change - Appliance already up-to-date
377-210122902,Anti-spam rules update. No change - No new update
377-210122632,Anti-spam rules update. No change - Another process is already handling this task
377-210123,Anti-spam rules update failed
377-210123344,Anti-spam rules update failed - Unable to install new DATs/rules
377-210123729,Anti-spam rules update failed - DATs/rules update failed
377-210124,Anti-spam rules update interrupted
377-210125,Anti-spam rules update succeeded after a series of failures
377-210125342,Anti-spam rules update succeeded after a series of failures - Successfully updated DATs/rules
377-210125327,Anti-spam rules update succeeded after a series of failures - Appliance already up-to-date
377-210126,Anti-spam update failing repeatedly
377-210126729,Anti-spam update failing repeatedly - DATs/rules update failed
377-210200,Anti-spam installation status
377-210200330,Anti-spam installation status - Installed
377-210200331,Anti-spam installation status - Evaluation period started
377-210200332,Anti-spam installation status - Evaluation period expired
377-210200333,Anti-spam installation status - End of evaluation period approaching
377-210200334,Anti-spam installation status - Uninstalled
377-210201,URL reputation installation status
377-210201330,URL reputation installation status - Installed
377-210201331,URL reputation installation status - Evaluation period started
377-210201332,URL reputation installation status - Evaluation period expired
377-210201333,URL reputation installation status - End of evaluation period approaching
377-210201334,URL reputation installation status - Uninstalled
377-210202,Email compliance installation status
377-210202330,Email compliance installation status - Installed
377-210202331,Email compliance installation status - Evaluation period started
377-210202332,Email compliance installation status - Evaluation period expired
377-210202333,Email compliance installation status - End of evaluation period approaching
377-210202334,Email compliance installation status - Uninstalled
377-210203,Data Loss Prevention (DLP) installation status
377-210203330,Data Loss Prevention (DLP) installation status - Installed
377-210203331,Data Loss Prevention (DLP) installation status - Evaluation period started
377-210203332,Data Loss Prevention (DLP) installation status - Evaluation period expired
377-210203333,Data Loss Prevention (DLP) installation status - End of evaluation period approaching
