description,"fail_code"
"Indicates the domain was in the wrong state to perform the desired operation.",0xC00000DD
"This operation is only allowed for the primary domain controller of the domain.",0xC00000DE
"The specified domain did not exist.",0xC00000DF
"The specified domain already exists.",0xC00000E0
"An attempt was made to exceed the limit on the number of domains per server for this release.",0xC00000E1
"An error status returned when the opportunistic lock (oplock) request is denied.",0xC00000E2
"An error status returned when an invalid opportunistic lock (oplock) acknowledgment is received by a file system.",0xC00000E3
"This error indicates that the requested operation cannot be completed due to a catastrophic media failure or an on-disk data structure corruption.",0xC00000E4
"An internal error occurred.",0xC00000E5
"Indicates generic access types were contained in an access mask which should already be mapped to non-generic access types.",0xC00000E6
"Indicates a security descriptor is not in the necessary format (absolute or self-relative).",0xC00000E7
"An access to a user buffer failed at an expected point in time. This code is defined because the caller does not want to accept STATUS_ACCESS_VIOLATION in its filter.",0xC00000E8
"If an I/O error that is not defined in the standard FsRtl filter is returned, it is converted to the following error, which is guaranteed to be in the filter. In this case, information is lost; however, the filter correctly handles the exception.",0xC00000E9
"If an MM error that is not defined in the standard FsRtl filter is returned, it is converted to one of the following errors, which are guaranteed to be in the filter. In this case, information is lost; however, the filter correctly handles the exception.",0xC00000EA
"If an MM error that is not defined in the standard FsRtl filter is returned, it is converted to one of the following errors, which are guaranteed to be in the filter. In this case, information is lost; however, the filter correctly handles the exception.",0xC00000EB
"If an MM error that is not defined in the standard FsRtl filter is returned, it is converted to one of the following errors, which are guaranteed to be in the filter. In this case, information is lost; however, the filter correctly handles the exception.",0xC00000EC
"The requested action is restricted for use by logon processes only. The calling process has not registered as a logon process.",0xC00000ED
"An attempt has been made to start a new session manager or LSA logon session by using an ID that is already in use.",0xC00000EE
"An invalid parameter was passed to a service or function as the first argument.",0xC00000EF
"An invalid parameter was passed to a service or function as the second argument.",0xC00000F0
"An invalid parameter was passed to a service or function as the third argument.",0xC00000F1
"An invalid parameter was passed to a service or function as the fourth argument.",0xC00000F2
"An invalid parameter was passed to a service or function as the fifth argument.",0xC00000F3
"An invalid parameter was passed to a service or function as the sixth argument.",0xC00000F4
"An invalid parameter was passed to a service or function as the seventh argument.",0xC00000F5
"An invalid parameter was passed to a service or function as the eighth argument.",0xC00000F6
"An invalid parameter was passed to a service or function as the ninth argument.",0xC00000F7
"An invalid parameter was passed to a service or function as the tenth argument.",0xC00000F8
"An invalid parameter was passed to a service or function as the eleventh argument.",0xC00000F9
"An invalid parameter was passed to a service or function as the twelfth argument.",0xC00000FA
"An attempt was made to access a network file, but the network software was not yet started.",0xC00000FB
"An attempt was made to start the redirector, but the redirector has already been started.",0xC00000FC
"A new guard page for the stack cannot be created.",0xC00000FD
"A specified authentication package is unknown.",0xC00000FE
"A malformed function table was encountered during an unwind operation.",0xC00000FF
"Indicates the specified environment variable name was not found in the specified environment block.",0xC0000100
"Indicates that the directory trying to be deleted is not empty.",0xC0000101
"{Corrupt File} The file or directory %hs is corrupt and unreadable. Run the Chkdsk utility.",0xC0000102
"A requested opened file is not a directory.",0xC0000103
"The logon session is not in a state that is consistent with the requested operation.",0xC0000104
"An internal LSA error has occurred. An authentication package has requested the creation of a logon session but the ID of an already existing logon session has been specified.",0xC0000105
"A specified name string is too long for its intended use.",0xC0000106
"The user attempted to force close the files on a redirected drive, but there were opened files on the drive, and the user did not specify a sufficient level of force.",0xC0000107
"The user attempted to force close the files on a redirected drive, but there were opened directories on the drive, and the user did not specify a sufficient level of force.",0xC0000108
"RtlFindMessage could not locate the requested message ID in the message table resource.",0xC0000109
"An attempt was made to duplicate an object handle into or out of an exiting process.",0xC000010A
"Indicates an invalid value has been provided for the LogonType requested.",0xC000010B
"Indicates that an attempt was made to assign protection to a file system file or directory and one of the SIDs in the security descriptor could not be translated into a GUID that could be stored by the file system. This causes the protection attempt to fail, which may cause a file creation attempt to fail.",0xC000010C
"Indicates that an attempt has been made to impersonate via a named pipe that has not yet been read from.",0xC000010D
"Indicates that the specified image is already loaded.",0xC000010E
"Indicates that an attempt was made to change the size of the LDT for a process that has no LDT.",0xC0000117
"Indicates that an attempt was made to grow an LDT by setting its size, or that the size was not an even number of selectors.",0xC0000118
"Indicates that the starting value for the LDT information was not an integral multiple of the selector size.",0xC0000119
"Indicates that the user supplied an invalid descriptor when trying to set up LDT descriptors.",0xC000011A
"The specified image file did not have the correct format. It appears to be NE format.",0xC000011B
"Indicates that the transaction state of a registry subtree is incompatible with the requested operation. For example, a request has been made to start a new transaction with one already in progress, or a request has been made to apply a transaction when one is not currently in progress.",0xC000011C
"Indicates an error has occurred during a registry transaction commit. The database has been left in an unknown, but probably inconsistent, state. The state of the registry transaction is left as COMMITTING.",0xC000011D
"An attempt was made to map a file of size zero with the maximum size specified as zero.",0xC000011E
"Too many files are opened on a remote server. This error should only be returned by the Windows redirector on a remote drive.",0xC000011F
"The I/O request was canceled.",0xC0000120
"An attempt has been made to remove a file or directory that cannot be deleted.",0xC0000121
"Indicates a name that was specified as a remote computer name is syntactically invalid.",0xC0000122
"An I/O request other than close was performed on a file after it was deleted, which can only happen to a request that did not complete before the last handle was closed via NtClose.",0xC0000123
"Indicates an operation that is incompatible with built-in accounts has been attempted on a built-in (special) SAM account. For example, built-in accounts cannot be deleted.",0xC0000124
"The operation requested may not be performed on the specified group because it is a built-in special group.",0xC0000125
"The operation requested may not be performed on the specified user because it is a built-in special user.",0xC0000126
"Indicates a member cannot be removed from a group because the group is currently the member's primary group.",0xC0000127
"An I/O request other than close and several other special case operations was attempted using a file object that had already been closed.",0xC0000128
"Indicates a process has too many threads to perform the requested action. For example, assignment of a primary token may only be performed when a process has zero or one threads.",0xC0000129
"An attempt was made to operate on a thread within a specific process, but the specified thread is not in the specified process.",0xC000012A
"An attempt was made to establish a token for use as a primary token but the token is already in use. A token can only be the primary token of one process at a time.",0xC000012B
"The page file quota was exceeded.",0xC000012C
"{Out of Virtual Memory} Your system is low on virtual memory. To ensure that Windows runs correctly, increase the size of your virtual memory paging file. For more information, see Help.",0xC000012D
"The specified image file did not have the correct format: it appears to be LE format.",0xC000012E
"The specified image file did not have the correct format: it did not have an initial MZ.",0xC000012F
"The specified image file did not have the correct format: it did not have a proper e_lfarlc in the MZ header.",0xC0000130
"The specified image file did not have the correct format: it appears to be a 16-bit Windows image.",0xC0000131
"The Netlogon service cannot start because another Netlogon service running in the domain conflicts with the specified role.",0xC0000132
"The time at the primary domain controller is different from the time at the backup domain controller or member server by too large an amount.",0xC0000133
"The SAM database on a Windows Server operating system is significantly out of synchronization with the copy on the domain controller. A complete synchronization is required.",0xC0000134
"{Unable To Locate Component} This application has failed to start because %hs was not found. Reinstalling the application may fix this problem.",0xC0000135
"The NtCreateFile API failed. This error should never be returned to an application; it is a place holder for the Windows LAN Manager Redirector to use in its internal error-mapping routines.",0xC0000136
"{Privilege Failed} The I/O permissions for the process could not be changed.",0xC0000137
"{Ordinal Not Found} The ordinal %ld could not be located in the dynamic link library %hs.",0xC0000138
"{Entry Point Not Found} The procedure entry point %hs could not be located in the dynamic link library %hs.",0xC0000139
"{Application Exit by CTRL+C} The application terminated as a result of a CTRL+C.",0xC000013A
"{Virtual Circuit Closed} The network transport on your computer has closed a network connection. There may or may not be I/O requests outstanding.",0xC000013B
"{Virtual Circuit Closed} The network transport on a remote computer has closed a network connection. There may or may not be I/O requests outstanding.",0xC000013C
"{Insufficient Resources on Remote Computer} The remote computer has insufficient resources to complete the network request. For example, the remote computer may not have enough available memory to carry out the request at this time.",0xC000013D
"{Virtual Circuit Closed} An existing connection (virtual circuit) has been broken at the remote computer. There is probably something wrong with the network software protocol or the network hardware on the remote computer.",0xC000013E
"{Virtual Circuit Closed} The network transport on your computer has closed a network connection because it had to wait too long for a response from the remote computer.",0xC000013F
"The connection handle that was given to the transport was invalid.",0xC0000140
"The address handle that was given to the transport was invalid.",0xC0000141
"{DLL Initialization Failed} Initialization of the dynamic link library %hs failed. The process is terminating abnormally.",0xC0000142
"{Missing System File} The required system file %hs is bad or missing.",0xC0000143
"{Application Error} The exception %s (0x%08lx) occurred in the application at location 0x%08lx.",0xC0000144
"{Application Error} The application failed to initialize properly (0x%lx). Click OK to terminate the application.",0xC0000145
"{Unable to Create Paging File} The creation of the paging file %hs failed (%lx). The requested size was %ld.",0xC0000146
"{No Paging File Specified} No paging file was specified in the system configuration.",0xC0000147
"{Incorrect System Call Level} An invalid level was passed into the specified system call.",0xC0000148
"{Incorrect Password to LAN Manager Server} You specified an incorrect password to a LAN Manager 2.x or MS-NET server.",0xC0000149
"{EXCEPTION} A real-mode application issued a floating-point instruction and floating-point hardware is not present.",0xC000014A
"The pipe operation has failed because the other end of the pipe has been closed.",0xC000014B
"{The Registry Is Corrupt} The structure of one of the files that contains registry data is corrupt; the image of the file in memory is corrupt; or the file could not be recovered because the alternate copy or log was absent or corrupt.",0xC000014C
"An I/O operation initiated by the Registry failed and cannot be recovered. The registry could not read in, write out, or flush one of the files that contain the system's image of the registry.",0xC000014D
"An event pair synchronization operation was performed using the thread-specific client/server event pair object, but no event pair object was associated with the thread.",0xC000014E
"The volume does not contain a recognized file system. Be sure that all required file system drivers are loaded and that the volume is not corrupt.",0xC000014F
"No serial device was successfully initialized. The serial driver will unload.",0xC0000150
"The specified local group does not exist.",0xC0000151
"The specified account name is not a member of the group.",0xC0000152
"The specified account name is already a member of the group.",0xC0000153
"The specified local group already exists.",0xC0000154
"A requested type of logon (for example, interactive, network, and service) is not granted by the local security policy of the target system. Ask the system administrator to grant the necessary form of logon.",0xC0000155
"The maximum number of secrets that may be stored in a single system was exceeded. The length and number of secrets is limited to satisfy U.S. State Department export restrictions.",0xC0000156
"The length of a secret exceeds the maximum allowable length. The length and number of secrets is limited to satisfy U.S. State Department export restrictions.",0xC0000157
"The local security authority (LSA) database contains an internal inconsistency.",0xC0000158
"The requested operation cannot be performed in full-screen mode.",0xC0000159
"During a logon attempt, the user's security context accumulated too many security IDs. This is a very unusual situation. Remove the user from some global or local groups to reduce the number of security IDs to incorporate into the security context.",0xC000015A
"A user has requested a type of logon (for example, interactive or network) that has not been granted. An administrator has control over who may logon interactively and through the network.",0xC000015B
"The system has attempted to load or restore a file into the registry, and the specified file is not in the format of a registry file.",0xC000015C
"An attempt was made to change a user password in the security account manager without providing the necessary Windows cross-encrypted password.",0xC000015D
"A Windows Server has an incorrect configuration.",0xC000015E
"An attempt was made to explicitly access the secondary copy of information via a device control to the fault tolerance driver and the secondary copy is not present in the system.",0xC000015F
"A configuration registry node that represents a driver service entry was ill-formed and did not contain the required value entries.",0xC0000160
"An illegal character was encountered. For a multibyte character set, this includes a lead byte without a succeeding trail byte. For the Unicode character set this includes the characters 0xFFFF and 0xFFFE.",0xC0000161
"No mapping for the Unicode character exists in the target multibyte code page.",0xC0000162
"The Unicode character is not defined in the Unicode character set that is installed on the system.",0xC0000163
"The paging file cannot be created on a floppy disk.",0xC0000164
"{Floppy Disk Error} While accessing a floppy disk, an ID address mark was not found.",0xC0000165
"{Floppy Disk Error} While accessing a floppy disk, the track address from the sector ID field was found to be different from the track address that is maintained by the controller.",0xC0000166
"{Floppy Disk Error} The floppy disk controller reported an error that is not recognized by the floppy disk driver.",0xC0000167
"{Floppy Disk Error} While accessing a floppy-disk, the controller returned inconsistent results via its registers.",0xC0000168
"{Hard Disk Error} While accessing the hard disk, a recalibrate operation failed, even after retries.",0xC0000169
"{Hard Disk Error} While accessing the hard disk, a disk operation failed even after retries.",0xC000016A
"{Hard Disk Error} While accessing the hard disk, a disk controller reset was needed, but even that failed.",0xC000016B
"An attempt was made to open a device that was sharing an interrupt request (IRQ) with other devices. At least one other device that uses that IRQ was already opened. Two concurrent opens of devices that share an IRQ and only work via interrupts is not supported for the particular bus type that the devices use.",0xC000016C
"{FT Orphaning} A disk that is part of a fault-tolerant volume can no longer be accessed.",0xC000016D
"The basic input/output system (BIOS) failed to connect a system interrupt to the device or bus for which the device is connected.",0xC000016E
"The tape could not be partitioned.",0xC0000172
"When accessing a new tape of a multi-volume partition, the current blocksize is incorrect.",0xC0000173
"The tape partition information could not be found when loading a tape.",0xC0000174
"An attempt to lock the eject media mechanism failed.",0xC0000175
"An attempt to unload media failed.",0xC0000176
"The physical end of tape was detected.",0xC0000177
"{No Media} There is no media in the drive. Insert media into drive %hs.",0xC0000178
"A member could not be added to or removed from the local group because the member does not exist.",0xC000017A
"A new member could not be added to a local group because the member has the wrong account type.",0xC000017B
"An illegal operation was attempted on a registry key that has been marked for deletion.",0xC000017C
"The system could not allocate the required space in a registry log.",0xC000017D
"Too many SIDs have been specified.",0xC000017E
"An attempt was made to change a user password in the security account manager without providing the necessary LM cross-encrypted password.",0xC000017F
"An attempt was made to create a symbolic link in a registry key that already has subkeys or values.",0xC0000180
"An attempt was made to create a stable subkey under a volatile parent key.",0xC0000181
"The I/O device is configured incorrectly or the configuration parameters to the driver are incorrect.",0xC0000182
"An error was detected between two drivers or within an I/O driver.",0xC0000183
"The device is not in a valid state to perform this request.",0xC0000184
"The I/O device reported an I/O error.",0xC0000185
"A protocol error was detected between the driver and the device.",0xC0000186
"This operation is only allowed for the primary domain controller of the domain.",0xC0000187
"The log file space is insufficient to support this operation.",0xC0000188
"A write operation was attempted to a volume after it was dismounted.",0xC0000189
"The workstation does not have a trust secret for the primary domain in the local LSA database.",0xC000018A
"The SAM database on the Windows Server does not have a computer account for this workstation trust relationship.",0xC000018B
"The logon request failed because the trust relationship between the primary domain and the trusted domain failed.",0xC000018C
"The logon request failed because the trust relationship between this workstation and the primary domain failed.",0xC000018D
"The Eventlog log file is corrupt.",0xC000018E
"No Eventlog log file could be opened. The Eventlog service did not start.",0xC000018F
"The network logon failed. This may be because the validation authority cannot be reached.",0xC0000190
"An attempt was made to acquire a mutant such that its maximum count would have been exceeded.",0xC0000191
"An attempt was made to logon, but the NetLogon service was not started.",0xC0000192
"The user account has expired.",0xC0000193
"{EXCEPTION} Possible deadlock condition.",0xC0000194
"Multiple connections to a server or shared resource by the same user, using more than one user name, are not allowed. Disconnect all previous connections to the server or shared resource and try again.",0xC0000195
"An attempt was made to establish a session to a network server, but there are already too many sessions established to that server.",0xC0000196
"The log file has changed between reads.",0xC0000197
"The account used is an interdomain trust account. Use your global user account or local user account to access this server.",0xC0000198
"The account used is a computer account. Use your global user account or local user account to access this server.",0xC0000199
"The account used is a server trust account. Use your global user account or local user account to access this server.",0xC000019A
"The name or SID of the specified domain is inconsistent with the trust information for that domain.",0xC000019B
"A volume has been accessed for which a file system driver is required that has not yet been loaded.",0xC000019C
"Indicates that the specified image is already loaded as a DLL.",0xC000019D
"Short name settings may not be changed on this volume due to the global registry setting.",0xC000019E
"Short names are not enabled on this volume.",0xC000019F
"The security stream for the given volume is in an inconsistent state. Please run CHKDSK on the volume.",0xC00001A0
"A requested file lock operation cannot be processed due to an invalid byte range.",0xC00001A1
"The specified access control entry (ACE) contains an invalid condition.",0xC00001A2
"The subsystem needed to support the image type is not present.",0xC00001A3
"The specified file already has a notification GUID associated with it.",0xC00001A4
"A remote open failed because the network open restrictions were not satisfied.",0xC0000201
"There is no user session key for the specified logon session.",0xC0000202
"The remote user session has been deleted.",0xC0000203
"Indicates the specified resource language ID cannot be found in the image file.",0xC0000204
"Insufficient server resources exist to complete the request.",0xC0000205
"The size of the buffer is invalid for the specified operation.",0xC0000206
"The transport rejected the specified network address as invalid.",0xC0000207
"The transport rejected the specified network address due to invalid use of a wildcard.",0xC0000208
"The transport address could not be opened because all the available addresses are in use.",0xC0000209
"The transport address could not be opened because it already exists.",0xC000020A
"The transport address is now closed.",0xC000020B
"The transport connection is now disconnected.",0xC000020C
"The transport connection has been reset.",0xC000020D
"The transport cannot dynamically acquire any more nodes.",0xC000020E
"The transport aborted a pending transaction.",0xC000020F
"The transport timed out a request that is waiting for a response.",0xC0000210
"The transport did not receive a release for a pending response.",0xC0000211
"The transport did not find a transaction that matches the specific token.",0xC0000212
"The transport had previously responded to a transaction request.",0xC0000213
"The transport does not recognize the specified transaction request ID.",0xC0000214
"The transport does not recognize the specified transaction request type.",0xC0000215
"The transport can only process the specified request on the server side of a session.",0xC0000216
"The transport can only process the specified request on the client side of a session.",0xC0000217
"{Registry File Failure} The registry cannot load the hive (file): %hs or its log or alternate. It is corrupt, absent, or not writable.",0xC0000218
"{Unexpected Failure in DebugActiveProcess} An unexpected failure occurred while processing a DebugActiveProcess API request. You may choose OK to terminate the process, or Cancel to ignore the error.",0xC0000219
"{Fatal System Error} The %hs system process terminated unexpectedly with a status of 0x%08x (0x%08x 0x%08x). The system has been shut down.",0xC000021A
"{Data Not Accepted} The TDI client could not handle the data received during an indication.",0xC000021B
"{Unable to Retrieve Browser Server List} The list of servers for this workgroup is not currently available.",0xC000021C
"NTVDM encountered a hard error.",0xC000021D
"{Cancel Timeout} The driver %hs failed to complete a canceled I/O request in the allotted time.",0xC000021E
"{Reply Message Mismatch} An attempt was made to reply to an LPC message, but the thread specified by the client ID in the message was not waiting on that message.",0xC000021F
"{Mapped View Alignment Incorrect} An attempt was made to map a view of a file, but either the specified base address or the offset into the file were not aligned on the proper allocation granularity.",0xC0000220
"{Bad Image Checksum} The image %hs is possibly corrupt. The header checksum does not match the computed checksum.",0xC0000221
"{Delayed Write Failed} Windows was unable to save all the data for the file %hs. The data has been lost. This error may be caused by a failure of your computer hardware or network connection. Try to save this file elsewhere.",0xC0000222
"The parameters passed to the server in the client/server shared memory window were invalid. Too much data may have been put in the shared memory window.",0xC0000223
"The user password must be changed before logging on the first time.",0xC0000224
"The object was not found.",0xC0000225
"The stream is not a tiny stream.",0xC0000226
"A transaction recovery failed.",0xC0000227
"The request must be handled by the stack overflow code.",0xC0000228
"A consistency check failed.",0xC0000229
"The attempt to insert the ID in the index failed because the ID is already in the index.",0xC000022A
"The attempt to set the object ID failed because the object already has an ID.",0xC000022B
"Internal OFS status codes indicating how an allocation operation is handled. Either it is retried after the containing oNode is moved or the extent stream is converted to a large stream.",0xC000022C
"The request needs to be retried.",0xC000022D
"The attempt to find the object found an object on the volume that matches by ID; however, it is out of the scope of the handle that is used for the operation.",0xC000022E
"The bucket array must be grown. Retry the transaction after doing so.",0xC000022F
"The specified property set does not exist on the object.",0xC0000230
"The user/kernel marshaling buffer has overflowed.",0xC0000231
"The supplied variant structure contains invalid data.",0xC0000232
"A domain controller for this domain was not found.",0xC0000233
"The user account has been automatically locked because too many invalid logon attempts or password change attempts have been requested.",0xC0000234
"NtClose was called on a handle that was protected from close via NtSetInformationObject.",0xC0000235
"The transport-connection attempt was refused by the remote system.",0xC0000236
"The transport connection was gracefully closed.",0xC0000237
"The transport endpoint already has an address associated with it.",0xC0000238
"An address has not yet been associated with the transport endpoint.",0xC0000239
"An operation was attempted on a nonexistent transport connection.",0xC000023A
"An invalid operation was attempted on an active transport connection.",0xC000023B
"The remote network is not reachable by the transport.",0xC000023C
"The remote system is not reachable by the transport.",0xC000023D
"The remote system does not support the transport protocol.",0xC000023E
"No service is operating at the destination port of the transport on the remote system.",0xC000023F
"The request was aborted.",0xC0000240
"The transport connection was aborted by the local system.",0xC0000241
"The specified buffer contains ill-formed data.",0xC0000242
"The requested operation cannot be performed on a file with a user mapped section open.",0xC0000243
"{Audit Failed} An attempt to generate a security audit failed.",0xC0000244
"The timer resolution was not previously set by the current process.",0xC0000245
"A connection to the server could not be made because the limit on the number of concurrent connections for this account has been reached.",0xC0000246
"Attempting to log on during an unauthorized time of day for this account.",0xC0000247
"The account is not authorized to log on from this station.",0xC0000248
"{UP/MP Image Mismatch} The image %hs has been modified for use on a uniprocessor system, but you are running it on a multiprocessor machine. Reinstall the image file.",0xC0000249
"There is insufficient account information to log you on.",0xC0000250
"{Invalid DLL Entrypoint} The dynamic link library %hs is not written correctly. The stack pointer has been left in an inconsistent state. The entry point should be declared as WINAPI or STDCALL. Select YES to fail the DLL load. Select NO to continue execution. Selecting NO may cause the application to operate incorrectly.",0xC0000251
"{Invalid Service Callback Entrypoint} The %hs service is not written correctly. The stack pointer has been left in an inconsistent state. The callback entry point should be declared as WINAPI or STDCALL. Selecting OK will cause the service to continue operation. However, the service process may operate incorrectly.",0xC0000252
"The server received the messages but did not send a reply.",0xC0000253
"There is an IP address conflict with another system on the network.",0xC0000254
"There is an IP address conflict with another system on the network.",0xC0000255
"{Low On Registry Space} The system has reached the maximum size that is allowed for the system part of the registry. Additional storage requests will be ignored.",0xC0000256
"The contacted server does not support the indicated part of the DFS namespace.",0xC0000257
"A callback return system service cannot be executed when no callback is active.",0xC0000258
"The service being accessed is licensed for a particular number of connections. No more connections can be made to the service at this time because the service has already accepted the maximum number of connections.",0xC0000259
"The password provided is too short to meet the policy of your user account. Choose a longer password.",0xC000025A
"The policy of your user account does not allow you to change passwords too frequently. This is done to prevent users from changing back to a familiar, but potentially discovered, password. If you feel your password has been compromised, contact your administrator immediately to have a new one assigned.",0xC000025B
"You have attempted to change your password to one that you have used in the past. The policy of your user account does not allow this. Select a password that you have not previously used.",0xC000025C
"You have attempted to load a legacy device driver while its device instance had been disabled.",0xC000025E
"The specified compression format is unsupported.",0xC000025F
"The specified hardware profile configuration is invalid.",0xC0000260
"The specified Plug and Play registry device path is invalid.",0xC0000261
"{Driver Entry Point Not Found} The %hs device driver could not locate the ordinal %ld in driver %hs.",0xC0000262
"{Driver Entry Point Not Found} The %hs device driver could not locate the entry point %hs in driver %hs.",0xC0000263
"{Application Error} The application attempted to release a resource it did not own. Click OK to terminate the application.",0xC0000264
"An attempt was made to create more links on a file than the file system supports.",0xC0000265
"The specified quota list is internally inconsistent with its descriptor.",0xC0000266
"The specified file has been relocated to offline storage.",0xC0000267
"{Windows Evaluation Notification} The evaluation period for this installation of Windows has expired. This system will shutdown in 1 hour. To restore access to this installation of Windows, upgrade this installation by using a licensed distribution of this product.",0xC0000268
"{Illegal System DLL Relocation} The system DLL %hs was relocated in memory. The application will not run properly. The relocation occurred because the DLL %hs occupied an address range that is reserved for Windows system DLLs. The vendor supplying the DLL should be contacted for a new DLL.",0xC0000269
"{License Violation} The system has detected tampering with your registered product type. This is a violation of your software license. Tampering with the product type is not permitted.",0xC000026A
"{DLL Initialization Failed} The application failed to initialize because the window station is shutting down.",0xC000026B
"{Unable to Load Device Driver} %hs device driver could not be loaded. Error Status was 0x%x.",0xC000026C
"DFS is unavailable on the contacted server.",0xC000026D
"An operation was attempted to a volume after it was dismounted.",0xC000026E
"An internal error occurred in the Win32 x86 emulation subsystem.",0xC000026F
"Win32 x86 emulation subsystem floating-point stack check.",0xC0000270
"The validation process needs to continue on to the next step.",0xC0000271
"There was no match for the specified key in the index.",0xC0000272
"There are no more matches for the current index enumeration.",0xC0000273
"The NTFS file or directory is not a reparse point.",0xC0000275
"The Windows I/O reparse tag passed for the NTFS reparse point is invalid.",0xC0000276
"The Windows I/O reparse tag does not match the one that is in the NTFS reparse point.",0xC0000277
"The user data passed for the NTFS reparse point is invalid.",0xC0000278
"The layered file system driver for this I/O tag did not handle it when needed.",0xC0000279
"The NTFS symbolic link could not be resolved even though the initial file name is valid.",0xC0000280
"The NTFS directory is a reparse point.",0xC0000281
"The range could not be added to the range list because of a conflict.",0xC0000282
"The specified medium changer source element contains no media.",0xC0000283
"The specified medium changer destination element already contains media.",0xC0000284
"The specified medium changer element does not exist.",0xC0000285
"The specified element is contained in a magazine that is no longer present.",0xC0000286
"The device requires re-initialization due to hardware errors.",0xC0000287
"The file encryption attempt failed.",0xC000028A
"The file decryption attempt failed.",0xC000028B
"The specified range could not be found in the range list.",0xC000028C
"There is no encryption recovery policy configured for this system.",0xC000028D
"The required encryption driver is not loaded for this system.",0xC000028E
"The file was encrypted with a different encryption driver than is currently loaded.",0xC000028F
"There are no EFS keys defined for the user.",0xC0000290
"The specified file is not encrypted.",0xC0000291
"The specified file is not in the defined EFS export format.",0xC0000292
"The specified file is encrypted and the user does not have the ability to decrypt it.",0xC0000293
"The GUID passed was not recognized as valid by a WMI data provider.",0xC0000295
"The instance name passed was not recognized as valid by a WMI data provider.",0xC0000296
"The data item ID passed was not recognized as valid by a WMI data provider.",0xC0000297
"The WMI request could not be completed and should be retried.",0xC0000298
"The policy object is shared and can only be modified at the root.",0xC0000299
"The policy object does not exist when it should.",0xC000029A
"The requested policy information only lives in the Ds.",0xC000029B
"The volume must be upgraded to enable this feature.",0xC000029C
"The remote storage service is not operational at this time.",0xC000029D
"The remote storage service encountered a media error.",0xC000029E
"The tracking (workstation) service is not running.",0xC000029F
"The server process is running under a SID that is different from the SID that is required by client.",0xC00002A0
"The specified directory service attribute or value does not exist.",0xC00002A1
"The attribute syntax specified to the directory service is invalid.",0xC00002A2
"The attribute type specified to the directory service is not defined.",0xC00002A3
"The specified directory service attribute or value already exists.",0xC00002A4
"The directory service is busy.",0xC00002A5
"The directory service is unavailable.",0xC00002A6
"The directory service was unable to allocate a relative identifier.",0xC00002A7
"The directory service has exhausted the pool of relative identifiers.",0xC00002A8
"The requested operation could not be performed because the directory service is not the master for that type of operation.",0xC00002A9
"The directory service was unable to initialize the subsystem that allocates relative identifiers.",0xC00002AA
"The requested operation did not satisfy one or more constraints that are associated with the class of the object.",0xC00002AB
"The directory service can perform the requested operation only on a leaf object.",0xC00002AC
"The directory service cannot perform the requested operation on the Relatively Defined Name (RDN) attribute of an object.",0xC00002AD
"The directory service detected an attempt to modify the object class of an object.",0xC00002AE
"An error occurred while performing a cross domain move operation.",0xC00002AF
"Unable to contact the global catalog server.",0xC00002B0
"The requested operation requires a directory service, and none was available.",0xC00002B1
"The reparse attribute cannot be set because it is incompatible with an existing attribute.",0xC00002B2
"A group marked ""use for deny only"" cannot be enabled.",0xC00002B3
"{EXCEPTION} Multiple floating-point faults.",0xC00002B4
"{EXCEPTION} Multiple floating-point traps.",0xC00002B5
"The device has been removed.",0xC00002B6
"The volume change journal is being deleted.",0xC00002B7
"The volume change journal is not active.",0xC00002B8
"The requested interface is not supported.",0xC00002B9
"A directory service resource limit has been exceeded.",0xC00002C1
"{System Standby Failed} The driver %hs does not support standby mode. Updating this driver may allow the system to go to standby mode.",0xC00002C2
"Mutual Authentication failed. The server password is out of date at the domain controller.",0xC00002C3
"The system file %1 has become corrupt and has been replaced.",0xC00002C4
"{EXCEPTION} Alignment Error A data type misalignment error was detected in a load or store instruction.",0xC00002C5
"The WMI data item or data block is read-only.",0xC00002C6
"The WMI data item or data block could not be changed.",0xC00002C7
"{Virtual Memory Minimum Too Low} Your system is low on virtual memory. Windows is increasing the size of your virtual memory paging file. During this process, memory requests for some applications may be denied. For more information, see Help.",0xC00002C8
"{EXCEPTION} Register NaT consumption faults. A NaT value is consumed on a non-speculative instruction.",0xC00002C9
"The transport element of the medium changer contains media, which is causing the operation to fail.",0xC00002CA
"Security Accounts Manager initialization failed because of the following error: %hs Error Status: 0x%x. Click OK to shut down this system and restart in Directory Services Restore Mode. Check the event log for more detailed information.",0xC00002CB
"This operation is supported only when you are connected to the server.",0xC00002CC
"Only an administrator can modify the membership list of an administrative group.",0xC00002CD
"A device was removed so enumeration must be restarted.",0xC00002CE
"The journal entry has been deleted from the journal.",0xC00002CF
"Cannot change the primary group ID of a domain controller account.",0xC00002D0
"{Fatal System Error} The system image %s is not properly signed. The file has been replaced with the signed file. The system has been shut down.",0xC00002D1
"The device will not start without a reboot.",0xC00002D2
"The power state of the current device cannot support this request.",0xC00002D3
"The specified group type is invalid.",0xC00002D4
"In a mixed domain, no nesting of a global group if the group is security enabled.",0xC00002D5
"In a mixed domain, cannot nest local groups with other local groups, if the group is security enabled.",0xC00002D6
"A global group cannot have a local group as a member.",0xC00002D7
"A global group cannot have a universal group as a member.",0xC00002D8
"A universal group cannot have a local group as a member.",0xC00002D9
"A global group cannot have a cross-domain member.",0xC00002DA
"A local group cannot have another cross-domain local group as a member.",0xC00002DB
