codepoints,emoji,group,name,"sub_group"
"1F471 200D 2640","👱‍♀","People & Body","woman: blond hair",person
"1F471 1F3FB 200D 2640 FE0F","👱🏻‍♀️","People & Body","woman: light skin tone, blond hair",person
"1F471 1F3FB 200D 2640","👱🏻‍♀","People & Body","woman: light skin tone, blond hair",person
"1F471 1F3FC 200D 2640 FE0F","👱🏼‍♀️","People & Body","woman: medium-light skin tone, blond hair",person
"1F471 1F3FC 200D 2640","👱🏼‍♀","People & Body","woman: medium-light skin tone, blond hair",person
"1F471 1F3FD 200D 2640 FE0F","👱🏽‍♀️","People & Body","woman: medium skin tone, blond hair",person
"1F471 1F3FD 200D 2640","👱🏽‍♀","People & Body","woman: medium skin tone, blond hair",person
"1F471 1F3FE 200D 2640 FE0F","👱🏾‍♀️","People & Body","woman: medium-dark skin tone, blond hair",person
"1F471 1F3FE 200D 2640","👱🏾‍♀","People & Body","woman: medium-dark skin tone, blond hair",person
"1F471 1F3FF 200D 2640 FE0F","👱🏿‍♀️","People & Body","woman: dark skin tone, blond hair",person
"1F471 1F3FF 200D 2640","👱🏿‍♀","People & Body","woman: dark skin tone, blond hair",person
"1F471 200D 2642 FE0F","👱‍♂️","People & Body","man: blond hair",person
"1F471 200D 2642","👱‍♂","People & Body","man: blond hair",person
"1F471 1F3FB 200D 2642 FE0F","👱🏻‍♂️","People & Body","man: light skin tone, blond hair",person
"1F471 1F3FB 200D 2642","👱🏻‍♂","People & Body","man: light skin tone, blond hair",person
"1F471 1F3FC 200D 2642 FE0F","👱🏼‍♂️","People & Body","man: medium-light skin tone, blond hair",person
"1F471 1F3FC 200D 2642","👱🏼‍♂","People & Body","man: medium-light skin tone, blond hair",person
"1F471 1F3FD 200D 2642 FE0F","👱🏽‍♂️","People & Body","man: medium skin tone, blond hair",person
"1F471 1F3FD 200D 2642","👱🏽‍♂","People & Body","man: medium skin tone, blond hair",person
"1F471 1F3FE 200D 2642 FE0F","👱🏾‍♂️","People & Body","man: medium-dark skin tone, blond hair",person
"1F471 1F3FE 200D 2642","👱🏾‍♂","People & Body","man: medium-dark skin tone, blond hair",person
"1F471 1F3FF 200D 2642 FE0F","👱🏿‍♂️","People & Body","man: dark skin tone, blond hair",person
"1F471 1F3FF 200D 2642","👱🏿‍♂","People & Body","man: dark skin tone, blond hair",person
1F9D3,"🧓","People & Body","older person",person
"1F9D3 1F3FB","🧓🏻","People & Body","older person: light skin tone",person
"1F9D3 1F3FC","🧓🏼","People & Body","older person: medium-light skin tone",person
"1F9D3 1F3FD","🧓🏽","People & Body","older person: medium skin tone",person
"1F9D3 1F3FE","🧓🏾","People & Body","older person: medium-dark skin tone",person
"1F9D3 1F3FF","🧓🏿","People & Body","older person: dark skin tone",person
1F474,"👴","People & Body","old man",person
"1F474 1F3FB","👴🏻","People & Body","old man: light skin tone",person
"1F474 1F3FC","👴🏼","People & Body","old man: medium-light skin tone",person
"1F474 1F3FD","👴🏽","People & Body","old man: medium skin tone",person
"1F474 1F3FE","👴🏾","People & Body","old man: medium-dark skin tone",person
"1F474 1F3FF","👴🏿","People & Body","old man: dark skin tone",person
1F475,"👵","People & Body","old woman",person
"1F475 1F3FB","👵🏻","People & Body","old woman: light skin tone",person
"1F475 1F3FC","👵🏼","People & Body","old woman: medium-light skin tone",person
"1F475 1F3FD","👵🏽","People & Body","old woman: medium skin tone",person
"1F475 1F3FE","👵🏾","People & Body","old woman: medium-dark skin tone",person
"1F475 1F3FF","👵🏿","People & Body","old woman: dark skin tone",person
1F64D,"🙍","People & Body","person frowning","person-gesture"
"1F64D 1F3FB","🙍🏻","People & Body","person frowning: light skin tone","person-gesture"
"1F64D 1F3FC","🙍🏼","People & Body","person frowning: medium-light skin tone","person-gesture"
"1F64D 1F3FD","🙍🏽","People & Body","person frowning: medium skin tone","person-gesture"
"1F64D 1F3FE","🙍🏾","People & Body","person frowning: medium-dark skin tone","person-gesture"
"1F64D 1F3FF","🙍🏿","People & Body","person frowning: dark skin tone","person-gesture"
"1F64D 200D 2642 FE0F","🙍‍♂️","People & Body","man frowning","person-gesture"
"1F64D 200D 2642","🙍‍♂","People & Body","man frowning","person-gesture"
"1F64D 1F3FB 200D 2642 FE0F","🙍🏻‍♂️","People & Body","man frowning: light skin tone","person-gesture"
"1F64D 1F3FB 200D 2642","🙍🏻‍♂","People & Body","man frowning: light skin tone","person-gesture"
"1F64D 1F3FC 200D 2642 FE0F","🙍🏼‍♂️","People & Body","man frowning: medium-light skin tone","person-gesture"
"1F64D 1F3FC 200D 2642","🙍🏼‍♂","People & Body","man frowning: medium-light skin tone","person-gesture"
"1F64D 1F3FD 200D 2642 FE0F","🙍🏽‍♂️","People & Body","man frowning: medium skin tone","person-gesture"
"1F64D 1F3FD 200D 2642","🙍🏽‍♂","People & Body","man frowning: medium skin tone","person-gesture"
"1F64D 1F3FE 200D 2642 FE0F","🙍🏾‍♂️","People & Body","man frowning: medium-dark skin tone","person-gesture"
"1F64D 1F3FE 200D 2642","🙍🏾‍♂","People & Body","man frowning: medium-dark skin tone","person-gesture"
"1F64D 1F3FF 200D 2642 FE0F","🙍🏿‍♂️","People & Body","man frowning: dark skin tone","person-gesture"
"1F64D 1F3FF 200D 2642","🙍🏿‍♂","People & Body","man frowning: dark skin tone","person-gesture"
"1F64D 200D 2640 FE0F","🙍‍♀️","People & Body","woman frowning","person-gesture"
"1F64D 200D 2640","🙍‍♀","People & Body","woman frowning","person-gesture"
"1F64D 1F3FB 200D 2640 FE0F","🙍🏻‍♀️","People & Body","woman frowning: light skin tone","person-gesture"
"1F64D 1F3FB 200D 2640","🙍🏻‍♀","People & Body","woman frowning: light skin tone","person-gesture"
"1F64D 1F3FC 200D 2640 FE0F","🙍🏼‍♀️","People & Body","woman frowning: medium-light skin tone","person-gesture"
"1F64D 1F3FC 200D 2640","🙍🏼‍♀","People & Body","woman frowning: medium-light skin tone","person-gesture"
"1F64D 1F3FD 200D 2640 FE0F","🙍🏽‍♀️","People & Body","woman frowning: medium skin tone","person-gesture"
"1F64D 1F3FD 200D 2640","🙍🏽‍♀","People & Body","woman frowning: medium skin tone","person-gesture"
"1F64D 1F3FE 200D 2640 FE0F","🙍🏾‍♀️","People & Body","woman frowning: medium-dark skin tone","person-gesture"
"1F64D 1F3FE 200D 2640","🙍🏾‍♀","People & Body","woman frowning: medium-dark skin tone","person-gesture"
"1F64D 1F3FF 200D 2640 FE0F","🙍🏿‍♀️","People & Body","woman frowning: dark skin tone","person-gesture"
"1F64D 1F3FF 200D 2640","🙍🏿‍♀","People & Body","woman frowning: dark skin tone","person-gesture"
1F64E,"🙎","People & Body","person pouting","person-gesture"
"1F64E 1F3FB","🙎🏻","People & Body","person pouting: light skin tone","person-gesture"
"1F64E 1F3FC","🙎🏼","People & Body","person pouting: medium-light skin tone","person-gesture"
"1F64E 1F3FD","🙎🏽","People & Body","person pouting: medium skin tone","person-gesture"
"1F64E 1F3FE","🙎🏾","People & Body","person pouting: medium-dark skin tone","person-gesture"
"1F64E 1F3FF","🙎🏿","People & Body","person pouting: dark skin tone","person-gesture"
"1F64E 200D 2642 FE0F","🙎‍♂️","People & Body","man pouting","person-gesture"
"1F64E 200D 2642","🙎‍♂","People & Body","man pouting","person-gesture"
"1F64E 1F3FB 200D 2642 FE0F","🙎🏻‍♂️","People & Body","man pouting: light skin tone","person-gesture"
"1F64E 1F3FB 200D 2642","🙎🏻‍♂","People & Body","man pouting: light skin tone","person-gesture"
"1F64E 1F3FC 200D 2642 FE0F","🙎🏼‍♂️","People & Body","man pouting: medium-light skin tone","person-gesture"
"1F64E 1F3FC 200D 2642","🙎🏼‍♂","People & Body","man pouting: medium-light skin tone","person-gesture"
"1F64E 1F3FD 200D 2642 FE0F","🙎🏽‍♂️","People & Body","man pouting: medium skin tone","person-gesture"
"1F64E 1F3FD 200D 2642","🙎🏽‍♂","People & Body","man pouting: medium skin tone","person-gesture"
"1F64E 1F3FE 200D 2642 FE0F","🙎🏾‍♂️","People & Body","man pouting: medium-dark skin tone","person-gesture"
"1F64E 1F3FE 200D 2642","🙎🏾‍♂","People & Body","man pouting: medium-dark skin tone","person-gesture"
"1F64E 1F3FF 200D 2642 FE0F","🙎🏿‍♂️","People & Body","man pouting: dark skin tone","person-gesture"
"1F64E 1F3FF 200D 2642","🙎🏿‍♂","People & Body","man pouting: dark skin tone","person-gesture"
"1F64E 200D 2640 FE0F","🙎‍♀️","People & Body","woman pouting","person-gesture"
"1F64E 200D 2640","🙎‍♀","People & Body","woman pouting","person-gesture"
"1F64E 1F3FB 200D 2640 FE0F","🙎🏻‍♀️","People & Body","woman pouting: light skin tone","person-gesture"
"1F64E 1F3FB 200D 2640","🙎🏻‍♀","People & Body","woman pouting: light skin tone","person-gesture"
"1F64E 1F3FC 200D 2640 FE0F","🙎🏼‍♀️","People & Body","woman pouting: medium-light skin tone","person-gesture"
"1F64E 1F3FC 200D 2640","🙎🏼‍♀","People & Body","woman pouting: medium-light skin tone","person-gesture"
"1F64E 1F3FD 200D 2640 FE0F","🙎🏽‍♀️","People & Body","woman pouting: medium skin tone","person-gesture"
"1F64E 1F3FD 200D 2640","🙎🏽‍♀","People & Body","woman pouting: medium skin tone","person-gesture"
"1F64E 1F3FE 200D 2640 FE0F","🙎🏾‍♀️","People & Body","woman pouting: medium-dark skin tone","person-gesture"
"1F64E 1F3FE 200D 2640","🙎🏾‍♀","People & Body","woman pouting: medium-dark skin tone","person-gesture"
"1F64E 1F3FF 200D 2640 FE0F","🙎🏿‍♀️","People & Body","woman pouting: dark skin tone","person-gesture"
"1F64E 1F3FF 200D 2640","🙎🏿‍♀","People & Body","woman pouting: dark skin tone","person-gesture"
1F645,"🙅","People & Body","person gesturing NO","person-gesture"
"1F645 1F3FB","🙅🏻","People & Body","person gesturing NO: light skin tone","person-gesture"
"1F645 1F3FC","🙅🏼","People & Body","person gesturing NO: medium-light skin tone","person-gesture"
"1F645 1F3FD","🙅🏽","People & Body","person gesturing NO: medium skin tone","person-gesture"
"1F645 1F3FE","🙅🏾","People & Body","person gesturing NO: medium-dark skin tone","person-gesture"
"1F645 1F3FF","🙅🏿","People & Body","person gesturing NO: dark skin tone","person-gesture"
"1F645 200D 2642 FE0F","🙅‍♂️","People & Body","man gesturing NO","person-gesture"
"1F645 200D 2642","🙅‍♂","People & Body","man gesturing NO","person-gesture"
"1F645 1F3FB 200D 2642 FE0F","🙅🏻‍♂️","People & Body","man gesturing NO: light skin tone","person-gesture"
"1F645 1F3FB 200D 2642","🙅🏻‍♂","People & Body","man gesturing NO: light skin tone","person-gesture"
"1F645 1F3FC 200D 2642 FE0F","🙅🏼‍♂️","People & Body","man gesturing NO: medium-light skin tone","person-gesture"
"1F645 1F3FC 200D 2642","🙅🏼‍♂","People & Body","man gesturing NO: medium-light skin tone","person-gesture"
"1F645 1F3FD 200D 2642 FE0F","🙅🏽‍♂️","People & Body","man gesturing NO: medium skin tone","person-gesture"
"1F645 1F3FD 200D 2642","🙅🏽‍♂","People & Body","man gesturing NO: medium skin tone","person-gesture"
"1F645 1F3FE 200D 2642 FE0F","🙅🏾‍♂️","People & Body","man gesturing NO: medium-dark skin tone","person-gesture"
"1F645 1F3FE 200D 2642","🙅🏾‍♂","People & Body","man gesturing NO: medium-dark skin tone","person-gesture"
"1F645 1F3FF 200D 2642 FE0F","🙅🏿‍♂️","People & Body","man gesturing NO: dark skin tone","person-gesture"
"1F645 1F3FF 200D 2642","🙅🏿‍♂","People & Body","man gesturing NO: dark skin tone","person-gesture"
"1F645 200D 2640 FE0F","🙅‍♀️","People & Body","woman gesturing NO","person-gesture"
"1F645 200D 2640","🙅‍♀","People & Body","woman gesturing NO","person-gesture"
"1F645 1F3FB 200D 2640 FE0F","🙅🏻‍♀️","People & Body","woman gesturing NO: light skin tone","person-gesture"
"1F645 1F3FB 200D 2640","🙅🏻‍♀","People & Body","woman gesturing NO: light skin tone","person-gesture"
"1F645 1F3FC 200D 2640 FE0F","🙅🏼‍♀️","People & Body","woman gesturing NO: medium-light skin tone","person-gesture"
"1F645 1F3FC 200D 2640","🙅🏼‍♀","People & Body","woman gesturing NO: medium-light skin tone","person-gesture"
"1F645 1F3FD 200D 2640 FE0F","🙅🏽‍♀️","People & Body","woman gesturing NO: medium skin tone","person-gesture"
"1F645 1F3FD 200D 2640","🙅🏽‍♀","People & Body","woman gesturing NO: medium skin tone","person-gesture"
"1F645 1F3FE 200D 2640 FE0F","🙅🏾‍♀️","People & Body","woman gesturing NO: medium-dark skin tone","person-gesture"
"1F645 1F3FE 200D 2640","🙅🏾‍♀","People & Body","woman gesturing NO: medium-dark skin tone","person-gesture"
"1F645 1F3FF 200D 2640 FE0F","🙅🏿‍♀️","People & Body","woman gesturing NO: dark skin tone","person-gesture"
"1F645 1F3FF 200D 2640","🙅🏿‍♀","People & Body","woman gesturing NO: dark skin tone","person-gesture"
1F646,"🙆","People & Body","person gesturing OK","person-gesture"
"1F646 1F3FB","🙆🏻","People & Body","person gesturing OK: light skin tone","person-gesture"
"1F646 1F3FC","🙆🏼","People & Body","person gesturing OK: medium-light skin tone","person-gesture"
"1F646 1F3FD","🙆🏽","People & Body","person gesturing OK: medium skin tone","person-gesture"
"1F646 1F3FE","🙆🏾","People & Body","person gesturing OK: medium-dark skin tone","person-gesture"
"1F646 1F3FF","🙆🏿","People & Body","person gesturing OK: dark skin tone","person-gesture"
"1F646 200D 2642 FE0F","🙆‍♂️","People & Body","man gesturing OK","person-gesture"
"1F646 200D 2642","🙆‍♂","People & Body","man gesturing OK","person-gesture"
"1F646 1F3FB 200D 2642 FE0F","🙆🏻‍♂️","People & Body","man gesturing OK: light skin tone","person-gesture"
"1F646 1F3FB 200D 2642","🙆🏻‍♂","People & Body","man gesturing OK: light skin tone","person-gesture"
"1F646 1F3FC 200D 2642 FE0F","🙆🏼‍♂️","People & Body","man gesturing OK: medium-light skin tone","person-gesture"
"1F646 1F3FC 200D 2642","🙆🏼‍♂","People & Body","man gesturing OK: medium-light skin tone","person-gesture"
"1F646 1F3FD 200D 2642 FE0F","🙆🏽‍♂️","People & Body","man gesturing OK: medium skin tone","person-gesture"
"1F646 1F3FD 200D 2642","🙆🏽‍♂","People & Body","man gesturing OK: medium skin tone","person-gesture"
"1F646 1F3FE 200D 2642 FE0F","🙆🏾‍♂️","People & Body","man gesturing OK: medium-dark skin tone","person-gesture"
"1F646 1F3FE 200D 2642","🙆🏾‍♂","People & Body","man gesturing OK: medium-dark skin tone","person-gesture"
"1F646 1F3FF 200D 2642 FE0F","🙆🏿‍♂️","People & Body","man gesturing OK: dark skin tone","person-gesture"
"1F646 1F3FF 200D 2642","🙆🏿‍♂","People & Body","man gesturing OK: dark skin tone","person-gesture"
"1F646 200D 2640 FE0F","🙆‍♀️","People & Body","woman gesturing OK","person-gesture"
"1F646 200D 2640","🙆‍♀","People & Body","woman gesturing OK","person-gesture"
"1F646 1F3FB 200D 2640 FE0F","🙆🏻‍♀️","People & Body","woman gesturing OK: light skin tone","person-gesture"
"1F646 1F3FB 200D 2640","🙆🏻‍♀","People & Body","woman gesturing OK: light skin tone","person-gesture"
"1F646 1F3FC 200D 2640 FE0F","🙆🏼‍♀️","People & Body","woman gesturing OK: medium-light skin tone","person-gesture"
"1F646 1F3FC 200D 2640","🙆🏼‍♀","People & Body","woman gesturing OK: medium-light skin tone","person-gesture"
"1F646 1F3FD 200D 2640 FE0F","🙆🏽‍♀️","People & Body","woman gesturing OK: medium skin tone","person-gesture"
"1F646 1F3FD 200D 2640","🙆🏽‍♀","People & Body","woman gesturing OK: medium skin tone","person-gesture"
"1F646 1F3FE 200D 2640 FE0F","🙆🏾‍♀️","People & Body","woman gesturing OK: medium-dark skin tone","person-gesture"
"1F646 1F3FE 200D 2640","🙆🏾‍♀","People & Body","woman gesturing OK: medium-dark skin tone","person-gesture"
"1F646 1F3FF 200D 2640 FE0F","🙆🏿‍♀️","People & Body","woman gesturing OK: dark skin tone","person-gesture"
"1F646 1F3FF 200D 2640","🙆🏿‍♀","People & Body","woman gesturing OK: dark skin tone","person-gesture"
1F481,"💁","People & Body","person tipping hand","person-gesture"
"1F481 1F3FB","💁🏻","People & Body","person tipping hand: light skin tone","person-gesture"
"1F481 1F3FC","💁🏼","People & Body","person tipping hand: medium-light skin tone","person-gesture"
"1F481 1F3FD","💁🏽","People & Body","person tipping hand: medium skin tone","person-gesture"
"1F481 1F3FE","💁🏾","People & Body","person tipping hand: medium-dark skin tone","person-gesture"
"1F481 1F3FF","💁🏿","People & Body","person tipping hand: dark skin tone","person-gesture"
"1F481 200D 2642 FE0F","💁‍♂️","People & Body","man tipping hand","person-gesture"
"1F481 200D 2642","💁‍♂","People & Body","man tipping hand","person-gesture"
"1F481 1F3FB 200D 2642 FE0F","💁🏻‍♂️","People & Body","man tipping hand: light skin tone","person-gesture"
"1F481 1F3FB 200D 2642","💁🏻‍♂","People & Body","man tipping hand: light skin tone","person-gesture"
"1F481 1F3FC 200D 2642 FE0F","💁🏼‍♂️","People & Body","man tipping hand: medium-light skin tone","person-gesture"
"1F481 1F3FC 200D 2642","💁🏼‍♂","People & Body","man tipping hand: medium-light skin tone","person-gesture"
"1F481 1F3FD 200D 2642 FE0F","💁🏽‍♂️","People & Body","man tipping hand: medium skin tone","person-gesture"
"1F481 1F3FD 200D 2642","💁🏽‍♂","People & Body","man tipping hand: medium skin tone","person-gesture"
"1F481 1F3FE 200D 2642 FE0F","💁🏾‍♂️","People & Body","man tipping hand: medium-dark skin tone","person-gesture"
"1F481 1F3FE 200D 2642","💁🏾‍♂","People & Body","man tipping hand: medium-dark skin tone","person-gesture"
"1F481 1F3FF 200D 2642 FE0F","💁🏿‍♂️","People & Body","man tipping hand: dark skin tone","person-gesture"
"1F481 1F3FF 200D 2642","💁🏿‍♂","People & Body","man tipping hand: dark skin tone","person-gesture"
"1F481 200D 2640 FE0F","💁‍♀️","People & Body","woman tipping hand","person-gesture"
"1F481 200D 2640","💁‍♀","People & Body","woman tipping hand","person-gesture"
"1F481 1F3FB 200D 2640 FE0F","💁🏻‍♀️","People & Body","woman tipping hand: light skin tone","person-gesture"
"1F481 1F3FB 200D 2640","💁🏻‍♀","People & Body","woman tipping hand: light skin tone","person-gesture"
"1F481 1F3FC 200D 2640 FE0F","💁🏼‍♀️","People & Body","woman tipping hand: medium-light skin tone","person-gesture"
"1F481 1F3FC 200D 2640","💁🏼‍♀","People & Body","woman tipping hand: medium-light skin tone","person-gesture"
"1F481 1F3FD 200D 2640 FE0F","💁🏽‍♀️","People & Body","woman tipping hand: medium skin tone","person-gesture"
"1F481 1F3FD 200D 2640","💁🏽‍♀","People & Body","woman tipping hand: medium skin tone","person-gesture"
"1F481 1F3FE 200D 2640 FE0F","💁🏾‍♀️","People & Body","woman tipping hand: medium-dark skin tone","person-gesture"
"1F481 1F3FE 200D 2640","💁🏾‍♀","People & Body","woman tipping hand: medium-dark skin tone","person-gesture"
"1F481 1F3FF 200D 2640 FE0F","💁🏿‍♀️","People & Body","woman tipping hand: dark skin tone","person-gesture"
"1F481 1F3FF 200D 2640","💁🏿‍♀","People & Body","woman tipping hand: dark skin tone","person-gesture"
1F64B,"🙋","People & Body","person raising hand","person-gesture"
"1F64B 1F3FB","🙋🏻","People & Body","person raising hand: light skin tone","person-gesture"
"1F64B 1F3FC","🙋🏼","People & Body","person raising hand: medium-light skin tone","person-gesture"
"1F64B 1F3FD","🙋🏽","People & Body","person raising hand: medium skin tone","person-gesture"
"1F64B 1F3FE","🙋🏾","People & Body","person raising hand: medium-dark skin tone","person-gesture"
"1F64B 1F3FF","🙋🏿","People & Body","person raising hand: dark skin tone","person-gesture"
"1F64B 200D 2642 FE0F","🙋‍♂️","People & Body","man raising hand","person-gesture"
"1F64B 200D 2642","🙋‍♂","People & Body","man raising hand","person-gesture"
"1F64B 1F3FB 200D 2642 FE0F","🙋🏻‍♂️","People & Body","man raising hand: light skin tone","person-gesture"
"1F64B 1F3FB 200D 2642","🙋🏻‍♂","People & Body","man raising hand: light skin tone","person-gesture"
"1F64B 1F3FC 200D 2642 FE0F","🙋🏼‍♂️","People & Body","man raising hand: medium-light skin tone","person-gesture"
"1F64B 1F3FC 200D 2642","🙋🏼‍♂","People & Body","man raising hand: medium-light skin tone","person-gesture"
"1F64B 1F3FD 200D 2642 FE0F","🙋🏽‍♂️","People & Body","man raising hand: medium skin tone","person-gesture"
"1F64B 1F3FD 200D 2642","🙋🏽‍♂","People & Body","man raising hand: medium skin tone","person-gesture"
"1F64B 1F3FE 200D 2642 FE0F","🙋🏾‍♂️","People & Body","man raising hand: medium-dark skin tone","person-gesture"
"1F64B 1F3FE 200D 2642","🙋🏾‍♂","People & Body","man raising hand: medium-dark skin tone","person-gesture"
"1F64B 1F3FF 200D 2642 FE0F","🙋🏿‍♂️","People & Body","man raising hand: dark skin tone","person-gesture"
"1F64B 1F3FF 200D 2642","🙋🏿‍♂","People & Body","man raising hand: dark skin tone","person-gesture"
"1F64B 200D 2640 FE0F","🙋‍♀️","People & Body","woman raising hand","person-gesture"
"1F64B 200D 2640","🙋‍♀","People & Body","woman raising hand","person-gesture"
"1F64B 1F3FB 200D 2640 FE0F","🙋🏻‍♀️","People & Body","woman raising hand: light skin tone","person-gesture"
"1F64B 1F3FB 200D 2640","🙋🏻‍♀","People & Body","woman raising hand: light skin tone","person-gesture"
"1F64B 1F3FC 200D 2640 FE0F","🙋🏼‍♀️","People & Body","woman raising hand: medium-light skin tone","person-gesture"
"1F64B 1F3FC 200D 2640","🙋🏼‍♀","People & Body","woman raising hand: medium-light skin tone","person-gesture"
"1F64B 1F3FD 200D 2640 FE0F","🙋🏽‍♀️","People & Body","woman raising hand: medium skin tone","person-gesture"
"1F64B 1F3FD 200D 2640","🙋🏽‍♀","People & Body","woman raising hand: medium skin tone","person-gesture"
"1F64B 1F3FE 200D 2640 FE0F","🙋🏾‍♀️","People & Body","woman raising hand: medium-dark skin tone","person-gesture"
"1F64B 1F3FE 200D 2640","🙋🏾‍♀","People & Body","woman raising hand: medium-dark skin tone","person-gesture"
"1F64B 1F3FF 200D 2640 FE0F","🙋🏿‍♀️","People & Body","woman raising hand: dark skin tone","person-gesture"
"1F64B 1F3FF 200D 2640","🙋🏿‍♀","People & Body","woman raising hand: dark skin tone","person-gesture"
1F9CF,"🧏","People & Body","deaf person","person-gesture"
"1F9CF 1F3FB","🧏🏻","People & Body","deaf person: light skin tone","person-gesture"
"1F9CF 1F3FC","🧏🏼","People & Body","deaf person: medium-light skin tone","person-gesture"
"1F9CF 1F3FD","🧏🏽","People & Body","deaf person: medium skin tone","person-gesture"
"1F9CF 1F3FE","🧏🏾","People & Body","deaf person: medium-dark skin tone","person-gesture"
"1F9CF 1F3FF","🧏🏿","People & Body","deaf person: dark skin tone","person-gesture"
"1F9CF 200D 2642 FE0F","🧏‍♂️","People & Body","deaf man","person-gesture"
"1F9CF 200D 2642","🧏‍♂","People & Body","deaf man","person-gesture"
"1F9CF 1F3FB 200D 2642 FE0F","🧏🏻‍♂️","People & Body","deaf man: light skin tone","person-gesture"
"1F9CF 1F3FB 200D 2642","🧏🏻‍♂","People & Body","deaf man: light skin tone","person-gesture"
"1F9CF 1F3FC 200D 2642 FE0F","🧏🏼‍♂️","People & Body","deaf man: medium-light skin tone","person-gesture"
"1F9CF 1F3FC 200D 2642","🧏🏼‍♂","People & Body","deaf man: medium-light skin tone","person-gesture"
"1F9CF 1F3FD 200D 2642 FE0F","🧏🏽‍♂️","People & Body","deaf man: medium skin tone","person-gesture"
"1F9CF 1F3FD 200D 2642","🧏🏽‍♂","People & Body","deaf man: medium skin tone","person-gesture"
"1F9CF 1F3FE 200D 2642 FE0F","🧏🏾‍♂️","People & Body","deaf man: medium-dark skin tone","person-gesture"
"1F9CF 1F3FE 200D 2642","🧏🏾‍♂","People & Body","deaf man: medium-dark skin tone","person-gesture"
"1F9CF 1F3FF 200D 2642 FE0F","🧏🏿‍♂️","People & Body","deaf man: dark skin tone","person-gesture"
"1F9CF 1F3FF 200D 2642","🧏🏿‍♂","People & Body","deaf man: dark skin tone","person-gesture"
"1F9CF 200D 2640 FE0F","🧏‍♀️","People & Body","deaf woman","person-gesture"
"1F9CF 200D 2640","🧏‍♀","People & Body","deaf woman","person-gesture"
"1F9CF 1F3FB 200D 2640 FE0F","🧏🏻‍♀️","People & Body","deaf woman: light skin tone","person-gesture"
"1F9CF 1F3FB 200D 2640","🧏🏻‍♀","People & Body","deaf woman: light skin tone","person-gesture"
"1F9CF 1F3FC 200D 2640 FE0F","🧏🏼‍♀️","People & Body","deaf woman: medium-light skin tone","person-gesture"
"1F9CF 1F3FC 200D 2640","🧏🏼‍♀","People & Body","deaf woman: medium-light skin tone","person-gesture"
"1F9CF 1F3FD 200D 2640 FE0F","🧏🏽‍♀️","People & Body","deaf woman: medium skin tone","person-gesture"
"1F9CF 1F3FD 200D 2640","🧏🏽‍♀","People & Body","deaf woman: medium skin tone","person-gesture"
"1F9CF 1F3FE 200D 2640 FE0F","🧏🏾‍♀️","People & Body","deaf woman: medium-dark skin tone","person-gesture"
"1F9CF 1F3FE 200D 2640","🧏🏾‍♀","People & Body","deaf woman: medium-dark skin tone","person-gesture"
"1F9CF 1F3FF 200D 2640 FE0F","🧏🏿‍♀️","People & Body","deaf woman: dark skin tone","person-gesture"
"1F9CF 1F3FF 200D 2640","🧏🏿‍♀","People & Body","deaf woman: dark skin tone","person-gesture"
1F647,"🙇","People & Body","person bowing","person-gesture"
"1F647 1F3FB","🙇🏻","People & Body","person bowing: light skin tone","person-gesture"
"1F647 1F3FC","🙇🏼","People & Body","person bowing: medium-light skin tone","person-gesture"
"1F647 1F3FD","🙇🏽","People & Body","person bowing: medium skin tone","person-gesture"
"1F647 1F3FE","🙇🏾","People & Body","person bowing: medium-dark skin tone","person-gesture"
"1F647 1F3FF","🙇🏿","People & Body","person bowing: dark skin tone","person-gesture"
"1F647 200D 2642 FE0F","🙇‍♂️","People & Body","man bowing","person-gesture"
"1F647 200D 2642","🙇‍♂","People & Body","man bowing","person-gesture"
"1F647 1F3FB 200D 2642 FE0F","🙇🏻‍♂️","People & Body","man bowing: light skin tone","person-gesture"
"1F647 1F3FB 200D 2642","🙇🏻‍♂","People & Body","man bowing: light skin tone","person-gesture"
"1F647 1F3FC 200D 2642 FE0F","🙇🏼‍♂️","People & Body","man bowing: medium-light skin tone","person-gesture"
"1F647 1F3FC 200D 2642","🙇🏼‍♂","People & Body","man bowing: medium-light skin tone","person-gesture"
"1F647 1F3FD 200D 2642 FE0F","🙇🏽‍♂️","People & Body","man bowing: medium skin tone","person-gesture"
"1F647 1F3FD 200D 2642","🙇🏽‍♂","People & Body","man bowing: medium skin tone","person-gesture"
"1F647 1F3FE 200D 2642 FE0F","🙇🏾‍♂️","People & Body","man bowing: medium-dark skin tone","person-gesture"
"1F647 1F3FE 200D 2642","🙇🏾‍♂","People & Body","man bowing: medium-dark skin tone","person-gesture"
"1F647 1F3FF 200D 2642 FE0F","🙇🏿‍♂️","People & Body","man bowing: dark skin tone","person-gesture"
"1F647 1F3FF 200D 2642","🙇🏿‍♂","People & Body","man bowing: dark skin tone","person-gesture"
"1F647 200D 2640 FE0F","🙇‍♀️","People & Body","woman bowing","person-gesture"
"1F647 200D 2640","🙇‍♀","People & Body","woman bowing","person-gesture"
"1F647 1F3FB 200D 2640 FE0F","🙇🏻‍♀️","People & Body","woman bowing: light skin tone","person-gesture"
"1F647 1F3FB 200D 2640","🙇🏻‍♀","People & Body","woman bowing: light skin tone","person-gesture"
"1F647 1F3FC 200D 2640 FE0F","🙇🏼‍♀️","People & Body","woman bowing: medium-light skin tone","person-gesture"
