Origin,OriginAirport,OriginStateName,OriginCityName,OriginLatitude,OriginLongitude
RDM,"Bend/Redmond, OR: Roberts Field",Oregon,"Bend/Redmond, OR","44.2541008","-121.1500015"
MTJ,"Montrose/Delta, CO: Montrose Regional",Colorado,"Montrose/Delta, CO","38.50979996","-107.8939972"
HDN,"Hayden, CO: Yampa Valley",Colorado,"Hayden, CO",,
MOD,"Modesto, CA: Modesto City-County-Harry Sham Field",California,"Modesto, CA","37.62580109","-120.9540024"
STX,"Christiansted, VI: Henry E. Rohlsen","U.S. Virgin Islands","Christiansted, VI","17.70190048","-64.79859924"
DHN,"Dothan, AL: Dothan Regional",Alabama,"Dothan, AL","31.32130051","-85.44960022"
GTR,"Columbus, MS: Golden Triangle Regional",Mississippi,"Columbus, MS","33.45029831","-88.59140015"
RAP,"Rapid City, SD: Rapid City Regional","South Dakota","Rapid City, SD","44.04529953","-103.0569992"
BLI,"Bellingham, WA: Bellingham International",Washington,"Bellingham, WA","48.7928009","-122.538002"
JLN,"Joplin, MO: Joplin Regional",Missouri,"Joplin, MO","37.15179825","-94.49829865"
LSE,"La Crosse, WI: La Crosse Municipal",Wisconsin,"La Crosse, WI","43.87900162","-91.25669861"
PLN,"Pellston, MI: Pellston Regional Airport of Emmet County",Michigan,"Pellston, MI","45.57089996","-84.79669952"
DRO,"Durango, CO: Durango La Plata County",Colorado,"Durango, CO",,
ESC,"Escanaba, MI: Delta County",Michigan,"Escanaba, MI",,
PSG,"Petersburg, AK: Petersburg James A Johnson",Alaska,"Petersburg, AK","56.80170059","-132.9450073"
GUC,"Gunnison, CO: Gunnison-Crested Butte Regional",Colorado,"Gunnison, CO",,
EAU,"Eau Claire, WI: Chippewa Valley Regional",Wisconsin,"Eau Claire, WI","44.86579895","-91.48429871"
GRI,"Grand Island, NE: Central Nebraska Regional",Nebraska,"Grand Island, NE","40.96749878","-98.30960083"
ABR,"Aberdeen, SD: Aberdeen Regional","South Dakota","Aberdeen, SD","45.44910049","-98.42179871"
PAH,"Paducah, KY: Barkley Regional",Kentucky,"Paducah, KY","37.06079865","-88.77380371"
SUX,"Sioux City, IA: Sioux Gateway/Col. Bud Day Field",Iowa,"Sioux City, IA","42.40259933","-96.38439941"
GCK,"Garden City, KS: Garden City Regional",Kansas,"Garden City, KS","37.92750168","-100.723999"
TTN,"Trenton, NJ: Trenton Mercer","New Jersey","Trenton, NJ","40.27669907","-74.81349945"
CMX,"Hancock/Houghton, MI: Houghton County Memorial",Michigan,"Hancock/Houghton, MI","47.16839981","-88.4890976"
CIU,"Sault Ste. Marie, MI: Chippewa County International",Michigan,"Sault Ste. Marie, MI","46.25080109","-84.47239685"
HIB,"Hibbing, MN: Range Regional",Minnesota,"Hibbing, MN","47.38660049","-92.83899689"
OTH,"North Bend/Coos Bay, OR: Southwest Oregon Regional",Oregon,"North Bend/Coos Bay, OR","43.417099","-124.2460022"
LAR,"Laramie, WY: Laramie Regional",Wyoming,"Laramie, WY","41.31209946","-105.6750031"
IMT,"Iron Mountain/Kingsfd, MI: Ford",Michigan,"Iron Mountain/Kingsfd, MI",,
INL,"International Falls, MN: Falls International",Minnesota,"International Falls, MN","48.56620026","-93.40309906"
COD,"Cody, WY: Yellowstone Regional",Wyoming,"Cody, WY",,
BJI,"Bemidji, MN: Bemidji Regional",Minnesota,"Bemidji, MN",,
COU,"Columbia, MO: Columbia Regional",Missouri,"Columbia, MO","38.81809998","-92.21959686"
IYK,"Inyokern, CA: Inyokern Airport",California,"Inyokern, CA",,
HOB,"Hobbs, NM: Lea County Regional","New Mexico","Hobbs, NM",,
LWS,"Lewiston, ID: Lewiston Nez Perce County",Idaho,"Lewiston, ID","46.37450027","-117.0149994"
BKG,"Branson, MO: Branson Airport",Missouri,"Branson, MO",,
BQN,"Aguadilla, PR: Rafael Hernandez","Puerto Rico","Aguadilla, PR","18.49489975","-67.12940216"
GUM,"Guam, TT: Guam International","U.S. Pacific Trust Territories and Possessions","Guam, TT","13.48340034","144.7960052"
BGR,"Bangor, ME: Bangor International",Maine,"Bangor, ME","44.80739975","-68.82810211"
AZA,"Phoenix, AZ: Phoenix - Mesa Gateway",Arizona,"Phoenix, AZ","33.30780029","-111.6549988"
RFD,"Rockford, IL: Chicago/Rockford International",Illinois,"Rockford, IL","42.19540024","-89.09719849"
LMT,"Klamath Falls, OR: Klamath Falls Airport",Oregon,"Klamath Falls, OR","42.15610123","-121.7330017"
PSE,"Ponce, PR: Mercedita","Puerto Rico","Ponce, PR","18.00830078","-66.56300354"
SHD,"Staunton, VA: Shenandoah Valley Regional",Virginia,"Staunton, VA",,
