Identificador,Categoria,Subcategoria,Monitorizacion,Explicacion,Ejemplo,Valor,,,,
ID-SC-3,Análisis de riesgo en la cadena de suministro (Supply Chain Risk Management),Contratos con proveedores y terceros están siendo usados para implementar medidas apropiadas para cumplir los objetivos de la empresa en su programa de ciberseguridad y su plan de gestión de riesgo en la cadena de suministro (Cyber Supply Chain Risk Management Plan)3,Defenderse de las amenazas de la cadena de suministro en el sistema forma parte de una defensa en amplitud (Defense in Breadth),"La organización mapeará y detectará amenazas y riesgos derivados de los sistemas / servicios, tecnologías y procesos de los proveedores, y mapeará los riesgos como parte de la gestión de riesgos / amenazas de la organización.","El proceso de mapeo puede puede realizarse a través de la recopilación de inteligencia cibernética sobre el proveedor, a fin de considerar dicha información al considerar y decidir sobre la gestión de riesgos. Se deben considerar los mecanismos, controles y procesos existentes del proveedor, y su influencia en los procesos comerciales respaldados por el sistema / servicio. Por ejemplo: los controles de automatización y los servidores virtuales instalados por el proveedor en una plataforma en la nube, y su método de endurecimiento, pueden influir en la organización si estos entornos no se endurecen lo suficiente o si el proveedor de servicios en la nube no está asegurado / situado en un país hostil, etc.",2,,,,
ID-SC-3,Análisis de riesgo en la cadena de suministro (Supply Chain Risk Management),Contratos con proveedores y terceros están siendo usados para implementar medidas apropiadas para cumplir los objetivos de la empresa en su programa de ciberseguridad y su plan de gestión de riesgo en la cadena de suministro (Cyber Supply Chain Risk Management Plan)4,Uso legal y herramientas contractuales al comprar un sistema de datos o un servicio de proveedores externos,"La organización utilizará mecanismos contractuales, como responsabilidad limitada y otros mecanismos legales, para minimizar los riesgos derivados de la compra.","Además de las cláusulas de responsabilidad limitada e indemnización, el cumplimiento de los requisitos legales y reglamentarios, se pueden estipular cláusulas tales como alertas tempranas, interrupción del servicio o soporte ampliado más allá del fin de la vida útil del sistema, acuerdos de confidencialidad y almacenamiento seguro de datos, o cualquier otra cláusula que constituye un factor de control, que compensa los riesgos implícitos en el establecimiento del sistema / la compra del servicio.",2,,,,
ID-SC-4,Análisis de riesgo en la cadena de suministro (Supply Chain Risk Management),"Proveedores y terceros son evaluados de manera rutinaria usando auditorías, resultados en tests u otras maneras de evaluación para confirmar que están cumpliendo con las obligaciones contractuales4","Asegúrarse de que la nube el proveedor de servicios se compromete a cumplir con los estándares y regulaciones requeridos, dependiendo de las obligaciones y estándares de la organización acordados con el proveedor","Varias organizaciones están sujetas a pautas regulatorias relacionadas con el uso de servicios en la nube, tales como protección de la privacidad, regulación sectorial o responsabilidad contractual frente a terceros. Estas obligaciones a menudo dictan reglas estrictas para el uso de servicios en la nube.","Por ejemplo: la implementación de las directivas del Banco de Israel, la supervisión del mercado de capitales, las directrices de ILITA, las directivas de la Autoridad de TIC del Gobierno y otras. Al hacer esta comparación, es necesario examinar todas las aplicaciones activas en la nube en la organización. Este mapeo se puede hacer, entre otras cosas, examinando el historial de navegación de los usuarios y comparándolo con la lista de proveedores de software examinando las reglas existentes en los componentes de comunicación relevantes (como firewall, filtrado, etc.). En muchos casos, el software para la gestión de la nómina, el intercambio de documentos, la creación de formularios y encuestas y más se encuentra en la nube, y la organización no es consciente de ello (Shadow IT).",2,,,,
ID-SC-4,Análisis de riesgo en la cadena de suministro (Supply Chain Risk Management),"Proveedores y terceros son evaluados de manera rutinaria usando auditorías, resultados en tests u otras maneras de evaluación para confirmar que están cumpliendo con las obligaciones contractuales5",Definir e implementar procesos para la supervisión periódica y el control del cumplimiento del proveedor con sus obligaciones.,"Aplicación de protección cibernética en servicios en la nube basada en el cumplimiento estricto de sus obligaciones por parte del proveedor de servicios. Es necesario tomar medidas de supervisión para garantizar que el proveedor las cumpla, ya sea por supervisión directa o por un tercero independiente que revisa periódicamente el cumplimiento de las obligaciones del proveedor.","Por ejemplo: enviar cuestionarios al proveedor, auditar al proveedor, usar servicios de revisión externos y objetivos, indicando que el proveedor cumple con sus obligaciones. El servicio que un proveedor de software enviará al cliente un registro detallado de su cumplimiento con los requisitos definidos en el acuerdo y su implementación. Las desviaciones del proveedor del acuerdo deben ser aprobadas por el director de Defensa Cibernética de la organización. Por ejemplo, en caso de un requisito fundamental por parte de la organización para el cumplimiento de políticas específicas de SLA, o una política de contraseña que el proveedor no puede cumplir, se requiere un procedimiento formal, por el cual el proveedor explica por qué no puede cumplir ese requisito y si espera cerrar esta brecha Estos datos se transferirán al director de Defensa Cibernética de la organización para su aprobación y para definir controles compensatorios para reducir el riesgo.",2,,,,
ID-SC-4,Análisis de riesgo en la cadena de suministro (Supply Chain Risk Management),"Proveedores y terceros son evaluados de manera rutinaria usando auditorías, resultados en tests u otras maneras de evaluación para confirmar que están cumpliendo con las obligaciones contractuales6",Es necesario para realizar verificaciones independientes de seguridad de la información de las interfaces a los servicios en la nube que están expuestos a Internet.,"La prueba de los servicios en la nube por parte de la organización por parte de un tercero contratado para este propósito, o por alguna otra parte objetiva, permite identificar las exposiciones de seguridad de la información y manejarlas sin tener que depender exclusivamente del proveedor.","Las pruebas relevantes pueden incluir: pruebas de penetración de interfaces de usuario, interfaces de gestión e interfaces de aplicación, auditorías de acuerdo con estándares generalmente aceptados o auditorías que cubren temas específicos definidos en el contrato con el proveedor",3,,,,
ID-SC-4,Análisis de riesgo en la cadena de suministro (Supply Chain Risk Management),"Proveedores y terceros son evaluados de manera rutinaria usando auditorías, resultados en tests u otras maneras de evaluación para confirmar que están cumpliendo con las obligaciones contractuales7",Realizar encuestas a un proveedor antes de firmar el contrato de compra de servicios / productos,"La organización examinará el carácter y la conducta de los proveedores, antes de firmar el contrato.","La encuesta de proveedores puede examinar: la madurez del proveedor, la integración de un número de cliente, la estabilidad, la capacidad de servicio, el mecanismo de seguridad de datos, la continuidad del negocio, etc.",3,,,,
ID-SC-4,Análisis de riesgo en la cadena de suministro (Supply Chain Risk Management),"Proveedores y terceros son evaluados de manera rutinaria usando auditorías, resultados en tests u otras maneras de evaluación para confirmar que están cumpliendo con las obligaciones contractuales8","Antes de la instalación, inspeccione el aspecto de seguridad de datos del sistema / servicio","La organización inspeccionará el servicio del sistema con sus propias herramientas, así como tratando de penetrarlo antes de pasar a la producción.","El sistema puede ser examinado por herramientas de gestión de vulnerabilidades o por encuestas de riesgo y pruebas de penetración, para asegurar la inexistencia de hallazgos graves que pueden dañar la organización y sus procesos.",3,,,,
ID-SC-4,Análisis de riesgo en la cadena de suministro (Supply Chain Risk Management),"Proveedores y terceros son evaluados de manera rutinaria usando auditorías, resultados en tests u otras maneras de evaluación para confirmar que están cumpliendo con las obligaciones contractuales9","Las pruebas y correcciones deben realizarse antes de integrar sistemas y servicios. Dichas pruebas incluirán, al menos, pruebas de funcionalidad (cumplimiento de los requisitos) y exposición a la seguridad.",La organización se asegurará de que las pruebas de seguridad se realicen antes de que un nuevo sistema o servicio esté operativo y después de cada actualización.,"En los casos de servicios prestados por proveedores externos, uno puede confiar en las pruebas realizadas por o para el proveedor.",2,,,,
ID-SC-5,Análisis de riesgo en la cadena de suministro (Supply Chain Risk Management),Planes y tests de respuesta y recuperación son dirigidos con proveedores y terceros5,"Antes de la instalación, inspeccione el aspecto de seguridad de datos del sistema / servicio","Los servicios en la nube son externos a la organización, y la conexión a ellos suele ser a través de infraestructura pública, como Internet. Es necesario considerar, como parte del plan de continuidad de negocio, situaciones en las que no hay acceso a la nube, ya sea debido a un mal funcionamiento del proveedor o debido a una falla en la infraestructura de acceso al proveedor.","Por ejemplo, métodos alternativos para proporcionar servicios a los clientes en caso de desconexión de los servicios en la nube, archivos de datos actualizados en la organización, que contienen información que existe en los servicios en la nube.",2,,,,
ID-SC-5,Análisis de riesgo en la cadena de suministro (Supply Chain Risk Management),Planes y tests de respuesta y recuperación son dirigidos con proveedores y terceros,Definir e implementar un mecanismo que permita la continuidad funcional completa y la eliminación de los datos almacenados por el proveedor de servicios en la nube en caso de finalización del acuerdo de servicio con el proveedor.,"Al finalizar el contrato con el proveedor de servicios en la nube, la organización debe permitir la continuidad funcional y la retención de los registros que le pertenecen, que se han conservado o procesado mediante los servicios en la nube. Además, asegúrese de eliminar los datos que han permanecido en el proveedor y que son propiedad o están bajo la responsabilidad de la organización.",Se puede realizar mediante la inclusión de este problema en el contrato con el proveedor,2,,,,
ID-SC-5,Análisis de riesgo en la cadena de suministro (Supply Chain Risk Management),Planes y tests de respuesta y recuperación son dirigidos con proveedores y terceros,"Las pruebas y correcciones deben realizarse antes de integrar sistemas y servicios. Dichas pruebas incluirán, al menos, pruebas de funcionalidad (cumplimiento de los requisitos) y exposición a la seguridad.",La organización se asegurará de que las pruebas de seguridad se realicen antes de que un nuevo sistema o servicio esté operativo y después de cada actualización.,"En los casos de servicios prestados por proveedores externos, uno puede confiar en las pruebas realizadas por o para el proveedor.",2,,,,
,,,,,,,,,,
