Identificador,Categoria,Subcategoria,Monitorizacion,Explicacion,Ejemplo,Valor
DE-CM-8,Monitorización de continuidad de seguridad (Security Continuos Monitoring),Se llevan acabo escaneos de vulnerabilidades,Realizar escaneos de credenciales con herramientas de evaluación de vulnerabilidades,"La organización designará un escáneo acreditado para el sistema que se está escaneando, lo que permitirá una evaluación exhaustiva de todos los procesos y actualizaciones instaladas, así como las vulnerabilidades en sus definiciones más estrictas.",La mayoría de las herramientas de evaluación de control de seguridad permiten el escaneo de credenciales,2
DE-CM-8,Monitorización de continuidad de seguridad (Security Continuos Monitoring),Se llevan acabo escaneos de vulnerabilidades,"Verificar la existencia de una herramienta automática que compara escaneos de vulnerabilidad pasados ​​y presentes, para permitir el control y el análisis de tendencias",La organización realizará un seguimiento automático de las vulnerabilidades detectadas para detectar sistemas de alto riesgo o sistemas con implementación de controles insatisfactorios.,Se puede implementar con las herramientas de escaneo mediante una interfaz a sistemas de terceros (como SIEM),4
DE-DP-2,Procesos de detección (Detection processes),Las actividades de detección cumplen con todos los requerimientos aplicables,"La organización implementará y administrará estas capacidades como parte de las herramientas de protección de puntos finales, o integrará herramientas con estas capacidades además de las herramientas antivirus existentes.",El propósito de este monitoreo es elevar el nivel de detección y manejo de puntos finales 'más allá' de las capacidades básicas de un sistema antivirus existente.,Los productos HIPS se pueden usar de forma independiente o como capacidades adicionales de protección de software de productos antivirus.,3
DE-DP-2,Procesos de detección (Detection processes),Las actividades de detección cumplen con todos los requerimientos aplicables,Se usan mecanismos criptográficos para proteger la integridad de los registros y las herramientas de control.,Los archivos de registro se sellarán mediante estampado digital y hash para verificar que no se modifiquen.,La mayoría de los sistemas SIEM admiten estas funciones y verifican su correcto funcionamiento.,3
DE-DP-2,Procesos de detección (Detection processes),Las actividades de detección cumplen con todos los requerimientos aplicables,Asegúrate de que sea posible recuperar y / o buscar registros almacenados lo más atrás posible,"Periódicamente, la organización se asegurará de que se puedan recuperar los registros de control antiguos (como sea posible).","Por ejemplo, es posible extraer un informe del establecimiento del sistema para verificar que tales eventos existen en el sistema de monitoreo.",4
DE-DP-3,Procesos de detección (Detection processes),Los procesos de detección están testeados,"Llevar a cabo pruebas de seguridad de la información en los entornos y la interfaz de producción y gestión, incluidas las pruebas de penetración","La organización definirá un esquema de pruebas exhaustivas para las pruebas que incluyen la variedad de componentes de la red de control, con énfasis en pruebas de seguridad de la información integrales para todos los componentes, con el fin de mantener la continuidad del proceso comercial.","Puede realizarse comprobando la configuración del entorno, ejecutando simulaciones durante las ventanas de tiempo de inactividad y realizando pruebas de penetración en estas redes si es posible y / o durante las operaciones de mantenimiento.",2
DE-DP-3,Procesos de detección (Detection processes),Los procesos de detección están testeados,Contratar una empresa independiente para evaluar la penetrabilidad.,La organización empleará expertos externos en seguridad de datos para realizar estas evaluaciones.,"Ocasionalmente, uno puede realizar estas evaluaciones por un equipo interno, no sujeto a TI sino a una seguridad que no se encarga de corregir los fallos.",4
DE-DP-3,Procesos de detección (Detection processes),Los procesos de detección están testeados,"La organización debe emplear un equipo independiente para realizar evaluaciones de penetración y ejercicios del Red Team, para simular intentos de ataque contra sus activos.","La organización empleará un equipo externo de seguridad de datos, para simular intentos de ataque, con el fin de probar sus controles y capacidades de respuesta.",Este control puede probar las capacidades de respuesta de los equipos de monitoreo y las capacidades de los equipos de infraestructura y seguridad de datos para bloquear tales intentos en tiempo real.,4
DE-DP-4,Procesos de detección (Detection processes),La información recopilada de los eventos de detección está siendo comunicada,Instruir funciones relevantes en la reacción a eventos de seguridad,La organización capacitará a todas las entidades involucradas en el manejo de eventos de seguridad de datos para identificar y responder a tales eventos. Estos seminarios serán actualizados,"Tal cartera de seminarios debe incluir procedimientos de respuesta, mejores prácticas y herramientas que sirvan para hacer que esta información sea accesible durante tales eventos.",2
DE-DP-5,Procesos de detección (Detection processes),Procesos de detección están continuamente mejorado,Un mecanismo (central o local) para administrar la política de firewall,"La organización definirá la política de administración de sistemas de firewall, que incluirá referencias al proceso de agregar o eliminar reglas de enrutamiento ilegales en el sistema, incluido un proceso de aprobación para agregar o eliminar reglas. También es necesario establecer la forma de documentar y detallar cualquier regla que se haya abierto en el firewall para su correcta gestión.","Se puede implementar directamente en la interfaz de administración del sistema. Es posible aplicar un proceso de aprobación para la apertura o eliminación de reglas, así como la creación y eliminación real de reglas en el sistema mediante el uso de sistemas automatizados de gestión de cambios.",2
DE-DP-5,Procesos de detección (Detection processes),Procesos de detección están continuamente mejorado,Mejora de las reglas de firewall,"La organización llevará a cabo un proceso de revisión de las reglas del sistema de firewall y su mejora, a fin de mantener la integridad del sistema y para confirmar que no hay reglas que puedan exponer a la organización a riesgos innecesarios.","Se puede aplicar mecánicamente utilizando sistemas automatizados para gestionar los cambios o, alternativamente, realizarlos. proceso manual de examen de reglas y definiciones.",3
DE-DP-5,Procesos de detección (Detection processes),Procesos de detección están continuamente mejorado,Escaneos periódicos de red,,"Se puede realizar utilizando herramientas de escaneo gratuitas, como NMAP, Superscan y otras",2
DE-DP-5,Procesos de detección (Detection processes),Procesos de detección están continuamente mejorado,Las pruebas de seguridad de datos deben ser realizadas por una entidad externa e independiente.,La organización definirá el alcance de la encuesta que realizará el proveedor y su tipo (sombrero blanco / gris / negro). La encuesta será realizada por una entidad externa e independiente,"La realización de un PT interno puede generar conflictos de intereses dentro de la organización. Emplear una entidad externa mejorará la defensa del producto. Al usar herramientas automáticas, un tercero puede validar que la herramienta está realizando pruebas de penetración que cubren el alcance del sistema. La misma parte hará que los resultados sean accesibles para la organización (redacción del informe final). Las pruebas se realizarán en un entorno lo más similar posible a la producción.",3
DE-DP-5,Procesos de detección (Detection processes),Procesos de detección están continuamente mejorado,"Proteger el control de registros de acceso no autorizado, cambio o eliminación.",La organización asegurará el área de almacenamiento y endurecerá la matriz de monitorización para evitar la actualización de los registros.,Se puede implementar limitando el acceso al almacenamiento de registros de monitoreo y a los servidores.,3
DE-DP-5,Procesos de detección (Detection processes),Procesos de detección están continuamente mejorado,Integrar un mecanismo automático de corrección central de fallas,La organización integrará un sistema central para gestionar las vulnerabilidades y su corrección.,"Se puede implementar mediante el establecimiento de interfaces entre la matriz de gestión de vulnerabilidades y el sistema de lectura organizacional, o mediante el uso de un sistema designado (GRC).",3
