_time,dest,service,log_level,message_type,user,time_difference,table,queue_count,service_dest,state,partner,ack_count,update_count,replication_count,point,error_msg,lock_table,lock_duration,lock_process,lock_source,lock_action,reason
1535035562,SCADA-REALTIME01.OPS.LOCAL,Realtime.Replication,INFO,replication to realtime,,,,,,,,,,4738,,,,,,,,
1535035567,SCADA-REALTIME01.OPS.LOCAL,Realtime.Replication,ERROR,replication to realtime error,,,,,,,,,,,,,,,,,,
1535035577,SCADA-REALTIME01.OPS.LOCAL,Realtime.CalcEngine,INFO,point calculation error,,,,,,,,,,,OUTPRES-RTU12,Configuration error - missing point in formula - INPRES-RTS11,,,,,,
1535035587,SCADA-REALTIME01.OPS.LOCAL,Realtime.Replication,INFO,replication to realtime,,,,,,,,,,5858,,,,,,,,
1535035587,SCADA-REALTIME01.OPS.LOCAL,Realtime.PubSub,ERROR,connection configuration error,,,,,,,,,,,ETEX-CONN01,Unkown device IP: 172.18.23.1233,,,,,,
1535035592,SCADA-REALTIME01.OPS.LOCAL,Realtime.Replication,ERROR,replication to realtime error,,,,,,,,,,,,,,,,,,
1535035602,SCADA-REALTIME02.OPS.LOCAL,DataRep.Replication,INFO,replication to historical,,,analog,98,,,,,,,,,,,,,,
1535035602,SCADA-REALTIME02.OPS.LOCAL,DataRep.Replication,INFO,replication to historical,,,rate,46,,,,,,,,,,,,,,
1535035602,SCADA-REALTIME02.OPS.LOCAL,DataRep.Replication,INFO,replication to historical,,,discrete,89,,,,,,,,,,,,,,
1535035602,SCADA-REALTIME02.OPS.LOCAL,DataRep.Replication,INFO,replication to historical,,,events,3,,,,,,,,,,,,,,
1535035602,SCADA-REALTIME02.OPS.LOCAL,DataRep.Replication,INFO,replication to historical,,,total,236,,,,,,,,,,,,,,
1535035617,SCADA-REALTIME01.OPS.LOCAL,Realtime.Replication,INFO,replication to realtime,,,,,,,,,,7087,,,,,,,,
1535035622,SCADA-REALTIME01.OPS.LOCAL,Realtime.Replication,ERROR,replication to realtime error,,,,,,,,,,,,,,,,,,
1535035632,SCADA-REALTIME02.OPS.LOCAL,DataRep.Replication,INFO,replication to historical,,,analog,99,,,,,,,,,,,,,,
1535035632,SCADA-REALTIME02.OPS.LOCAL,DataRep.Replication,INFO,replication to historical,,,rate,49,,,,,,,,,,,,,,
1535035632,SCADA-REALTIME02.OPS.LOCAL,DataRep.Replication,INFO,replication to historical,,,discrete,122,,,,,,,,,,,,,,
1535035632,SCADA-REALTIME02.OPS.LOCAL,DataRep.Replication,INFO,replication to historical,,,events,12,,,,,,,,,,,,,,
1535035632,SCADA-REALTIME02.OPS.LOCAL,DataRep.Replication,INFO,replication to historical,,,total,282,,,,,,,,,,,,,,
1535035632,SCADA-REALTIME01.OPS.LOCAL,Realtime.PubSub,ERROR,connection configuration error,,,,,,,,,,,ETEX-CONN01,Unkown device IP: 172.18.23.1233,,,,,,
1535035640,SCADA-REALTIME01.OPS.LOCAL,Realtime.Update,INFO,point updates,,,,,,,,,1187,,,,,,,,,
1535035647,SCADA-REALTIME01.OPS.LOCAL,Realtime.Replication,INFO,replication to realtime,,,,,,,,,,8509,,,,,,,,
1535035652,SCADA-REALTIME01.OPS.LOCAL,Realtime.Replication,ERROR,replication to realtime error,,,,,,,,,,,,,,,,,,
1535035667,SCADA-REALTIME01.OPS.LOCAL,Realtime.CalcEngine,INFO,point calculation error,,,,,,,,,,,OUTPRES-RTU12,Configuration error - missing point in formula - INPRES-RTS11,,,,,,
1535035677,SCADA-REALTIME01.OPS.LOCAL,Realtime.Replication,INFO,replication to realtime,,,,,,,,,,9498,,,,,,,,
1535035677,SCADA-REALTIME01.OPS.LOCAL,Realtime.PubSub,ERROR,connection configuration error,,,,,,,,,,,ETEX-CONN01,Unkown device IP: 172.18.23.1233,,,,,,
1535035682,SCADA-REALTIME01.OPS.LOCAL,Realtime.Replication,ERROR,replication to realtime error,,,,,,,,,,,,,,,,,,
1535035692,SCADA-REALTIME02.OPS.LOCAL,DataRep.Replication,INFO,replication to historical,,,analog,81,,,,,,,,,,,,,,
1535035692,SCADA-REALTIME02.OPS.LOCAL,DataRep.Replication,INFO,replication to historical,,,rate,61,,,,,,,,,,,,,,
1535035692,SCADA-REALTIME02.OPS.LOCAL,DataRep.Replication,INFO,replication to historical,,,discrete,113,,,,,,,,,,,,,,
1535035692,SCADA-REALTIME02.OPS.LOCAL,DataRep.Replication,INFO,replication to historical,,,events,5,,,,,,,,,,,,,,
1535035692,SCADA-REALTIME02.OPS.LOCAL,DataRep.Replication,INFO,replication to historical,,,total,260,,,,,,,,,,,,,,
1535035697,SCADA-REALTIME02.OPS.LOCAL,DataRep.Replication,INFO,point updates,,,,,,,,,1198,,,,,,,,,
1535035699,SCADA-REALTIME01.OPS.LOCAL,Realtime.AlarmMgmt,INFO,acknowledge alarms,,,,,,,,13,,,,,,,,,,
1535035707,SCADA-REALTIME01.OPS.LOCAL,RepDB,INFO,service start,OPS.LOCAL/BBATSON,,,,STARTED,,,,,,,,,,,,,
1535035707,SCADA-REALTIME01.OPS.LOCAL,Realtime.PubSub,ERROR,connection configuration error,,,,,,,,,,,ETEX-CONN01,Unkown device IP: 172.18.23.1233,,,,,,
1535035712,SCADA-REALTIME01.OPS.LOCAL,Realtime.Replication,ERROR,replication to realtime,,,,,,,,,,8352,,,,,,,,
1535035747,SCADA-REALTIME02.OPS.LOCAL,DataRep.Replication,INFO,replication to historical,,,analog,103,,,,,,,,,,,,,,
1535035727,SCADA-REALTIME02.OPS.LOCAL,DataRep.Replication,INFO,replication to historical,,,rate,67,,,,,,,,,,,,,,
1535035727,SCADA-REALTIME02.OPS.LOCAL,DataRep.Replication,INFO,replication to historical,,,discrete,137,,,,,,,,,,,,,,
1535035727,SCADA-REALTIME02.OPS.LOCAL,DataRep.Replication,INFO,replication to historical,,,events,31,,,,,,,,,,,,,,
1535035727,SCADA-REALTIME02.OPS.LOCAL,DataRep.Replication,INFO,replication to historical,,,total,338,,,,,,,,,,,,,,
1535035732,SCADA-REALTIME01.OPS.LOCAL,Realtime.CalcEngine,INFO,point calculation error,,,,,,,,,,,OUTPRES-RTU12,Configuration error - missing point in formula - INPRES-RTS11,,,,,,
1535035737,SCADA-REALTIME01.OPS.LOCAL,Realtime.Replication,INFO,replication to realtime,,,,,,,,,,2345,,,,,,,,
1535035747,SCADA-REALTIME02.OPS.LOCAL,DataRep.Replication,INFO,replication to historical,,,analog,104,,,,,,,,,,,,,,
1535035747,SCADA-REALTIME02.OPS.LOCAL,DataRep.Replication,INFO,replication to historical,,,rate,53,,,,,,,,,,,,,,
1535035747,SCADA-REALTIME02.OPS.LOCAL,DataRep.Replication,INFO,replication to historical,,,discrete,145,,,,,,,,,,,,,,
1535035747,SCADA-REALTIME02.OPS.LOCAL,DataRep.Replication,INFO,replication to historical,,,events,22,,,,,,,,,,,,,,
1535035747,SCADA-REALTIME02.OPS.LOCAL,DataRep.Replication,INFO,replication to historical,,,total,324,,,,,,,,,,,,,,
1535035747,SCADA-REALTIME01.OPS.LOCAL,Realtime.PubSub,ERROR,connection configuration error,,,,,,,,,,,ETEX-CONN01,Unkown device IP: 172.18.23.1233,,,,,,
1535035757,SCADA-REALTIME01.OPS.LOCAL,Realtime.Update,INFO,point updates,,,,,,,,,1214,,,,,,,,,
1535035762,SCADA-REALTIME01.OPS.LOCAL,Realtime.Replication,INFO,replication to realtime,,,,,,,,,,1238,,,,,,,,
1535035772,SCADA-REALTIME02.OPS.LOCAL,DataRep.Replication,INFO,replication to historical,,,analog,107,,,,,,,,,,,,,,
1535035772,SCADA-REALTIME02.OPS.LOCAL,DataRep.Replication,INFO,replication to historical,,,rate,43,,,,,,,,,,,,,,
1535035772,SCADA-REALTIME02.OPS.LOCAL,DataRep.Replication,INFO,replication to historical,,,discrete,130,,,,,,,,,,,,,,
1535035772,SCADA-REALTIME02.OPS.LOCAL,DataRep.Replication,INFO,replication to historical,,,events,12,,,,,,,,,,,,,,
1535035772,SCADA-REALTIME02.OPS.LOCAL,DataRep.Replication,INFO,replication to historical,,,total,292,,,,,,,,,,,,,,
1535035772,SCADA-REALTIME01.OPS.LOCAL,Realtime.PubSub,ERROR,connection configuration error,,,,,,,,,,,ETEX-CONN01,Unkown device IP: 172.18.23.1233,,,,,,
1535035782,SCADA-REALTIME01.OPS.LOCAL,Realtime.CalcEngine,INFO,point calculation error,,,,,,,,,,,OUTPRES-RTU12,Configuration error - missing point in formula - INPRES-RTS11,,,,,,
1535035782,SCADA-REALTIME01.OPS.LOCAL,Realtime.DB,INFO,lock status - no locks,,,,,,,,,,,,,status,0,,,,
