_key,device_type,site,city,country,site_criticality,zone,subnet,host_ip,asset_criticality,location,physical_addr,host_name,device_name,manufacturer,model,operating_system,firmware_version,cpe_uri,applicable_cves,depreciated_applicable_cves,legacy_os,antivirus_definition_status,patch_status,default_credentials_detected,first_communication,last_communication,inbound_communications,outbound_communications,purdue_level,is_running,force_installed,is_in_remote_access_mode,is_programmable,plc_mode,status,vlan,originating_source,auto_merge,originating_source,auto_merge
7d4ca2-f73c33-ba38e646-7721,Switch,Dublin,Dublin,Ireland,Critical,Enterprise LAN,10.128.30.16/28,10.128.30.18,High,Annex L,78:8A:20:81:D2:C1,DUB-SWITCH-ENTERPRISE,DUB-SWITCH-ENTERPRISE,Ubiquiti,EdgeSwitch ES-24-250W,EdgeSwitch,1.7.3,cpe:2.3:o:ubnt:edgeswitch_firmware:*:*:*:*:*:*:*:*,CVE-2018-12590,CVE-2018-12590,No,Up-to-Date,Up-to-Date,None Detected,1512387000,today-2:27593,,,4,,,,,,,,,,,
7fe07d-856e95-aed069cf-7ab9,Server,Tuas,Tuas,Singapore,Low,DMZ,10.128.70.16/28,10.128.70.21,Medium,Telecom,00:00:64:07:4C:FF,TUS-EXAQUANTUM-APP01,TUS-EXAQUANTUM-APP01,Yokogawa,Centum VP DCS,Windows 10,,cpe:2.3:a:yokogawa:centum_vp:*:*:*:*:*:*:*:*,,CVE-2019-5909?,No,Up-to-Date,Up-to-Date,None Detected,1512396000,today-2:37658,,,4,,,,,,,,,,,
8450fa-bf907e-d7549b3a-f8dd,Workstation,Philadelphia,Philadelphia,United States of America,Medium,Manufacturing LAN,10.128.90.32/28,10.128.90.38,Medium,Main,40:78:6A:27:54:94,PHL-EWS01-MAIN,PHL-EWS01-MAIN,Lenovo,ThinkCentre M910z,Windows XP,,cpe:2.3:o:microsoft:windows_xp:-:sp2:*:*:*:*:*:*,,CVE-2008-2253,YES,Up-to-Date,Up-to-Date,None Detected,1504965600,today-4:73856,,,3,,,,,,,,,,,
859052-2515d9-d7dd1b8c-addc,Workstation,Tuas,Tuas,Singapore,Low,Manufacturing LAN,10.128.70.64/27,10.128.70.76,High,Room 1,34:FC:B9:94:B7:A1,TUS-ENG-EWS01,TUS-ENG-EWS01,HPE,ThinkCentre M910z,Windows XP,,cpe:2.3:o:microsoft:windows_xp:-:sp2:*:*:*:*:*:*,,CVE-2008-2253,YES,Up-to-Date,Up-to-Date,None Detected,1518179400,today-4:1945,,,3,,,,,,,,,,,
88c3f8-f10886-62eb2287-14d7,Firewall,Berlin,Berlin,Germany,High,DMZ,10.137.128.0/30,10.137.128.2,High,Building A,18:A9:9B:28:53:27,BER-ASA-FW02,BER-ASA-FW02,Cisco,ASA 5506,Cisco ASA OS,9.4,cpe:2.3:h:cisco:asa-5506-x:-:*:*:*:*:*:*:*,,CVE-2018-0240,No,Up-to-Date,Up-to-Date,None Detected,1504828800,today-1:2452,,,4,,,,,,,,,,,
8978bf-44a6a7-f28df6c9-8a46,Switch,Philadelphia,Philadelphia,United States of America,Medium,Controller LAN,10.128.90.64/26,10.128.90.66,Critical,Server Room,00:09:7C:47:57:02,PHL-CISCO-SW01,PHL-CISCO-SW01,Cisco,Catalyst 2960,Cisco IOS,9.4,cpe:2.3:h:cisco:catalyst_2960l-16ps-ll:-:*:*:*:*:*:*:*,CVE-2018-0161,CVE-2018-0161,No,Up-to-Date,Up-to-Date,None Detected,1504963800,today-2:8573,,,3,,,,,,,,,,,
8ad970-cc9414-6587de16-cf28,PLC,Tuas,Tuas,Singapore,Low,Controller LAN,10.128.70.96/27,10.128.70.102,Critical,Room 1,D0:0A:AB:14:F9:41,TUS-FA-M3V_1-LINE2,TUS-FA-M3V_1-LINE2,Yokogawa,FA-M3V,Windows 10,,cpe:2.3:h:yokogawa:b\/m9000_vp:-:*:*:*:*:*:*:*,CVE-2014-3888,CVE-2014-3888,No,Up-to-Date,Up-to-Date,None Detected,1512482400,today-4:47585,,,2,TRUE,FALSE,FALSE,TRUE,RUNNING,RUN,VLAN502,,,,
8c0731-3cecf1-fdba8188-858a,Firewall,Philadelphia,Philadelphia,United States of America,Medium,DMZ,10.128.90.0/30,"10.128.90.1,10.128.90.9,10.128.90.17,10.128.90.33,10.128.90.65",High,Server Room,18:A9:9B:97:9B:38,PHL-ASA-FW01,PHL-ASA-FW01,Cisco,ASA 5506,Cisco ASA OS,9.4,cpe:2.3:h:cisco:asa-5506-x:-:*:*:*:*:*:*:*,,CVE-2018-0240,No,Up-to-Date,Up-to-Date,None Detected,1504960200,today-1:37858,,,4,,,,,,,,,,,
8d3347-a9cd08-5e58b718-8338,Firewall,Tuas,Tuas,Singapore,Low,DMZ,10.128.70.0/30,"10.128.70.1,10.128.70.17,10.128.70.33,10.128.70.65",High,Telecom,18:B1:69:76:8C:BB,TUS-SONICWALL-FW01,TUS-SONICWALL-FW01,SonicWall,01-SSC-1705,SonicOS,,cpe:2.3:o:sonicwall:sonicos:*:*:*:*:*:*:*:* ,CVE-2018-9867,CVE-2018-9867,No,Up-to-Date,Up-to-Date,None Detected,1512383400,today-1:38563,,,4,,,,,,,,,,,
8f109d-1f8d8f-f207cb83-fd46,Firewall,Tuas,Tuas,Singapore,Low,DMZ,10.128.70.0/30,10.128.70.2,High,Telecom,00:09:7C:22:72:29,TUS-ASA-EXTFW,TUS-ASA-EXTFW,Cisco,ASA 5506,Cisco ASA OS,,cpe:2.3:h:cisco:asa-5506-x:-:*:*:*:*:*:*:*,,CVE-2018-0240,No,Up-to-Date,Up-to-Date,None Detected,1504974600,today-3:375,,,4,,,,,,,,,,,
8fce22-53464c-47179b87-e20c,PLC,Berlin,Berlin,Germany,High,Controller LAN,10.137.128.64/26,10.137.128.68,High,Building A,88:3F:99:C4:08:94,BER-SIM1200-PALLETIZER1,BER-SIM1200-PALLETIZER1,Siemens,SIMATIC S7-1200,Windows 10 ,3.0.2,cpe:2.3:o:siemens:simatic_s7-1200_firmware:-:*:*:*:*:*:*:*,,CVE-2017-12741,No,Up-to-Date,Up-to-Date,None Detected,1512313200,today-2:39475,"10.128.30.17:host_name:DMZ,10.128.30.17:host_name:DMZ,10.128.30.17:host_name:DMZ,6.6.6.6:-:External,6.6.6.6:-:External,6.6.6.6:-:External,6.6.6.6:-:External","10.128.30.17:host_name:DMZ,10.128.30.17:host_name:DMZ,10.128.30.17:host_name:DMZ,6.6.6.6:-:External,6.6.6.6:-:External,6.6.6.6:-:External,6.6.6.6:-:External",2,TRUE,FALSE,FALSE,TRUE,RUNNING,RUN,,,,,
8feabd-876fdf-6eb3051d-e8c6,Switch,San Juan,San Juan,Puerto Rico,High,Controller LAN,10.128.80.64/26,10.128.80.66,Critical,Building C,00:09:7B:5F:65:06,SJN-CISCO-SW02,SJN-CISCO-SW02,Cisco,Catalyst 2960,Cisco IOS,,cpe:2.3:h:cisco:catalyst_2960l-16ps-ll:-:*:*:*:*:*:*:*,CVE-2018-0161,CVE-2018-0161,No,Up-to-Date,Up-to-Date,None Detected,1504972800,today-2:857,,,3,,,,,,,,,,,
940ed7-85f5d6-f209f726-563b,HMI,Dublin,Dublin,Ireland,Critical,Manufacturing LAN,10.128.30.32/27,10.128.30.46,Low,Annex K,00:40:03:F5:A0:F6,DUB-HMI02-LINE2,DUB-HMI02-LINE2,Emerson,UNI-HMI091U2,Windows NT,,cpe:2.3:o:microsoft:windows-nt:2008:*:*:*:*:*:*:*,,CVE-2008-2253,No,Up-to-Date,Up-to-Date,None Detected,1512385200,today-5:285,,,3,,,,,,,,,,,
941314-2c26a1-cfa1d6bb-5b56,Workstation,San Juan,San Juan,Puerto Rico,High,Manufacturing LAN,10.128.80.32/27,10.128.80.39,Low,Building C,6C:5F:1C:C7:E2:97,SJN-OWS01-LINE2,SJN-OWS01-LINE2,Lenovo,ThinkCentre M910z,Windows 10,,cpe:2.3:o:microsoft:windows_10:1607:*:*:*:*:*:*:*,,CVE-2019-0654,No,Up-to-Date,Up-to-Date,None Detected,1504972800,today-3:37858,,,3,,,,,,,,,,,
948d03-286f0a-a0fcfdb5-c301,HMI,Berlin,Berlin,Germany,High,Manufacturing LAN,10.137.128.32/28,10.137.128.37,Low,Building A,00:1B:1B:01:2A:F7,BER-HMI-LABELER01,BER-HMI-LABELER01,Siemens,KTP700,Microsoft Windows CE ,13.0.0,cpe:2.3:o:siemens:simatic_hmi_ktp_mobile_panels_ktp700_firmware:*:*:*:*:*:*:*:*,,CVE-2018-13814,No,Up-to-Date,Up-to-Date,None Detected,1512306000,today-4:64723,,,3,,,,,,,,,,,
950491-8064ce-a3b83e64-5401,PLC,Dublin,Dublin,Ireland,Critical,Controller LAN,10.128.30.64/26,10.128.30.69,High,Annex L,00:24:3D:16:6C:F4,DUB-SE3007_2-LINE1,DUB-SE3007_2-LINE1,Emerson,SE3007,Windows NT,,cpe:2.3:a:emerson:deltav_distributed_control_system:11.3.1:*:*:*:*:*:*:*,,CVE-2018-19021,No,Up-to-Date,Up-to-Date,None Detected,1512390600,today-3:486,,,2,TRUE,FALSE,FALSE,TRUE,RUNNING,RUN,,,,,
96601b-122a1b-a3ba7b76-6ddc,Firewall,Berlin,Berlin,Germany,High,DMZ,10.137.128.0/30,"10.137.128.1,10.137.128.9,10.137.128.17,10.137.128.33,10.137.128.65",High,Building A,18:A9:9B:36:21:03,BER-ASA-FW01,BER-ASA-FW01,Cisco,ASA 5506,Cisco ASA OS,9.4,cpe:2.3:h:cisco:asa-5506-x:-:*:*:*:*:*:*:*,,CVE-2018-0240,No,Up-to-Date,Up-to-Date,None Detected,1504742400,today-1:234,,,4,,,,,,,,,,,
99136f-d092ec-66b6a453-f6c7,PLC,Tuas,Tuas,Singapore,Low,Controller LAN,10.128.70.96/27,10.128.70.104,Critical,Room 2,D0:0A:AB:A8:CF:8A,TUS-FA-M3V_1-LINE3,TUS-FA-M3V_1-LINE3,Yokogawa,FA-M3V,Windows 10,,cpe:2.3:h:yokogawa:b\/m9000_vp:-:*:*:*:*:*:*:*,CVE-2014-3888,CVE-2014-3888,No,Up-to-Date,Up-to-Date,None Detected,1517961600,today-1:17352,,,2,TRUE,FALSE,FALSE,TRUE,RUNNING,RUN,VLAN502,,,,
9bd7e4-0f8bbb-fe8e411e-f0f2,PLC,Dublin,Dublin,Ireland,Critical,Controller LAN,10.128.30.64/26,10.128.30.70,High,Annex L,00:24:3D:FB:4D:CF,DUB-SE3007_3-LINE1,DUB-SE3007_3-LINE1,Emerson,SE3007,Windows NT,,cpe:2.3:a:emerson:deltav_distributed_control_system:11.3.1:*:*:*:*:*:*:*,,CVE-2018-19021,No,Up-to-Date,Up-to-Date,None Detected,1512392400,today-4:478,,,2,TRUE,FALSE,FALSE,TRUE,RUNNING,RUN,,,,,
9c628c-46430d-5796069e-6672,PLC,Dublin,Dublin,Ireland,Critical,Controller LAN,10.128.30.64/26,10.128.30.71,Critical,Annex K,00:24:3D:2E:B9:42,DUB-SE3007_1-LINE2,DUB-SE3007_1-LINE2,Emerson,SE3007,Windows NT,,cpe:2.3:a:emerson:deltav_distributed_control_system:11.3.1:*:*:*:*:*:*:*,,CVE-2018-19021,No,Up-to-Date,Up-to-Date,None Detected,1512394200,today-5:284,,,2,TRUE,FALSE,FALSE,TRUE,RUNNING,RUN,,,,,
9c9440-677a2a-bac39412-1468,Server,Berlin,Berlin,Germany,High,Enterprise LAN,10.137.128.16/28,10.137.128.19,Medium,Building A,9C:D9:17:85:25:C7,BER-WONDERW-MES01,BER-WONDERW-MES01,Lenovo,ThinkServer RD350,Windows Server 2008 R2,1.25.0,cpe:2.3:o:lenovo:thinkserver_rd350_firmware:1.25.0:*:*:*:*:*:*:* ,CVE-2015-3322,CVE-2015-3322,No,Up-to-Date,Up-to-Date,None Detected,1504828800,today-3:8475,,,4,,,,,,,,,,,
9f2175-979e4d-cf70f39f-9373,Workstation,San Juan,San Juan,Puerto Rico,High,Manufacturing LAN,10.128.80.32/27,10.128.80.40,Low,Building C,6C:5F:1C:79:8C:1A,SJN-OWS01-LINE3,SJN-OWS01-LINE3,Lenovo,ThinkCentre M910z,Windows 10,,cpe:2.3:o:microsoft:windows_10:1607:*:*:*:*:*:*:*,,CVE-2019-0654,No,Up-to-Date,Up-to-Date,None Detected,1504974600,today-4:28573,,,3,,,,,,,,,,,
9f6c38-fa7721-f0013e7b-dbfe,PLC,Dublin,Dublin,Ireland,Critical,Controller LAN,10.128.30.64/26,10.128.30.72,High,Annex K,00:24:3D:14:54:7B,DUB-SE3007_2-LINE2,DUB-SE3007_2-LINE2,Emerson,SE3007,Windows NT,,cpe:2.3:a:emerson:deltav_distributed_control_system:11.3.1:*:*:*:*:*:*:*,,CVE-2018-19021,No,Up-to-Date,Up-to-Date,None Detected,1512396000,today-1:4759,,,2,TRUE,FALSE,FALSE,TRUE,RUNNING,RUN,,,,,
9fe9a0-fdd5a2-773038ce-4245,HMI,Tuas,Tuas,Singapore,Low,Manufacturing LAN,10.128.70.64/27,10.128.70.70,Medium,Room 1,00:60:41:39:37:14,TUS-HMI01-LINE2,TUS-HMI01-LINE2,Yokogawa,Y-View D104,Windows 7,,cpe:2.3:o:microsoft:windows_7:-:sp1:*:*:*:*:*:*,,CVE-2011-0658,No,Up-to-Date,Up-to-Date,None Detected,1512475200,today-5:73465,,,3,,,,,,,,,,,
a2934a-6b2132-9568e968-9ce1,Workstation,San Juan,San Juan,Puerto Rico,High,Manufacturing LAN,10.128.80.32/27,10.128.80.41,High,Building A,6C:5F:1C:AD:4A:79,SJN-ENG-EWS01,SJN-ENG-EWS01,Lenovo,ThinkCentre M910z,Windows 10,,cpe:2.3:o:microsoft:windows_10:1703:*:*:*:*:*:*:*,,CVE-2019-0654,No,Up-to-Date,Up-to-Date,None Detected,1504976400,today-5:36578,,,3,,,,,,,,,,,
a6406e-ceefd7-69b5d70f-5b57,Switch,Dublin,Dublin,Ireland,Critical,Controller LAN,10.128.30.64/26,10.128.30.66,High,Annex K,78:8A:20:58:02:DE,DUB-SWITCH-LINE2,DUB-SWITCH-LINE2,Ubiquiti,EdgeSwitch ES-24-250W,EdgeSwitch,1.7.3,cpe:2.3:o:ubnt:edgeswitch_firmware:*:*:*:*:*:*:*:*,CVE-2018-12590,CVE-2018-12590,No,Up-to-Date,Up-to-Date,None Detected,1512390600,today-4:80123,,,3,,,,,,,,,,,
a6c603-20b480-d410d409-8dfd,Workstation,San Juan,San Juan,Puerto Rico,High,Manufacturing LAN,10.128.80.32/27,10.128.80.42,Medium,Building C,6C:5F:1C:CD:4D:58,SJN-ENG-EWS02,SJN-ENG-EWS02,Lenovo,ThinkCentre M910z,Windows 10,,cpe:2.3:o:microsoft:windows_10:1703:*:*:*:*:*:*:*,,CVE-2019-0654,No,Up-to-Date,Up-to-Date,None Detected,1512291600,today-1:28547,,,3,,,,,,,,,,,
a79177-1f8267-d6eea8fb-7372,PLC,Dublin,Dublin,Ireland,Critical,Controller LAN,10.128.30.64/26,10.128.30.73,High,Annex K,00:24:3D:FF:EC:FC,DUB-SE3007_3-LINE2,DUB-SE3007_3-LINE2,Emerson,SE3007,Windows NT,,cpe:2.3:a:emerson:deltav_distributed_control_system:11.3.1:*:*:*:*:*:*:*,,CVE-2018-19021,No,Up-to-Date,Up-to-Date,None Detected,1512397800,today-2:4764,,,2,TRUE,FALSE,FALSE,TRUE,RUNNING,RUN,,,,,
a7b9eb-945817-d09ae992-00af,Workstation,Tuas,Tuas,Singapore,Low,Manufacturing LAN,10.128.70.64/27,10.128.70.77,High,Room 2,34:FC:B9:B7:7B:5D,TUS-ENG-EWS02,TUS-ENG-EWS02,HPE,ThinkCentre M910z,Windows XP,,cpe:2.3:o:microsoft:windows_xp:-:sp2:*:*:*:*:*:*,,CVE-2008-2253,YES,Up-to-Date,Up-to-Date,None Detected,1518181200,today-5:2848,,,3,,,,,,,,,,,
acaaec-d020ae-f9a4723e-8723,PLC,Berlin,Berlin,Germany,High,Controller LAN,10.137.128.64/26,10.137.128.72,Medium,Building B,AC:64:17:48:F5:2E,BER-SIM1200-LABELER2,BER-SIM1200-LABELER2,Siemens,SIMATIC S7-1200,Windows 10 ,,cpe:2.3:o:siemens:simatic_s7-1200_firmware:-:*:*:*:*:*:*:*,,CVE-2017-12741,No,Up-to-Date,Up-to-Date,None Detected,1512320400,today-1:37589,,,2,TRUE,FALSE,FALSE,TRUE,RUNNING,RUN,,,,,
af1a0b-fea0a5-935ee11b-02a7,Server,Berlin,Berlin,Germany,High,Enterprise LAN,10.137.128.16/28,10.137.128.20,Medium,Building A,9C:D9:17:B7:3C:D3,BER-WONDERW-MES02,BER-WONDERW-MES02,Lenovo,ThinkServer RD350,Windows Server 2008 R2,1.25.0,cpe:2.3:o:lenovo:thinkserver_rd350_firmware:1.25.0:*:*:*:*:*:*:* ,,CVE-2015-3322,No,Up-to-Date,Up-to-Date,None Detected,1504872000,today-4:37589,,,4,,,,,,,,,,,
b0ecf9-36ce1b-ae3f2975-ac56,PLC,Tuas,Tuas,Singapore,Low,Controller LAN,10.128.70.96/27,10.128.70.100,Critical,Room 1,D0:0A:AB:1F:4A:21,TUS-FA-M3V_1-LINE1,TUS-FA-M3V_1-LINE1,Yokogawa,FA-M3V,Windows 10,,cpe:2.3:h:yokogawa:b\/m9000_vp:-:*:*:*:*:*:*:*,CVE-2014-3888,CVE-2014-3888,No,Up-to-Date,Up-to-Date,None Detected,1512478800,today-2:27474,,,2,TRUE,FALSE,FALSE,TRUE,RUNNING,RUN,VLAN502,,,,
b11a24-9e205b-db195fac-35f9,PLC,Dublin,Dublin,Ireland,Critical,Controller LAN,10.128.30.64/26,10.128.30.74,Critical,Annex K,00:24:3D:FE:63:CE,DUB-SE3007_1-LINE3,DUB-SE3007_1-LINE3,Emerson,SE3007,Windows NT,,cpe:2.3:a:emerson:deltav_distributed_control_system:11.3.1:*:*:*:*:*:*:*,,CVE-2018-19021,No,Up-to-Date,Up-to-Date,None Detected,1512399600,today-1:1600,,,2,TRUE,FALSE,TRUE,TRUE,RUNNING,RUN,,,,,
b1985e-93977d-ab30ad42-41b9,PLC,Dublin,Dublin,Ireland,Critical,Controller LAN,10.128.30.64/26,10.128.30.75,High,Annex K,00:24:3D:8A:70:75,DUB-SE3007_2-LINE3,DUB-SE3007_2-LINE3,Emerson,SE3007,Windows NT,,cpe:2.3:a:emerson:deltav_distributed_control_system:11.3.1:*:*:*:*:*:*:*,,CVE-2018-19021,No,Up-to-Date,Up-to-Date,None Detected,1512401400,today-4:2845,,,2,TRUE,FALSE,TRUE,TRUE,RUNNING,RUN,,,,,
b1ce46-57f799-dc24bad5-9752,Server,Dublin,Dublin,Ireland,Critical,Enterprise LAN,10.128.30.16/28,10.128.30.22,Critical,Annex L,74:E6:E2:68:94:CC,DUB-HPLC-APP01,DUB-HPLC-APP01,Dell,EMC PowerEdge R740,Windows Server 2012 R2,,cpe:2.3:a:dell:emc_idrac7:*:*:*:*:*:*:*:*,,CVE-2018-1207,No,Up-to-Date,Up-to-Date,None Detected,1512304200,today-2:8430,,,4,,,,,,,,,,,
b299a5-304160-de3fdb49-3a06,Workstation,Berlin,Berlin,Germany,High,Manufacturing LAN,10.137.128.32/28,10.137.128.36,High,Building A,C8:DD:C9:A3:C9:D6,BER-ENG-EWS01,BER-ENG-EWS01,Lenovo,ThinkCentre M910z,Windows 10,,cpe:2.3:o:microsoft:windows_10:-:*:*:*:*:*:*:*,,CVE-2019-0654,No,Up-to-Date,Up-to-Date,None Detected,1504962000,today-2:37850,,,3,,,,,,,,,,,
b2cc80-49fa14-91c85d6f-3ca6,HMI,San Juan,San Juan,Puerto Rico,High,Manufacturing LAN,10.128.80.32/27,10.128.80.43,Low,Building A,00:D0:7C:3D:BE:EF,SJN-HMI01-FILL1,SJN-HMI01-FILL1,C-more,EA7-T8C,Windows NT,1.21 Build 6.18E,cpe:2.3:o:microsoft:windows-nt:2008:*:*:*:*:*:*:*,,CVE-2008-2253,No,Up-to-Date,Up-to-Date,None Detected,1504976400,today-4:9375,,,3,,,,,,,,,,,
b6ab3c-a55338-056fa018-8b42,Server,Tuas,Tuas,Singapore,Low,DMZ,10.128.70.16/28,10.128.70.19,High,Telecom,00:00:64:B9:D2:B5,TUS-CENTUMVP-APP01,TUS-CENTUMVP-APP01,Yokogawa,Centum VP DCS,Windows 10,,cpe:2.3:a:yokogawa:centum_vp:*:*:*:*:*:*:*:*,,CVE-2019-5909?,No,Up-to-Date,Up-to-Date,None Detected,1512392400,today-5:73547,,,4,,,,,,,,,,,
b7e61d-fb93cb-036f1de5-f078,Workstation,Berlin,Berlin,Germany,High,Manufacturing LAN,10.137.128.32/28,10.137.128.35,Medium,Building B,C8:DD:C9:F3:62:EA,BER-OWS01-LINE2,BER-OWS01-LINE2,Lenovo,ThinkCentre M910z,Windows 10,,cpe:2.3:o:microsoft:windows_10:-:*:*:*:*:*:*:*,,CVE-2019-0654,No,Up-to-Date,Up-to-Date,None Detected,1504960200,today-1:38572,,,3,,,,,,,,,,,
bb8b4a-e64142-a9b673c4-5929,Server,Dublin,Dublin,Ireland,Critical,Enterprise LAN,10.128.30.16/28,10.128.30.23,Low,Annex L,74:E6:E2:9D:A4:35,DUB-HPLC-APP02,DUB-HPLC-APP02,Dell,EMC PowerEdge R740,Windows Server 2012 R2,,cpe:2.3:a:dell:emc_idrac7:*:*:*:*:*:*:*:*,,CVE-2018-1207,No,Up-to-Date,Up-to-Date,None Detected,1512306000,today-3:284,,,4,,,,,,,,,,,
bd5d9d-331def-ac44cef2-075a,HMI,San Juan,San Juan,Puerto Rico,High,Manufacturing LAN,10.128.80.32/27,10.128.80.44,Low,Building A,00:D0:7C:E3:D2:E6,SJN-HMI02-FILL1,SJN-HMI02-FILL1,C-more,EA7-T8C,Windows NT,1.21 Build 6.18E,cpe:2.3:o:microsoft:windows-nt:2008:*:*:*:*:*:*:*,,CVE-2008-2253,No,Up-to-Date,Up-to-Date,None Detected,1512291600,today-5:7583,,,3,,,,,,,,,,,
c007fb-631395-6916c4bc-f5f0,Firewall,Dublin,Dublin,Ireland,Critical,DMZ,10.128.30.0/30,"10.128.30.2,128.229.4.2",Critical,Annex L,00:08:E3:59:55:69,DUB-CISCOASA-EXTFW,DUB-CISCOASA-EXTFW,Cisco,ASA 5506,Cisco ASA OS,9.4,cpe:2.3:h:cisco:asa-5506-x:-:*:*:*:*:*:*:*,,CVE-2018-0240,No,Up-to-Date,Up-to-Date,None Detected,1504873800,today-1:8474,,,4,,,,,,,,,,,
c027b7-8562d0-33e887df-843c,PLC,Berlin,Berlin,Germany,High,Controller LAN,10.137.128.64/26,10.137.128.69,Critical,Building A,88:3F:99:63:CC:AD,BER-SIM700-LINE1,BER-SIM700-LINE1,Siemens,SIMATIC S7-400,Windows 10 ,6.0.1,cpe:2.3:o:siemens:simatic_s7-400_cpu_firmware:6.0.1:*:*:*:*:*:*:*,CVE-2012-3016,CVE-2012-3016,No,Up-to-Date,Up-to-Date,None Detected,1512315000,today-3:57483,,,2,TRUE,FALSE,FALSE,TRUE,RUNNING,RUN,,,,,
c198db-21b31b-2f43efde-8184,HMI,San Juan,San Juan,Puerto Rico,High,Manufacturing LAN,10.128.80.32/27,10.128.80.45,Low,Building C,00:D0:7C:17:08:84,SJN-HMI01-FINISH1,SJN-HMI01-FINISH1,C-more,EA7-T8C,Windows NT,1.21 Build 6.18E,cpe:2.3:o:microsoft:windows-nt:2008:*:*:*:*:*:*:*,,CVE-2008-2253,No,Up-to-Date,Up-to-Date,None Detected,1512293400,today-1:9573,,,3,,,,,,,,,,,
c30d0d-37a4bf-f3d0e41e-f75c,Workstation,Dublin,Dublin,Ireland,Critical,Manufacturing LAN,10.128.30.32/27,10.128.30.37,Medium,Annex L,30:8D:99:DE:AA:CD,DUB-OWS01-LINE1,DUB-OWS01-LINE1,HPE,ProLiant ML110,Windows Server 2012,,cpe:2.3:o:microsoft:windows_server_2012:-:*:*:*:*:*:*:*,,CVE-2018-8562,No,Up-to-Date,Up-to-Date,None Detected,1512477000,today-4:486,,,3,,,,,,,,,,,
c52c16-4940a4-f785612b-c6b1,Workstation,Dublin,Dublin,Ireland,Critical,Manufacturing LAN,10.128.30.32/27,10.128.30.38,Medium,Annex L,30:8D:99:05:1E:7E,DUB-OWS02-LINE1,DUB-OWS02-LINE1,HPE,ProLiant ML110,Windows Server 2012,,cpe:2.3:o:microsoft:windows_server_2012:-:*:*:*:*:*:*:*,,CVE-2018-8562,No,Up-to-Date,Up-to-Date,None Detected,1512478800,today-5:295,,,3,,,,,,,,,,,
c61a2e-2a2d4e-582235b4-c08e,Firewall,Philadelphia,Philadelphia,United States of America,Medium,DMZ,10.128.90.0/30,10.128.90.2,High,Server Room,00:09:7C:9A:51:CB,PHL-ASA-FW02,PHL-ASA-FW02,Cisco,ASA 5506,Cisco ASA OS,,cpe:2.3:h:cisco:asa-5506-x:-:*:*:*:*:*:*:*,,CVE-2018-0240,No,Up-to-Date,Up-to-Date,None Detected,1504962000,today-1:8475,,,4,,,,,,,,,,,
c7d887-e85b56-223deb7d-3b69,Workstation,Dublin,Dublin,Ireland,Critical,Manufacturing LAN,10.128.30.32/27,10.128.30.48,Low,Annex K,30:8D:99:FC:DE:D1,DUB-OWS01-LINE2,DUB-OWS01-LINE2,HPE,ProLiant ML110,Windows Server 2012,,cpe:2.3:o:microsoft:windows_server_2012:-:*:*:*:*:*:*:*,,CVE-2018-8562,No,Up-to-Date,Up-to-Date,None Detected,1517961600,today-4:38589,,,3,,,,,,,,,,,
cb111b-7c61fc-d2ab42e1-8a1f,HMI,Tuas,Tuas,Singapore,Low,Manufacturing LAN,10.128.70.64/27,10.128.70.69,Low,Room 1,00:60:41:95:15:6C,TUS-HMI01-LINE1,TUS-HMI01-LINE1,Yokogawa,Y-View D104,Windows 7,,cpe:2.3:o:microsoft:windows_7:-:sp1:*:*:*:*:*:*,,CVE-2011-0658,No,Up-to-Date,Up-to-Date,None Detected,1512473400,today-4:36575,,,3,,,,,,,,,,,
cb4312-4c9652-5c2e9fb5-495b,Workstation,Dublin,Dublin,Ireland,Critical,Manufacturing LAN,10.128.30.32/27,10.128.30.39,Low,Annex K,30:8D:99:04:74:15,DUB-OWS01-LINE3,DUB-OWS01-LINE3,HPE,ProLiant ML110,Windows Server 2012,,cpe:2.3:o:microsoft:windows_server_2012:-:*:*:*:*:*:*:*,,CVE-2018-8562,No,Up-to-Date,Up-to-Date,None Detected,1512480600,today-1:385,,,3,,,,,,,,,,,
cc32a6-d0e515-5c9b18e6-189e,Workstation,Dublin,Dublin,Ireland,Critical,Manufacturing LAN,10.128.30.32/27,10.128.30.40,High,Annex L,30:8D:99:1C:94:5B,DUB-ENG-EWS01,DUB-ENG-EWS01,HPE,ProLiant ML110,Windows Server 2012,,cpe:2.3:o:microsoft:windows_server_2012:-:*:*:*:*:*:*:*,,CVE-2018-8562,No,Up-to-Date,Up-to-Date,None Detected,1512482400,today-2:9785,,,3,,,,,,,,,,,
cf03eb-ddfa54-c01c965a-b534,Workstation,Dublin,Dublin,Ireland,Critical,Manufacturing LAN,10.128.30.32/27,10.128.30.41,Low,Annex K,30:8D:99:09:55:3E,DUB-ENG-EWS02,DUB-ENG-EWS02,HPE,ProLiant ML110,Windows Server 2012,,cpe:2.3:o:microsoft:windows_server_2012:-:*:*:*:*:*:*:*,,CVE-2018-8562,No,Up-to-Date,Up-to-Date,None Detected,1512484200,today-3:2856,,,3,,,,,,,,,,,
