field,type,sourcetype,areas,pulldown_type,description
latency,numeric,cucm_cmr,quality,,"This field designates value that is an estimate of the network latency, expressed in milliseconds. This value represents the average value of the difference between the NTP timestamp that the RTP Control Protocol (RTCP) messages indicates and the NTP timestamp of the receivers, measured when these messages are received. Cisco Unified Communications Manager obtains the average by summing all estimates then dividing by the number of RTCP messages that have been received. For detailed information, see RFC 1889."
leg_type,categorical,cucm_cdr,custom,explicitSPL,"Experimental field that is generated on call legs that have an eventtype whose name begins with 'leg_type_'. The value of this field is taken from the rest of the eventtype name after the 'leg_type_' prefix.  Note that we only ship a few of these definitions - currently 2 for voicemail and one for transfers to Contact Center.  You may create these yourself simply by creating an eventtype whose name brings with 'leg_type_', and using the Health Checks to make sure that no call legs ever end up with more than one leg_type matching."
legs,numeric,"cucm_cdr,cube_cdr",core,explicitSPL,"(added by the app) This field will count the number of call legs, including but not limited to any transfers."
local_hostname,categorical,cube_cdr,cube network,,Local hostname that would be accessed or used by the SNMP MIBs.
logical_if_index,categorical,cube_cdr,cube network,,"ifIndex value of the logical interface through which this call was made. For ISDN media, this is the ifIndex of the B channel that was used for this call."
lost_packets,numeric,cube_cdr,cube network quality,,Number of lost voice packets during the call.
lowater_playout_delay,numeric,cube_cdr,cube quality,,Low-water mark voice playout FIFO delay during the voice call.
max_bitrate,numeric,cube_cdr,cube network quality,,Maximum bandwidth used by the video call.
minute_of_hour,categorical,ALL,core,,"(added by the app) this is the minute of the hour at which the call leg occurred, as expressed in the user's current timezone"
MLQK,numeric,cucm_cmr,quality,,MOS Listening Quality K-factor -- an estimate of the MOS score of the last 8 seconds of speech on the reception signal path.  Note Cisco has switched to recommending CS/SCS/CSR and SCSR as more reliable and consistent quality metrics.  See the SCSR_overall and CSR_overall fields.
MLQKav,numeric,cucm_cmr,quality,,The running average of MLQK scores that are observed since the beginning of a call.
MLQKmn,numeric,cucm_cmr,quality,,The minimum MLQK score that is observed since the beginning of a call and represents the worst sounding 8-second interval.
MLQKmx,numeric,cucm_cmr,quality,,The maximum MLQK score that is observed since the beginning of a call and represents the best sounding 8-second interval.
MLQKvr,numeric,cucm_cmr,quality,,"Another MOS score statistic introduced in more recent CUCM versions, it's unclear what this actually is, as Cisco describes it nowhere in the callmanager docs for any version."
mobileCallingPartyNumber,categorical,cucm_cdr,parties mobility,,"For mobility calls, specifies the callingPartyNumber."
mobileCallType,categorical,cucm_cdr,mobility,,An integer valued code specifying the mobility feature that is invoked for this mobile call.
mobilityFeature,categorical,cucm_cdr,mobility,,(added by the app) Specifies the name of the mobility feature that was invoked for this mobile call.
month_of_year,categorical,ALL,core,,(added by the app) This field represents the current month of the year as calculated in the timezone of the Splunk server.
name,categorical,cucm_cdr,parties,explicitSPL,"(added by the groups lookup) This field represents the union of the callingPartyName, originalCalledPartyName and finalCalledPartyName, as looked up in the groups lookup, for the given call leg or for all call legs in the given call. "
nodeId,categorical,cucm_cdr,reference,,"This field specifies the server, or node within the Cisco Unified Communications Manager cluster, where this record gets generated."
noise_level,numeric,cube_cdr,cube quality,,"Average noise level for the call, in dBm."
number,categorical,ALL,core,,"(added by the app UI) This field represents the union of the values found in callingPartyNumber, originalCalledPartyNumber and finalCalledPartyNumber. This is useful for reporting when you want to include statistics from the number regardless of whether it was present as the calling party or one of the called parties."
numberOctetsReceived,numeric,cucm_cmr,quality,,"The total number of payload octets (that is, not including header or padding) that the device has received in RTP data packets since starting reception on this connection. The count includes packets that are received from different sources if this is a multicast call. The value remains zero if the connection is set in 'send only' mode."
numberOctetsSent,numeric,cucm_cmr,quality,,"The total number of payload octets (that is, not including header or padding) that the device transmits in RTP data packets since starting transmission on this connection. The value remains zero if the connection is set to 'receive nly' mode."
numberPacketsLost,numeric,cucm_cmr,quality,,"The total number of RTP data packets that have been lost since the beginning of reception. This number designates the number of packets that were expected, less the number of packets that were actually received, where the number of packets that were received includes any that are late or duplicates. Thus, packets that arrive late do not get counted as lost, and the loss may be negative if duplicate packets exist. The number of packets that are expected designates the extended last sequence number that was received, as defined next, less the initial sequence number that was received. The value remains zero if the connection was set in 'send only' mode. For detailed information, see RFC 1889."
numberPacketsReceived,numeric,cucm_cmr,quality,,The total number of RTP data packets that the device has received since starting reception on this connection. The count includes packets that are received from different sources if this is a multicast call. The value remains zero if the connection is set in 'send only' mode.
numberPacketsSent,numeric,cucm_cmr,quality,,The total number of Routing Table Protocol (RTP) data packets that the device transmits since starting transmission on this connection. The value remains zero if the connection is set to 'receive only' mode.
numberVideoOctetsReceived,numeric,cucm_cmr,video quality,,"The total number of payload octets (that is, not including header or padding) received in RTP data packets by the device since starting reception on this connection."
numberVideoOctetsSent,numeric,cucm_cmr,video quality,,"The total number of payload octets (that is, not including header or padding) transmitted in RTP data packets by the device since starting transmission on this connection. "
numberVideoPacketsLost,numeric,cucm_cmr,video quality,,The total number of RTP data packets that have been lost since the beginning of reception on this connection.
numberVideoPacketsReceived,numeric,cucm_cmr,video quality,,The total number of RTP data packets received by the device since starting reception on this connection.
numberVideoPacketsSent,numeric,cucm_cmr,video quality,,The total number of RTP data packets transmitted by the device since starting transmission on this connection.
on_hook_party,categorical,cucm_cdr,parties,,"(added by the app) For call legs that terminate when one party goes on-hook,  this field will have the value 'caller' or 'recipient' depending on which party went on-hook."
ontime_rv_playout,numeric,cube_cdr,cube time,,"Duration, in ms, of voice playout from data received on time for this call."
orig_AALN,categorical,cucm_cdr,devices,,"(added by the app) A flag that may or may not be present on an MGCP gateway value, if present indicating that the type of endpoint is analog"
orig_cti_route_point,categorical,cucm_cdr,devices,,(added by the app) When origination devices involve UCCX this will contain the origination route point.
orig_device_type,categorical,cucm_cdr,core devices,,"(added by the app) This gives you the type of device originating the call. Possible values are hardphone, jabberphone, softphone, uccx. If the device does not match one of the extractions in transforms.conf then the field will be undefined."
orig_gateway,categorical,cucm_cdr,core,,(added by the app) This is the name of the gateway used in the inbound call
orig_gateway_port,categorical,cucm_cdr,devices,,(added by the app) One of the components of how MGCP gateways are listed - taken together port slot and sub_unit define an individual interface on the given MGCP gateway.
orig_gateway_slot,categorical,cucm_cdr,devices,,(added by the app) One of the components of how MGCP gateways are listed - taken together port slot and sub_unit define an individual interface on the given MGCP gateway.
orig_gateway_sub_unit,categorical,cucm_cdr,devices,,(added by the app) One of the components of how MGCP gateways are listed - taken together port slot and sub_unit define an individual interface on the given MGCP gateway.
orig_mgcp_gateway,categorical,cucm_cdr,devices,,"(added by the app) The MGCP gateway name itself, stripped of the AALN, port slot and sub_unit components."
origAnalogMac,categorical,cucm_cdr,devices,,(added by the app) this is the mac address extracted from originating hardphone devices.
origAudioBandwidth,categorical,cucm_cdr,network audio,,"Specifies the bandwidth in kbps of the originating device's codec, if known. (to check manually, look at the calls origAudioCodec and then look that row up in codec_types.csv within the app)"
origAudioCodec,categorical,cucm_cdr,codecs audio,,(added by the app) Represents the audio codec used by the originating device.
origCallControlGroup,categorical,cucm_cdr,devices,,(added by the app) This field is extracted by default from devices whose names begin with CCG.
origCalledPartyRedirect_description,categorical,cucm_cdr,redirection,,"(added by the app) The description as per Cisco's docs, of the corresponding origCalledPartyRedirectReason code. "
origCalledPartyRedirectOnBehalfOf,categorical,cucm_cdr,on_behalf_of_codes redirection,,"Call release cause code specifying the reason for redirection of the original called party. For example, if the original called party was redirected because of a conference, the OnBehalfOf code specifies '4'."
origCalledPartyRedirectOnBehalfOf_description,categorical,cucm_cdr,on_behalf_of_codes redirection,,"(added by the app) The description as per Cisco's docs, of the corresponding origCalledPartyRedirectOnBehalfOf code. "
origCalledPartyRedirectReason,categorical,cucm_cdr,redirection,,The reason for a redirect of the original called party.
origCallingSearchSpace,categorical,cucm_cdr,devices parties,,"(added by the app) If the origDeviceName value is present in the devices lookup, this field will be the callingSearchSpace listed for that device. "
origCallTerminationOnBehalfOf,categorical,cucm_cdr,on_behalf_of_codes,,"Call release cause code specifying why the originator was terminated. For example, if the originator of the call hangs up the phone, the OnBehalfOf code shows '12' for Device. If the call terminates because of a transfer, the OnBehalfOf code shows '10' for Transfer."
origCallTerminationOnBehalfOf_description,categorical,cucm_cdr,on_behalf_of_codes,,(added by the app) The readable name of the reason why the originator was terminated. See the field 'origCallTerminationOnBehalfOf'.
origCause_description,categorical,cucm_cdr,call_release_codes,,This field is added by the app and is the english description of the appropriate call release cause code for calls cleared by the originating party
origCause_location,categorical,cucm_cdr,call_release_codes,,"For clearing causes that are received over ISDN signaling links, this field specifies the Location field that is indicated in the ISDN release message. For clearing causes that are created internally by the Cisco Unified Communications Manager, this value specifies zero. "
origCause_value,categorical,cucm_cdr,call_release_codes,,"For calls that are cleared by the originating party, this integer reflects the reason for clearance. For calls that are cleared by the terminating party, this value will be zero."
origCidr,categorical,cucm_cdr,location,,"(added by the app) For calls whose origDeviceName matches one of the subnets in the Sites lookup,   this field holds the value of the matching subnet.  This can be useful when you have multiple subnets mapped to a single sites,   but where the individual subnets themselves remain occasionally interesting. You can add and edit subnets in the Sites lookup under 'App Settings > Sites'."
origConversationId,categorical,cucm_cdr,conferencing,,"The conference ID that is associated with the originating leg of the call. In most cases, this field equals 0. For conference chaining scenarios, the origConversationId and destConversationId fields identify which conferences are chained together."
origDeviceDescription,categorical,cucm_cdr,devices parties,,"(added by the app) If the origDeviceName value is present in the devices lookup, this field will be the description listed for that device. "
origDeviceDirectoryNumber,categorical,cucm_cdr,devices,,"(added by the app) If the origDeviceName value is present in the devices lookup, this field will be the primary (or failing that secondary) DN or DiD number associated with the oiriginating device."
origDeviceName,categorical,cucm_cdr,core devices,,"The name of the originating device, whether it's a soft phone, physical phone or gateway device."
origDevicePool,categorical,cucm_cdr,devices parties,,"(added by the app) If the origDeviceName value is present in the devices lookup, this field will be the devicePool listed for that device. "
origDeviceProtocol,categorical,cucm_cdr,devices parties,,"(added by the app) If the origDeviceName value is present in the devices lookup, this field will be the protocol listed for that device. "
origDTMFMethod,categorical,cucm_cdr,devices,,The DTMF method that the originator uses. (0 - No DTMF - Use ANY matched DTMF. 1 - OOB - Use OOB if endpoints behind SIPTrunk support it. 2 - 2833 - Use RFC2833 if endpoints behind SIPTrunk support it. 3 - OOB and 2833 - Use both KPML and RFC2833 if endpoints behind SIPTrunk can support both. 4 - Unknown).  See field origDTMFMethod_description also.
origDTMFMethod_description,categorical,cucm_cdr,devices,,(added by the app) The human readable version of the field OrigDTMFMethod.
origHardPhoneMac,categorical,cucm_cdr,devices,,"(added by the app) Extracted from the originating device names that match the 'cisco-cdr-orighardphone' regex in transforms.conf, this represents the username of the originating hardphone. "
originalCalledPartyGroup,categorical,cucm_cdr,parties,,"(added by the app) This will contain the department or group in which the originalCalledPartyNumber is listed.  This field is one of those created by the groups lookup, which runs automatically once created.  See 'Define Groups' under Settings to learn more."
originalCalledPartyName,categorical,cucm_cdr,parties,,"(added by the app) This will contain the name of the person with the given originalCalledPartyNumber.  This field is one of those created by the groups lookup, which runs automatically once created.  See 'App Settings > Groups and extensions' to learn more."
originalCalledPartyNumber,categorical,cucm_cdr,core parties,,"Number or extension to which the original call was presented, prior to any forwarding. If translation rules are configured, this number reflects the called number after the translations have been applied."
originalCalledPartyNumberPartition,categorical,cucm_cdr,parties,,"Identifies the partition name that is associated with the OriginalCalledPartyNumber field because Cisco Unified Communications Manager supports multiple Cisco Unified IP Phones with the same extension number in different partitions. For calls that egress through an H.323 gateway, this field uniquely specifies the partition name that is associated with the route pattern that points to the gateway."
originalCalledPartyPattern,categorical,cucm_cdr,parties,,This is the pattern matched by the originalCalledPartyNumber.
originalCalledPartySubgroup,categorical,cucm_cdr,parties,,"(created by the app, if the groups lookup has been configured to). See the documentation under Setup>Groups. If you set up the groups lookup to have this field in addition to originalCalledPartyGroup, then this field will exist"
originating_line_info,categorical,cube_cdr,cube reference,,Sent in start and stop accounting messages for call legs 1 and 4.
origIpAddr,categorical,cucm_cdr,network,explicitSPL,"(modified by the app) The IP address of the device that originated the call signaling. For Cisco Unified IP Phones, this field specifies the address of the phone. For PSTN calls, this field specifies the address of the H.323 gateway. For intercluster calls, this field specifies the address of the remote Cisco Unified Communications Manager.  Although present in the CDR as an integer in most callmanager versions, the Sideview app automatically converts these values to real IP addresses."
origIpComDevice,categorical,cucm_cdr,devices,,"(added by the app) Extracted from the originating device names that match the 'cisco-cdr-origipcom' regex in transforms.conf, this represents the username of the originating IP Communicator device. "
origIpv4v6Addr,categorical,cucm_cdr,network,,"This field identifies the IP address of the device that originates the call signalling. The field can be either IPv4 or IPv6 format depending on the type of IP address that gets used for the call.  For Cisco Unified IP Phones, this field is the address of the Cisco Unified IP Phone. For PSTN calls, this field is the address of the gateway. For intercluster calls, this field is the address of the remote Cisco Unified Communications Manager."
origJabberDevice,categorical,cucm_cdr,devices,,"(added by the app) Extracted from the originating device names that match the 'cisco-cdr-origjabberphone' regex in transforms.conf, this represents the username of the originating Jabber device. "
origLegCallIdentifier,categorical,cucm_cdr,reference,,"This field identifies the originating leg of a call. Be aware that this value is unique within a cluster. If the leg of a call persists across several sub-calls, and consequently several CDRs (as during a call transfer), this value remains constant."
origMediaCap_Bandwidth,numeric,cucm_cdr,network,,The media bandwidth that is used at the origination of the call.
origMediaCap_g723BitRate,numeric,cucm_cdr,network,,This field is not reported by CUCM
origMediaCap_maxFramesPerPacket,numeric,cucm_cdr,network,,"This field identifies the number of milliseconds of data per packet that the originating party sends. This field normally gets set to 10, 20, or 30 for G.729 or G.711 codecs, but the field can store any nonzero value."
origMediaCap_payloadCapability,categorical,cucm_cdr,codecs,,"The codec type that the originator uses to transmit media. CUCM currently uses the following payload capability values: 0, 1-16, 18-20, 25, 32, 33, 81-86. See 'Codec Types' in CUCM docs."
origMediaTransportAddress_IP,categorical,cucm_cdr,network,,"IP address of the device that originates the media for the call. For Cisco Unified IP Phones, this field specifies the address of the phone.For PSTN calls, this field specifies the address of the H.323 gateway. For intercluster calls, this field specifies the address of the remote phone."
origMediaTransportAddress_Port,categorical,cucm_cdr,network,,This field identifies the IP port number that is associated with the OrigMediaTransportAddress_IP field.
origMobileCallDuration,numeric,cucm_cdr,mobility time,,"For mobility calls, specifies the originating mobile device's call duration."
origMobileDeviceName,categorical,cucm_cdr,devices mobility,,"For mobility calls, specifies the originating mobile device name."
origNodeId,categorical,cucm_cdr,reference,,"This field identifies the server, or node within a cluster, to which the originator of the call is registered at the time that the call is made."
origPrecedenceLevel,categorical,cucm_cdr,network,,"For MLPP, the precedence level of the original call leg.  (0=FLASH OVERRIDE/ EXECUTIVE OVERRIDE, 1=FLASH,2=IMMEDIATE,3=PRIORITY,4=ROUTINE ).  See field origPrecendenceLevel_description also."
origPrecedenceLevel_description,categorical,cucm_cdr,network,,"(added by the app) The human readable version of the origPrecendenceLevel.  FLASH OVERRIDE, EXECUTIVE OVERRIDE, FLASH, IMMEDIATE, PRIORITY, ROUTINE "
origProductName,categorical,cucm_cdr,devices parties,,"(added by the app) If the origDeviceName value is present in the devices lookup, this field will be the product name listed for that device."
origRoutingReason,categorical,cucm_cdr,routing,,This field is used with CUCM's external call control feature and represents the reason why the call was intercepted for the first time.
origRoutingReasonName,categorical,cucm_cdr,routing,,(added by the app) This is the name corresponding to the origRoutingReason code.  ie origRoutingReason 5 corresponds to PDPDecision_Forward_Fulfilled.
origRSVPAudioStat,categorical,cucm_cdr,reference,,Status of the RSVP audio reservation from originator to terminator.  See field origRSVPAudioStat_description for more information and a human readable version of these values.
origRSVPAudioStat_description,categorical,cucm_cdr,reference,,"(added by the app) The human readable version of the Status of the RSVP audio reservation from originator to terminator.  0 - No reservation,1 - RSVP Reservation Failure condition at call setup or feature invocation, 2  - RSVP Reservation Success condition at call setup or feature invocation,3 - RSVP Reservation No Response (RSVP Agent) condition at call setup or feature invocation,4 - RSVP Mid Call Failure Preempted condition (preempted after call setup),5 - RSVP Mid Call Failure Lost Bandwidth condition (includes all mid-call failures except MLPP preemption)."
origRSVPVideoStat,categorical,cucm_cdr,reference,,Status of the RSVP video reservation from originator to terminator.  See field origRSVPVideoStat_description for more information and a human readable version of these values.
origRSVPVideoStat_description,categorical,cucm_cdr,reference,,"(added by the app) The human readable version of the Status of the RSVP video reservation from originator to terminator.  0 - No reservation,1 - RSVP Reservation Failure condition at call setup or feature invocation, 2  - RSVP Reservation Success condition at call setup or feature invocation,3 - RSVP Reservation No Response (RSVP Agent) condition at call setup or feature invocation,4 - RSVP Mid Call Failure Preempted condition (preempted after call setup),5 - RSVP Mid Call Failure Lost Bandwidth condition (includes all mid-call failures except MLPP preemption)."
origSecurityProfile,categorical,cucm_cdr,devices parties,,"(added by the app) If the origDeviceName value is present in the devices lookup, this field will be the security profile listed for that device. "
origSite,categorical,cucm_cdr,location,explicitSPL,(added by the app) This field is derived from matching the origIpAddr against the subnets specified in the app's Sites lookup.  You can add and edit subnets in the Sites lookup under 'App Settings > Sites'.
origSpan,numeric,cucm_cdr,reference,,"For calls that originate at a gateway, this field indicates the B-channel number of the T1, PRI, or BRI trunk where the call originates, or a zero value for FXS or FXO trunks.  For H.323 gateways, the span number remains unknown, and this field contains the call leg ID of the originator.For calls that did not originate at a gateway, the value specifies zero."
origUccxDevice,categorical,cucm_cdr,devices,,"(added by the app) Extracted from the originating device names that match the 'cisco-cdr-origuccx' regex in transforms.conf, this represents the username of the originating UCCX device. "
origUnityVMDevice,categorical,cucm_cdr,devices,,"(added by the app) Extracted from the originating device names that match the 'cisco-cdr-origunityvm' regex in transforms.conf, this represents the username of the originating Unity Voicemail device. "
origUserDepartment,categorical,cucm_cdr,devices parties,,"(added by the app) If the devices lookup has been set up (Generally with Sideview's Supporting Add On for Cisco AXL), this will populate with the department of the given party"
origUserEmail,categorical,cucm_cdr,devices parties,,"(added by the app) If the devices lookup has been set up (Generally with Sideview's Supporting Add On for Cisco AXL), this will populate with the email address of the given party"
origUserId,categorical,cucm_cdr,devices parties,,"(added by the app) If the devices lookup has been set up (Generally with Sideview's Supporting Add On for Cisco AXL), this will populate with the userid of the given party"
origUserName,categorical,cucm_cdr,devices parties,,"(added by the app) If the devices lookup has been set up (Generally with Sideview's Supporting Add On for Cisco AXL), this will populate with the username of the given party"
origVideoBandwidth,categorical,cucm_cdr,network video,,"Specifies the bandwidth in kbps of the originating device's codec, if known. (to check manually, look at the call's origVideoCodec and then look that row up in codec_types.csv within the app)"
origVideoCap_Bandwidth,numeric,cucm_cdr,video network,,The bandwidth that is measured in units of kbps.
origVideoCap_Bandwidth_Channel2,categorical,cucm_cdr,video network,,"Bandwidth measured in kbps for the second video channel.  Default - 0. If media does not get established, this field displays 0. Also, if H.239 and BFCP are not supported for this call, this field displays 0."
origVideoCap_Codec,categorical,cucm_cdr,codecs,,"The codec type that the originator uses to transmit video. (100 = H.261,101 = H.263,102 = Vieo)"
origVideoCap_Codec_Channel2,categorical,cucm_cdr,codecs,,"The codec type that the originator uses to transmit video (H.261, H.263, or H.264) for the second video channel.  Default - 0. If media does not get established, this field displays 0. Also, if H.239 and BFCP are not supported for this call, this field displays 0. "
origVideoCap_Resolution,categorical,cucm_cdr,video,,"Indicates the transmitting resolution. In the case of H.264 codec or SIP device, this field refers to the max transmitting resolution the device can transmit for this call. See field origVideoCap_Resolution_description for more information and human-readable values. "
origVideoCap_Resolution_Channel2,categorical,cucm_cdr,video,,"Indicates the transmitting resolution for the second video channel. In the case of H.264 codec or SIP device, this field refers to the maximum transmitting resolution the device can transmit for this call.  \Default - 0. If media is not established, this field stays 0. Also, if H.239 and BFCP are not supported for this call, this field displays 0.   For more information and human-readable values, see field origVideoCap_Resolution_Channel2_description"
origVideoCap_Resolution_Channel2_description,categorical,cucm_cdr,video,,"(added by the app) This field identifies the video resolution for the second video channel. (0 = Nothing/default, 1 = SQCIF, 2 = QCIF, 3 = CIF, 4 = CIF4, 5 = CIF16, 6 = H263 custom resolution, 7 = W360P, 8 = VGA, 9 = W448P, 10 = HD720P, 11 = HD1080P, 12 = CIF2 )"
origVideoCap_Resolution_description,categorical,cucm_cdr,video,,"(added by the app) The human-readable version of the video resolution. (0 = Nothing/default, 1 = SQCIF, 2 = QCIF, 3 = CIF, 4 = CIF4, 5 = CIF16, 6 = H263 custom resolution, 7 = W360P, 8 = VGA, 9 = W448P, 10 = HD720P, 11 = HD1080P, 12 = CIF2 )"
origVideoChannel_Role_Channel2,categorical,cucm_cdr,reference,,"Identifies the H.239 video channel role of the device that receives the call.  Default - 0. If media does not get established, this field displays 0. Also, if H.239 is not supported, this field displays 0. "
origVideoCodec,categorical,cucm_cdr,codecs,,"For video calls, represents the codec used by the originating device. For audio calls this field will be empty."
origVideoTransportAddress_IP,categorical,cucm_cdr,video network,,The IP address of the device that originates the call.
origVideoTransportAddress_IP_Channel2,categorical,cucm_cdr,video network,,"Identifies the v4 IP address of the device that originates the call for the second video channel.  Default - 0. If media does not get established, this field displays 0. Also, if H.239 and BFCP are not supported for this call, this field displays 0. "
origVideoTransportAddress_Port,categorical,cucm_cdr,video network,,The video RTP port that is associated with the origVideoTransportAddress_IP field.
origVideoTransportAddress_Port_Channel2,categorical,cucm_cdr,video network,,"Identifies the video RTP port associated with the origH239VideoTransportAddress_IP field for the second video channel.  Default - 0. If media does not get established, this field displays 0. Also, if H.239 and BFCP are not supported for this call, this field displays 0. "
out_carrier_id,categorical,cube_cdr,cube routing,,Carrier ID of the trunk group through which the call leaves the gateway or the partnering voice services provider identifier of the outgoing VoIP call.
out_intrfc_desc,categorical,cube_cdr,cube routing,,Description assigned to the voice port of the outgoing call.
out_trunkgroup_label,categorical,cube_cdr,cube routing,,Trunk-group label associated with the group of voice ports from which the outgoing TDM call leaves the gateway.
outgoing_area,categorical,cube_cdr,cube routing,,"Gatekeeper identifier, or the destination zone or area, of the outgoing VoIP call."
outgoing_call_reference_id,categorical,cucm_cdr,network,,(added by the app) this is a guid that can be used in some advanced cases to follow links to downstream voice systems.
OutgoingProtocolCallRef,categorical,cucm_cdr,reference,,Identifies the globally unique call reference identification for the protocol. The value is passed to the next downstream voiced product. The value is alphanumeric and truncated to 32 characters.
OutgoingProtocolID,categorical,cucm_cdr,reference,,"This field identifies the protocol (SIP, H.323, CTI/JTAPI, or Q.931) used between Cisco Unified CM and the downstream voice product in the call path. (0 = Unknown, 1 = SIP, 2 = H323, 3 = CTI/JTAPI, 4 = Q931)"
OutgoingProtocolID_description,categorical,cucm_cdr,network,,"(added by the app) English language version of the protocol (SIP, H.323, CTI/JTAPI, or Q.931) used between Cisco Unified CM and the downstream voice product in the call path."
outpulsedCalledPartyNumber,categorical,cucm_cdr,parties,,The called party number gets outpulsed from the device. This field gets populated only when normalization or localization takes place at the device. Values are alphanumeric strings of up to 50 characters.
outpulsedCallingPartyNumber,categorical,cucm_cdr,parties,,The calling party number gets outpulsed from the device. This field gets populated only when normalization or localization takes place at the device. Values are alphanumeric strings of up to 50 characters. NOTE: YOUR DATA MAY NOT HAVE ANY VALUES FOR THIS FIELD. IF THAT IS THE CASE THESE EXAMPLE REPORTS WILL NOT WORK.
overall_leg_kb,numeric,cucm_cdr,audio video network,,(added by the app) The total kb used for this call leg.  Equals audio_leg_kb plus video_leg_kb.
override_session_time,numeric,cube_cdr,cube time,,Override session time.
paks_in,numeric,cube_cdr,cube network,,Total number of packets received.
paks_out,numeric,cube_cdr,cube network,,Total number of transmitted packets.
peer_address,categorical,cube_cdr,cube routing,,Number that this call was connected to in E.164 format.
peer_id,categorical,cube_cdr,cube routing,,"ID value of the peer table entry to which this call was made. If a peer table entry for this call does not exist, the value of this object is zero."
peer_if_index,categorical,cube_cdr,cube routing,,"ifIndex value of the peer table entry to which this call was made. If a peer table entry for this call does not exist, the value of this object is zero."
peer_sub_address,categorical,cube_cdr,cube routing,,Subaddress configured under a dial peer.
peripheral_call_key,categorical,cucm_cdr,reference,,(added by the app) this is a guid that can be used in some advanced cases to follow links to/from ICM.
peripheral_call_key_hex,categorical,cucm_cdr,reference,,(added by the app) this is a guid that can be used in some advanced cases to follow links to/from ICM.
pkid,categorical,cucm_cdr,reference,,A text string that the database uses internally to uniquely identify each row. Cisco claims that this text string provides no meaning to the call itself.
productName,categorical,cucm_cdr,devices,explicitSPL,(added by the app) This represents the union of both the origProductName and destProductName fields.
protocolCallRef,categorical,cucm_cdr,reference,,"(added by the app) this is the union of the IncomingProtocolCallRef and OutgoingProtocolCallRef fields, with some cleanup occurring to remove emptystring values."
quality,categorical,cucm_cmr,quality,explicitSPL,"(added by the app) This field is calculated for calls that have quality statistics and its values can be good, acceptable, fair or poor. Thresholds can be defined based on the most common UCM quality fields. For more details navigate to 'App Settings > Quality thresholds'."
receive_delay,numeric,cube_cdr,cube quality,,Average playout FIFO delay plus the decoder delay during the voice call.
redirected_station,categorical,cube_cdr,cube redirection routing,,"Redirecting number extracted from the redirect number parameter. Sent in start accounting messages for all call legs. noa=Nature of address, npi=Numbering plan indicato, rpi=Presentation indicator, #=Address of the redirecting number"
remote_media_address,categorical,cube_cdr,cube network,,Remote-media gateway IP address.
remote_media_id,categorical,cube_cdr,cube network,,Remote-media gateway DNS name.
remote_media_udp_port,categorical,cube_cdr,cube network,,Remote-media gateway UDP port.
remote_udp_port,categorical,cube_cdr,cube network,,Remote system UDP listener port to which voice packets are transmitted.
ring_time,numeric,cucm_cdr,core,,"(added by the app) This field infers the number of seconds of ring time on the call leg, regardless of whether it connected or not.  For calls that connect, it will be the number of seconds between the origination and connect timestamps.  For calls that never connect (where connect time is 0 in the CDR),  it is the number of seconds between the origination and disconnect timestamps"
round_trip_delay,numeric,cube_cdr,cube quality,,"Voice-packet round-trip delay, in ms, between local and remote devices on the IP backbone during a call."
RxBw,numeric,cucm_cmr,video quality,,Identifies the actual bandwidth used for the received video stream.
RxBwMax,numeric,cucm_cmr,video quality,,Identifies the maximum negotiated bandwidth for the received video stream.
RxCodec,categorical,cucm_cmr,video quality,,Identifies the type of video codec used for received video stream.
RxFrameRate,numeric,cucm_cmr,video quality,,Identifies the average frame rate measured in frames per second for the received video stream.
RxReso,categorical,cucm_cmr,video quality,,"Identifies the resolution of the received video stream (for example, 640x480)."
SCS,numeric,cucm_cmr,quality,,"Severely Concealed Secs represents the time during which a significant amount of concealment is observed. If the concealment that is observed is usually greater than 50 milliseconds or approximately 5 percent, the speech probably does not seem very audible."
SCS_total,numeric,cucm_cmr,quality,explicitSPL,(added by the app) This is calculated from the SCS values and is just the total SCS across all of the given call's CMR data. When the call has only one CMR then SCS_total and SCS are the same.
SCSR_overall,numeric,cucm_cmr,quality,explicitSPL,"(added by the app) this is the CS Ratio, in other words the seconds of severely concealed speech divided by the total number of seconds. Note that this is calculated by the app and not on the individual CMR records but across all CMR's for the given call, as a single statistic on the call. It is calculated by taking SCS_total and dividing by duration_total."
seconds_until_answered,numeric,cucm_cdr,core,,"(added by the app) Only defined for calls that are answered, this is the number of seconds between origination time and connect time"
seconds_until_disconnected,numeric,cucm_cdr,core,,"(added by the app) An advanced field that can be useful in some unusual cases, this is the number of seconds between origination time and the disconnect time. Note that the duration fields are much more useful, and they are the number of seconds between the *connect* times and the disconnect times."
securityProfile,categorical,cucm_cdr,devices,explicitSPL,(added by the app) This represents the union of both the origSecurityProfile and destSecurityProfile fields.
server_name,categorical,cucm_cdr,core,,"(added by the app) for CUCM cdr this is extracted from the ingested filename, and it is the first segment seen after cdr|cmr.  This is also notably extracted from CUBE CDR and is the first segment in the filename after 'cube'."
service_descriptor,categorical,cube_cdr,cube reference,,Gatekeeper-related.
session_protocol,categorical,cube_cdr,cube network,,Session protocol used for calls between the local and remote router through the IP backbone. Always equal to 'sip' for SIP or 'Cisco' for H.323.
site,categorical,cucm_cdr,location,explicitSPL,(added by the app) This field combines the values of origSite and destSite into one multivalued field.
source,categorical,ALL,core,,A Splunk field indicating the filename of the source data.
