"use_case","L6_sourcetype_category",domain,"lantern_url","lantern_vertical","lantern_vertical_category","percent_of_use_case"
"Finding interactive logins from service accounts","Authentication data",Security,"https://lantern.splunk.com/@go/page/351","Industry Neutral","Threat Hunting",100
"Finding large web uploads","Web Proxy data",Security,"https://lantern.splunk.com/@go/page/366","Industry Neutral","Threat Hunting",100
"First time seen JA3/JA3s hashes","Deep Packet Inspection data",Security,"https://lantern.splunk.com/@go/page/2569","Industry Neutral","Threat Hunting",100
"First time seen stack trace","Application data",Observability,"https://lantern.splunk.com/@go/page/1258","Industry Neutral","Investigation and Troubleshooting",100
"Foundational Visibility: Compliance","Compliance and Governance data",,"http://lantern.splunk.com/@go/cid/uceSFVC",,,100
"Gaining better visibility into Microsoft Exchange","Microsoft : Exchange data",,"https://lantern.splunk.com/@go/page/4488",,,100
"Geographically improbable access detected","AWS : CloudTrail data",Security,"https://lantern.splunk.com/@go/page/551","Industry Neutral",Compliance,50
"Geographically improbable access detected","Authentication data",Security,"https://lantern.splunk.com/@go/page/551","Industry Neutral",Compliance,50
"Getting Kubernetes log data Into Splunk Cloud Platform with OpenTelemetry","Kubernetes data",Observability,"https://lantern.splunk.com/@go/page/7077",,,100
"Getting Started with Splunk Asset and Risk Intelligence","Asset and Risk Intelligence data",,"https://lantern.splunk.com/@go/page/8077",,,100
"Getting started with Microsoft Azure Event Hub data","Microsoft : Azure Event Hub data",Observability,"https://lantern.splunk.com/Data_Descriptors/Microsoft/Getting_started_with_Microsoft_Azure_Event_Hub_data","Industry Neutral",Guides,50
"Getting started with Microsoft Azure Event Hub data","Microsoft : Azure data",Observability,"https://lantern.splunk.com/Data_Descriptors/Microsoft/Getting_started_with_Microsoft_Azure_Event_Hub_data","Industry Neutral",Guides,50
"Getting started with Microsoft Teams call record data and Azure Functions","Microsoft : Cloud Services data",Observability,"https://lantern.splunk.com/@go/page/7168","Industry Neutral",,50
"Getting started with Microsoft Teams call record data and Azure Functions","Video Conferencing and Communication data",Observability,"https://lantern.splunk.com/@go/page/7168","Industry Neutral",,50
"Getting started with Splunk SOAR","Security Orchestration Automation and Response (SOAR) data",Security,"http://lantern.splunk.com/@go/cid/GetStartedSOAR",,,100
"Guided Insights: Risk-based alerting","Asset and Risk Intelligence data",,"http://lantern.splunk.com/@go/cid/uceSPARBA",,,100
"Guided Insights: Threat hunting","Threat Intelligence Platform (TIP) data",,"http://lantern.splunk.com/@go/cid/uceSPATH",,,100
"Guided Insights: Threat intelligence","Threat Intelligence Platform (TIP) data",,"http://lantern.splunk.com/@go/cid/uceSPATI",,,100
"HIPAA access controls","Endpoint data",Platform,"https://lantern.splunk.com/@go/page/2891",Healthcare,Compliance,100
"HIPAA audit controls","Database data",Platform,"https://lantern.splunk.com/@go/page/2893",Healthcare,Compliance,50
"HIPAA audit controls","Endpoint data",Platform,"https://lantern.splunk.com/@go/page/2893",Healthcare,Compliance,50
"HIPAA integrity controls","Database data",Platform,"https://lantern.splunk.com/@go/page/2894",Healthcare,Compliance,50
"HIPAA integrity controls","Endpoint data",Platform,"https://lantern.splunk.com/@go/page/2894",Healthcare,Compliance,50
"HIPAA transmission security","Endpoint data",Platform,"https://lantern.splunk.com/@go/page/2897",Healthcare,Compliance,100
"Health of critical AWS infrastructure from CloudWatch metrics","AWS : CloudWatch data",Observability,"https://lantern.splunk.com/@go/page/2844","Industry Neutral","Infrastructure Monitoring",100
"High CPU utilization alert","System Log data",Observability,"https://lantern.splunk.com/@go/page/1512","Industry Neutral","Investigation and Troubleshooting",100
"High file deletion frequency","System Log data",Security,"https://lantern.splunk.com/@go/page/2860","Industry Neutral","Threat Hunting",100
"High process termination frequency","System Log data",Security,"https://lantern.splunk.com/@go/page/2862","Industry Neutral","Threat Hunting",100
"How Splunk can help: Hunting for threats","Threat Intelligence Platform (TIP) data",,"https://lantern.splunk.com/@go/page/7026",,,100
"How Splunk can help: Implementing advanced threat detection","Threat Intelligence Platform (TIP) data",,"https://lantern.splunk.com/@go/page/7027",,,100
"How Splunk can help: Implementing compliance measures","Compliance and Governance data",,"https://lantern.splunk.com/@go/page/7031",,,100
"IP address attempting a brute force password attack","Web Server data",Security,"https://lantern.splunk.com/@go/page/782","Industry Neutral","Threat Hunting",100
"IP address identification based on host name","System Log data",Security,"https://lantern.splunk.com/@go/page/797","Industry Neutral","Incident Management",100
"IP address sending repeated requests to a web server","Web Server data",Security,"https://lantern.splunk.com/@go/page/783","Industry Neutral","Threat Hunting",100
"Identifying and quantifying your organization's carbon emissions","Application data",Platform,"https://lantern.splunk.com/@go/page/6598",Manufacturing,"Align IT and Business with Service Monitoring",100
"Identifying and removing malicious emails with Splunk SOAR from within Microsoft 365 mailboxes","Microsoft : 365 data",Security,"https://lantern.splunk.com/@go/page/7847","Industry Neutral","Proactive Response",50
"Identifying and removing malicious emails with Splunk SOAR from within Microsoft 365 mailboxes","Security Orchestration Automation and Response (SOAR) data",Security,"https://lantern.splunk.com/@go/page/7847","Industry Neutral","Proactive Response",50
"Identifying and visualizing supply chain issues","Asset and Inventory Management data",Platform,"https://lantern.splunk.com/@go/page/6602",Manufacturing,"Align IT and Business with Service Monitoring",100
"Identifying high-value assets and data sources","Asset and Inventory Management data",,"https://lantern.splunk.com/@go/page/4470",,,50
"Identifying high-value assets and data sources","Asset and Risk Intelligence data",,"https://lantern.splunk.com/@go/page/4470",,,50
"Identifying new Windows local admin accounts","Microsoft : Windows data",Security,"https://lantern.splunk.com/@go/page/350","Industry Neutral",Compliance,100
"Identifying slowly loading web pages","Web Server data",Platform,"https://lantern.splunk.com/@go/page/349",Retail,"Troubleshoot Mission-Critical Apps with Logs",100
"Identifying web users by country","Web Server data",Platform,"https://lantern.splunk.com/@go/page/354",Retail,"Troubleshoot Mission-Critical Apps with Logs",100
"Implementing a reingestion pipeline for AWS logs using Kinesis Data Firehose","AWS : Cloud Services data",,"https://lantern.splunk.com/@go/page/7381",,,100
"Implementing business, data, and security compliance","Compliance and Governance data",Security,"https://lantern.splunk.com/@go/page/7332",,,100
"Implementing risk-based alerting","Asset and Risk Intelligence data",,"https://lantern.splunk.com/@go/page/2938",,,100
"Improving hardware utilization by moving indexers into Kubernetes","Kubernetes data",Observability,"https://lantern.splunk.com/@go/page/8062",,,100
"Incorrectly provisioned virtual machines","Microsoft : Azure data",Observability,"https://lantern.splunk.com/Observability/UCE/Foundational_visibility/IT_Ops/Managing_Azure_cloud_infrastructure/Incorrectly_provisioned_virtual_machines","Industry Neutral","Infrastructure Monitoring",100
"Increases in DNS packet size and volume","Network Resolution (DNS) data",Security,"https://lantern.splunk.com/@go/page/730","Industry Neutral","Threat Hunting",100
"Integrating Kubernetes and Splunk Observability Cloud","Kubernetes data",Observability,"https://lantern.splunk.com/@go/page/8073",,,100
"Inventory of Azure managed disks","Microsoft : Azure Virtual Machine data",Observability,"https://lantern.splunk.com/@go/page/669","Industry Neutral","Infrastructure Monitoring","33.333333333333336"
"Inventory of Azure managed disks","Microsoft : Azure data",Observability,"https://lantern.splunk.com/@go/page/669","Industry Neutral","Infrastructure Monitoring","33.333333333333336"
"Inventory of Azure managed disks","Microsoft : Cloud Services data",Observability,"https://lantern.splunk.com/@go/page/669","Industry Neutral","Infrastructure Monitoring","33.333333333333336"
"Inventory of Azure virtual machines","Microsoft : Azure Virtual Machine data",Observability,"https://lantern.splunk.com/@go/page/668","Industry Neutral","Infrastructure Monitoring","33.333333333333336"
"Inventory of Azure virtual machines","Microsoft : Azure data",Observability,"https://lantern.splunk.com/@go/page/668","Industry Neutral","Infrastructure Monitoring","33.333333333333336"
"Inventory of Azure virtual machines","Microsoft : Cloud Services data",Observability,"https://lantern.splunk.com/@go/page/668","Industry Neutral","Infrastructure Monitoring","33.333333333333336"
"Inventory of Azure virtual networks","Microsoft : Azure Virtual Machine data",Observability,"https://lantern.splunk.com/@go/page/670","Industry Neutral","Infrastructure Monitoring","33.333333333333336"
"Inventory of Azure virtual networks","Microsoft : Azure data",Observability,"https://lantern.splunk.com/@go/page/670","Industry Neutral","Infrastructure Monitoring","33.333333333333336"
"Inventory of Azure virtual networks","Microsoft : Cloud Services data",Observability,"https://lantern.splunk.com/@go/page/670","Industry Neutral","Infrastructure Monitoring","33.333333333333336"
"Inventory of devices reporting network data","System Log data",Observability,"https://lantern.splunk.com/@go/page/1515","Industry Neutral","Investigation and Troubleshooting",100
"Inventory of unattached Azure managed disks","Microsoft : Azure data",Observability,"https://lantern.splunk.com/@go/page/671","Industry Neutral","Infrastructure Monitoring",50
"Inventory of unattached Azure managed disks","Microsoft : Cloud Services data",Observability,"https://lantern.splunk.com/@go/page/671","Industry Neutral","Infrastructure Monitoring",50
"Investigating Gsuite phishing attacks","Google : Workspace data",Security,"https://lantern.splunk.com/Security/UCE/Guided_Insights/Threat_hunting/Investigating_Gsuite_phishing_attacks","Industry Neutral","Threat Hunting",100
"Investigating a ransomware attack","Antivirus and Antimalware (AV) data",Security,"https://lantern.splunk.com/@go/page/725","Industry Neutral","Incident Management","33.333333333333336"
"Investigating a ransomware attack","Deep Packet Inspection data",Security,"https://lantern.splunk.com/@go/page/725","Industry Neutral","Incident Management","33.333333333333336"
"Investigating a ransomware attack","System Log data",Security,"https://lantern.splunk.com/@go/page/725","Industry Neutral","Incident Management","33.333333333333336"
"Investigating interesting behavior patterns with risk-based alerting","Asset and Risk Intelligence data",,"https://lantern.splunk.com/@go/page/4633",,,100
"Investigating unusual file system queries","System Log data",Security,"https://lantern.splunk.com/@go/page/1697","Industry Neutral","Incident Management",50
"Investigating unusual file system queries","Web Server data",Security,"https://lantern.splunk.com/@go/page/1697","Industry Neutral","Incident Management",50
"Investigating user login issues and account lockouts","Microsoft : Windows data",Observability,"https://lantern.splunk.com/@go/page/4155","Industry Neutral","Investigation and Troubleshooting",100
"JA3/JA3s hash overview","Deep Packet Inspection data",Security,"https://lantern.splunk.com/@go/page/2570","Industry Neutral","Threat Hunting",100
"Large wire transfer immediately after account activation","Application data",Platform,"https://lantern.splunk.com/@go/page/1598","Financial Services and Insurance","Align IT and Business with Service Monitoring",100
"Law enforcement active investigations","Email data",Platform,"https://lantern.splunk.com/@go/page/4479","Public Sector","Align IT and Business with Service Monitoring",100
"List of Azure resource changes","Microsoft : Azure data",Observability,"https://lantern.splunk.com/@go/page/4367","Industry Neutral","Infrastructure Monitoring",50
"List of Azure resource changes","Microsoft : Cloud Services data",Observability,"https://lantern.splunk.com/@go/page/4367","Industry Neutral","Infrastructure Monitoring",50
"List of Azure resource network interface cards","Microsoft : Azure data",Observability,"https://lantern.splunk.com/@go/page/672","Industry Neutral","Infrastructure Monitoring",50
"List of Azure resource network interface cards","Microsoft : Cloud Services data",Observability,"https://lantern.splunk.com/@go/page/672","Industry Neutral","Infrastructure Monitoring",50
"List of Azure resource public IP addresses","Microsoft : Azure data",Observability,"https://lantern.splunk.com/@go/page/673","Industry Neutral","Infrastructure Monitoring",50
"List of Azure resource public IP addresses","Microsoft : Cloud Services data",Observability,"https://lantern.splunk.com/@go/page/673","Industry Neutral","Infrastructure Monitoring",50
"List of Azure resource unused public IP addresses","Microsoft : Azure data",Observability,"https://lantern.splunk.com/@go/page/4366","Industry Neutral","Infrastructure Monitoring",50
"List of Azure resource unused public IP addresses","Microsoft : Cloud Services data",Observability,"https://lantern.splunk.com/@go/page/4366","Industry Neutral","Infrastructure Monitoring",50
"Location of remote workers","Authentication data",Security,"https://lantern.splunk.com/@go/page/2495","Industry Neutral","Security Monitoring",100
"Logging output from AWS Cloudwatch","AWS : CloudWatch data",Observability,"https://lantern.splunk.com/@go/page/2828","Industry Neutral","Infrastructure Monitoring",100
"Logging output from AWS Lambda functions","AWS : CloudWatch data",Observability,"https://lantern.splunk.com/@go/page/2851","Industry Neutral","Infrastructure Monitoring",100
"Logging output from any Azure Event Hub logs","Microsoft : Azure Event Hub data",Observability,"https://lantern.splunk.com/@go/page/4355","Industry Neutral","Infrastructure Monitoring","33.333333333333336"
"Logging output from any Azure Event Hub logs","Microsoft : Azure data",Observability,"https://lantern.splunk.com/@go/page/4355","Industry Neutral","Infrastructure Monitoring","33.333333333333336"
"Logging output from any Azure Event Hub logs","Microsoft : Cloud Services data",Observability,"https://lantern.splunk.com/@go/page/4355","Industry Neutral","Infrastructure Monitoring","33.333333333333336"
"Long-term trends in web server user load","Web Server data",Platform,"https://lantern.splunk.com/@go/page/701","Technology, Communications, and Media","Troubleshoot Mission-Critical Apps with Logs",100
"Long-term website performance trends","Web Server data",Platform,"https://lantern.splunk.com/@go/page/702","Technology, Communications, and Media","Troubleshoot Mission-Critical Apps with Logs",100
"Lookup table creation for scalable anomaly detection with JA3/JA3s hashes","Deep Packet Inspection data",Security,"https://lantern.splunk.com/@go/page/2578","Industry Neutral","Threat Hunting",100
"MD5 hash of an uploaded file","Microsoft : Windows data",Security,"https://lantern.splunk.com/@go/page/787","Industry Neutral","Threat Hunting",100
"Machine leasing an IP address at a particular time","Network Sessions (DHCP) data",Security,"https://lantern.splunk.com/@go/page/575","Industry Neutral",Compliance,100
"Maintaining *nix systems with the Splunk platform","System Log data",Observability,"https://lantern.splunk.com/@go/page/630","Industry Neutral","Infrastructure Monitoring",100
"Managing *nix system user account behavior","System Log data",Observability,"https://lantern.splunk.com/@go/page/631","Industry Neutral","Infrastructure Monitoring",100
"Managing Azure cloud infrastructure","Microsoft : Azure Event Hub data",Observability,"https://lantern.splunk.com/@go/page/627","Industry Neutral","Infrastructure Monitoring","33.333333333333336"
"Managing Azure cloud infrastructure","Microsoft : Azure data",Observability,"https://lantern.splunk.com/@go/page/627","Industry Neutral","Infrastructure Monitoring","33.333333333333336"
"Managing Azure cloud infrastructure","Microsoft : Cloud Services data",Observability,"https://lantern.splunk.com/@go/page/627","Industry Neutral","Infrastructure Monitoring","33.333333333333336"
"Managing Cisco IOS devices","Network Switch data",Observability,"https://lantern.splunk.com/@go/page/626","Industry Neutral","Infrastructure Monitoring",100
"Managing Dell Isilon network attached storage","Storage data",Observability,"https://lantern.splunk.com/@go/page/632","Industry Neutral","Infrastructure Monitoring",100
"Managing O365 workloads","Microsoft : 365 data",Observability,"https://lantern.splunk.com/@go/page/1173","Industry Neutral","Infrastructure Monitoring",100
"Managing an Amazon Web Services environment","AWS : CloudTrail data",Observability,"https://lantern.splunk.com/@go/page/625","Industry Neutral","Infrastructure Monitoring",50
"Managing an Amazon Web Services environment","AWS : CloudWatch data",Observability,"https://lantern.splunk.com/@go/page/625","Industry Neutral","Infrastructure Monitoring",50
"Managing cases in SOAR","Security Orchestration Automation and Response (SOAR) data",Security,"https://lantern.splunk.com/@go/page/4180",,,100
"Managing firewall rules","Network Firewall data",Security,"https://lantern.splunk.com/@go/page/736","Industry Neutral","Security Monitoring",100
"Managing prepaid mobile services","Vendor-Specific data",Platform,"https://lantern.splunk.com/@go/page/6343","Technology, Communications, and Media","Align IT and Business with Service Monitoring",100
"Managing printers in a Windows environment","Microsoft : Windows data",Observability,"https://lantern.splunk.com/@go/page/635","Industry Neutral","Infrastructure Monitoring",100
"Managing web server performance","Load Balancer data",Platform,"https://lantern.splunk.com/@go/page/634","Technology, Communications, and Media","Troubleshoot Mission-Critical Apps with Logs",50
"Managing web server performance","Web Server data",Platform,"https://lantern.splunk.com/@go/page/634","Technology, Communications, and Media","Troubleshoot Mission-Critical Apps with Logs",50
"Masking IP addresses from a specific range","Web Server data",Security,"https://lantern.splunk.com/@go/page/6697","Industry Neutral","Security Monitoring",100
"Measuring memory utilization by host","Microsoft : Windows data",Observability,"https://lantern.splunk.com/@go/page/371","Industry Neutral","Infrastructure Monitoring",50
"Measuring memory utilization by host","System Log data",Observability,"https://lantern.splunk.com/@go/page/371","Industry Neutral","Infrastructure Monitoring",50
"Measuring storage I/O latency","Storage data",Observability,"https://lantern.splunk.com/@go/page/373","Industry Neutral","Infrastructure Monitoring",100
"Measuring storage speed I/O utilization by host","Microsoft : Windows data",Observability,"https://lantern.splunk.com/@go/page/372","Industry Neutral","Infrastructure Monitoring",50
"Measuring storage speed I/O utilization by host","Storage data",Observability,"https://lantern.splunk.com/@go/page/372","Industry Neutral","Infrastructure Monitoring",50
"Microsoft recommended application log events","Microsoft : Windows data",Observability,"https://lantern.splunk.com/@go/page/710","Industry Neutral","Infrastructure Monitoring",100
"Migrating AWS inputs to Data Manager","AWS : Cloud Services data",,"https://lantern.splunk.com/@go/page/4516",,,100
"Migrating from Tenable LCE to Splunk Enterprise Security","File Integrity Monitoring (FIM) data",Security,"https://lantern.splunk.com/@go/page/7414",,,100
"Monitoring ATM usage","Application data",Platform,"https://lantern.splunk.com/@go/page/2684","Financial Services and Insurance","Align IT and Business with Service Monitoring",50
"Monitoring ATM usage","Business Service data",Platform,"https://lantern.splunk.com/@go/page/2684","Financial Services and Insurance","Align IT and Business with Service Monitoring",50
"Monitoring AWS Lambda infrastructure","AWS : CloudWatch data",Observability,"https://lantern.splunk.com/@go/page/1192",,,100
"Monitoring AWS Relational Database Services","Database data",Observability,"https://lantern.splunk.com/@go/page/3055",,,100
"Monitoring AWS S3 for suspicious activities","AWS : CloudTrail data",Security,"https://lantern.splunk.com/@go/page/2683",,,50
"Monitoring AWS S3 for suspicious activities","AWS : CloudWatch data",Security,"https://lantern.splunk.com/@go/page/2683",,,50
"Monitoring DNS queries","Microsoft : Windows data",Security,"https://lantern.splunk.com/@go/page/2429","Industry Neutral","Threat Hunting",100
"Monitoring Kubernetes pods","Kubernetes data",Observability,"https://lantern.splunk.com/@go/page/2152",,,100
"Monitoring NIST SP 800-53 rev5 control families","Antivirus and Antimalware (AV) data",Security,"https://lantern.splunk.com/@go/page/2918","Industry Neutral",Compliance,"12.5"
"Monitoring NIST SP 800-53 rev5 control families","Asset and Inventory Management data",Security,"https://lantern.splunk.com/@go/page/2918","Industry Neutral",Compliance,"12.5"
"Monitoring NIST SP 800-53 rev5 control families","Authentication data",Security,"https://lantern.splunk.com/@go/page/2918","Industry Neutral",Compliance,"12.5"
"Monitoring NIST SP 800-53 rev5 control families","Intrusion Detection and Prevention (IDP) data",Security,"https://lantern.splunk.com/@go/page/2918","Industry Neutral",Compliance,"12.5"
"Monitoring NIST SP 800-53 rev5 control families","Performance Monitoring data",Security,"https://lantern.splunk.com/@go/page/2918","Industry Neutral",Compliance,"12.5"
"Monitoring NIST SP 800-53 rev5 control families","Vulnerability Detection data",Security,"https://lantern.splunk.com/@go/page/2918","Industry Neutral",Compliance,"12.5"
"Monitoring NIST SP 800-53 rev5 control families","Vulnerability Scanning data",Security,"https://lantern.splunk.com/@go/page/2918","Industry Neutral",Compliance,"12.5"
"Monitoring NIST SP 800-53 rev5 control families","Web Server data",Security,"https://lantern.splunk.com/@go/page/2918","Industry Neutral",Compliance,"12.5"
"Monitoring Snowflake database usage","Database data",Platform,"https://lantern.splunk.com/@go/page/4528",,,100
"Monitoring VMware components with Infrastructure Monitoring","VMware data",Observability,"https://lantern.splunk.com/@go/page/7587",,,100
"Monitoring VMware virtualization infrastructure","VMware data",Observability,"https://lantern.splunk.com/@go/page/628","Industry Neutral","Infrastructure Monitoring",50
"Monitoring VMware virtualization infrastructure","Virtualization data",Observability,"https://lantern.splunk.com/@go/page/628","Industry Neutral","Infrastructure Monitoring",50
"Monitoring Windows account access","Microsoft : Windows data",Security,"https://lantern.splunk.com/@go/page/637","Industry Neutral","Threat Hunting",50
"Monitoring Windows account access","System Log data",Security,"https://lantern.splunk.com/@go/page/637","Industry Neutral","Threat Hunting",50
"Monitoring a network for DNS exfiltration","Network Resolution (DNS) data",Security,"http://lantern.splunk.com/@go/cid/AdoptionBoardDNS","Industry Neutral","Threat Hunting",100
"Monitoring and troubleshooting device temperature","System Log data",Platform,"https://lantern.splunk.com/@go/page/6491",Manufacturing,"Align IT and Business with Service Monitoring",100
"Monitoring command line interface actions","Endpoint data",Security,"https://lantern.splunk.com/@go/page/518",,,"33.333333333333336"
"Monitoring command line interface actions","Microsoft : Windows data",Security,"https://lantern.splunk.com/@go/page/518",,,"33.333333333333336"
"Monitoring command line interface actions","System Log data",Security,"https://lantern.splunk.com/@go/page/518",,,"33.333333333333336"
"Monitoring consumer bank accounts to maintain compliance","Application data",Security,"https://lantern.splunk.com/@go/page/2282","Financial Services and Insurance",Compliance,50
"Monitoring consumer bank accounts to maintain compliance","Compliance and Governance data",Security,"https://lantern.splunk.com/@go/page/2282","Financial Services and Insurance",Compliance,50
"Monitoring consumer credit card transactions","Application data",Platform,"https://lantern.splunk.com/@go/page/2722","Financial Services and Insurance","Align IT and Business with Service Monitoring",100
"Monitoring for indicators of ransomware attacks","Antivirus and Antimalware (AV) data",Security,"https://lantern.splunk.com/@go/page/2382",,,"33.333333333333336"
"Monitoring for indicators of ransomware attacks","Microsoft : Windows data",Security,"https://lantern.splunk.com/@go/page/2382",,,"33.333333333333336"
"Monitoring for indicators of ransomware attacks","Web Proxy data",Security,"https://lantern.splunk.com/@go/page/2382",,,"33.333333333333336"
"Monitoring for network traffic volume outliers","Network Firewall data",Security,"https://lantern.splunk.com/@go/page/532","Industry Neutral","Security Monitoring",100
"Monitoring for signs of Windows privilege escalation attack","Authentication data",Security,"https://lantern.splunk.com/Security/UCE/Guided_Insights/Threat_hunting/monitoring_for_signs_of_a_windows_privilege_escalation_attack",,,"33.333333333333336"
"Monitoring for signs of Windows privilege escalation attack","Binary Repositories data",Security,"https://lantern.splunk.com/Security/UCE/Guided_Insights/Threat_hunting/monitoring_for_signs_of_a_windows_privilege_escalation_attack",,,"33.333333333333336"
"Monitoring for signs of Windows privilege escalation attack","Endpoint data",Security,"https://lantern.splunk.com/Security/UCE/Guided_Insights/Threat_hunting/monitoring_for_signs_of_a_windows_privilege_escalation_attack",,,"33.333333333333336"
"Monitoring for signs of a Windows privilege escalation attack","Authentication data",Security,"https://lantern.splunk.com/Security/UCE/Guided_Insights/Threat_hunting/monitoring_for_signs_of_a_windows_privilege_escalation_attack",,,"33.333333333333336"
"Monitoring for signs of a Windows privilege escalation attack","Binary Repositories data",Security,"https://lantern.splunk.com/Security/UCE/Guided_Insights/Threat_hunting/monitoring_for_signs_of_a_windows_privilege_escalation_attack",,,"33.333333333333336"
"Monitoring for signs of a Windows privilege escalation attack","Endpoint data",Security,"https://lantern.splunk.com/Security/UCE/Guided_Insights/Threat_hunting/monitoring_for_signs_of_a_windows_privilege_escalation_attack",,,"33.333333333333336"
"Monitoring full DNS transaction data","Network Resolution (DNS) data",Security,"https://lantern.splunk.com/@go/page/7968",,,100
"Monitoring log volume trends","Application data",Observability,"https://lantern.splunk.com/@go/page/374","Industry Neutral","Infrastructure Monitoring",100
"Monitoring major Cloud Service Providers (CSPs)","Cloud Services data",Security,"https://lantern.splunk.com/@go/page/7157","Industry Neutral","Security Monitoring",100
"Monitoring medical record numbers for anomalous access","Authentication data",Platform,"https://lantern.splunk.com/@go/page/3787",Healthcare,"Align IT and Business with Service Monitoring",100
"Monitoring mobile device payments","Vendor-Specific data",Platform,"https://lantern.splunk.com/@go/page/2789","Financial Services and Insurance","Align IT and Business with Service Monitoring",100
"Monitoring new logins to financial applications","Application data",Platform,"https://lantern.splunk.com/@go/page/2773","Financial Services and Insurance","Align IT and Business with Service Monitoring",100
"Monitoring payment responses","Application data",Platform,"https://lantern.splunk.com/@go/page/2334","Financial Services and Insurance","Align IT and Business with Service Monitoring",100
"Monitoring remote access to Operational Technology environments","Microsoft : Windows Security Logs data",Observability,"https://lantern.splunk.com/@go/page/7977",,,50
"Monitoring remote access to Operational Technology environments","Microsoft : Windows data",Observability,"https://lantern.splunk.com/@go/page/7977",,,50
"Monitoring removable media devices in Operational Technology environments","Microsoft : Windows Security Logs data",Security,"https://lantern.splunk.com/@go/page/7973",,,50
"Monitoring removable media devices in Operational Technology environments","Microsoft : Windows data",Security,"https://lantern.splunk.com/@go/page/7973",,,50
"Monitoring the availability of online storefronts","Email data",Platform,"https://lantern.splunk.com/@go/page/4323",,,50
"Monitoring the availability of online storefronts","Network Resolution (DNS) data",Platform,"https://lantern.splunk.com/@go/page/4323",,,50
"Monitoring usage of wireless access points","Network Communication data",Platform,"https://lantern.splunk.com/@go/page/6347","Technology, Communications, and Media","Align IT and Business with Service Monitoring",100
"Monitoring use of Git repositories","Binary Repositories data",Security,"https://lantern.splunk.com/@go/page/534",,,100
"Monitoring user activity spikes in AWS","AWS : CloudTrail data",Security,"https://lantern.splunk.com/@go/page/2677","Industry Neutral","Behavior Analysis","33.333333333333336"
"Monitoring user activity spikes in AWS","AWS : CloudWatch data",Security,"https://lantern.splunk.com/@go/page/2677","Industry Neutral","Behavior Analysis","33.333333333333336"
"Monitoring user activity spikes in AWS","User Activity Logs data",Security,"https://lantern.splunk.com/@go/page/2677","Industry Neutral","Behavior Analysis","33.333333333333336"
"Monitoring web application performance","Application Performance Management (APM) data",Observability,"https://lantern.splunk.com/@go/page/1255","Industry Neutral","Application Monitoring","33.333333333333336"
"Monitoring web application performance","Application data",Observability,"https://lantern.splunk.com/@go/page/1255","Industry Neutral","Application Monitoring","33.333333333333336"
"Monitoring web application performance","Web Server data",Observability,"https://lantern.splunk.com/@go/page/1255","Industry Neutral","Application Monitoring","33.333333333333336"
"Monitoring wire transfers","Application data",Platform,"https://lantern.splunk.com/@go/page/2700","Financial Services and Insurance","Align IT and Business with Service Monitoring",100
"Most common operating system and browser combination","Web Server data",Platform,"https://lantern.splunk.com/@go/page/2188","Technology, Communications, and Media","Troubleshoot Mission-Critical Apps with Logs",100
"Most commonly accessed business applications","Authentication data",Security,"https://lantern.splunk.com/@go/page/2494","Industry Neutral","Security Monitoring",100
"Most frequent ATM users","Application data",Platform,"https://lantern.splunk.com/@go/page/1525","Financial Services and Insurance","Align IT and Business with Service Monitoring",50
"Most frequent ATM users","Business Service data",Platform,"https://lantern.splunk.com/@go/page/1525","Financial Services and Insurance","Align IT and Business with Service Monitoring",50
"Most used assets of a web application","Application data",Observability,"https://lantern.splunk.com/@go/page/1510","Industry Neutral","Application Monitoring",50
"Most used assets of a web application","Web Server data",Observability,"https://lantern.splunk.com/@go/page/1510","Industry Neutral","Application Monitoring",50
"Multichannel fraud detection","Application data",Security,"https://lantern.splunk.com/Security/UCE/Guided_Insights/Anomaly_detection/Detecting_consumer_bank_account_takeovers/Multichannel_fraud_detection",,,100
"Multiple account login denials followed by authorization","Authentication data",Platform,"https://lantern.splunk.com/@go/page/1599","Financial Services and Insurance","Align IT and Business with Service Monitoring",100
"NIST SP 800-53 access control","Authentication data",Security,"https://lantern.splunk.com/@go/page/2926","Industry Neutral",Compliance,100
"NIST SP 800-53 audit and accountability","Performance Monitoring data",Security,"https://lantern.splunk.com/@go/page/2921","Industry Neutral",Compliance,100
"NIST SP 800-53 configuration management","Asset and Inventory Management data",Security,"https://lantern.splunk.com/@go/page/2922","Industry Neutral",Compliance,100
"NIST SP 800-53 identification and authentication","Antivirus and Antimalware (AV) data",Security,"https://lantern.splunk.com/@go/page/2919","Industry Neutral",Compliance,50
"NIST SP 800-53 identification and authentication","Intrusion Detection and Prevention (IDP) data",Security,"https://lantern.splunk.com/@go/page/2919","Industry Neutral",Compliance,50
"NIST SP 800-53 incident response","Antivirus and Antimalware (AV) data",Security,"https://lantern.splunk.com/@go/page/2923","Industry Neutral",Compliance,50
"NIST SP 800-53 incident response","Intrusion Detection and Prevention (IDP) data",Security,"https://lantern.splunk.com/@go/page/2923","Industry Neutral",Compliance,50
"NIST SP 800-53 risk assessment","Vulnerability Detection data",Security,"https://lantern.splunk.com/@go/page/2924","Industry Neutral",Compliance,50
"NIST SP 800-53 risk assessment","Vulnerability Scanning data",Security,"https://lantern.splunk.com/@go/page/2924","Industry Neutral",Compliance,50
