"L6_sourcetype_category","lantern_uce","lantern_url","lantern_vertical","lantern_vertical_category","use_case"
"Deep packet inspection data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Security/Threat_Hunting/Detecting_software_supply_chain_attacks/First_time_seen_JA3%2F%2FJA3s_hashes",Security,"Threat Hunting","First time seen JA3/JA3s hashes"
"Application server data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/IT_Modernization/Investigation_and_Troubleshooting/Using_stack_traces_to_detect_application_errors/First_time_seen_stack_trace","IT Modernization","Investigation and Troubleshooting","First time seen stack trace"
"Telephony data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Technology%2C_Communications%2C_and_Media/Monitoring_key_telecommunications_service_metrics/General_call_disposition","Technology, Communications, and Media","Use cases for technology, communications and media","General call disposition"
Amazon,"Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/IT_Modernization/Infrastructure_Monitoring/Managing_an_Amazon_Web_Services_environment/Geographic_access_to_AWS_S3_Buckets","IT Modernization","Infrastructure Monitoring","Geographic access to AWS S3 Buckets"
"Authentication data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Security/Compliance/Running_common_General_Data_Protection_Regulation_(GDPR)_compliance_searches/Geographically_improbable_access_detected",Security,Compliance,"Geographically improbable access detected"
"Endpoint data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Healthcare/Complying_with_the_HIPAA_Security_Rule_for_ePHI/HIPAA_access_controls",Healthcare,"Use cases for healthcare","HIPAA access controls"
"Medical device data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Healthcare/Complying_with_the_HIPAA_Security_Rule_for_ePHI/HIPAA_access_controls",Healthcare,"Use cases for healthcare","HIPAA access controls"
"Endpoint data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Healthcare/Complying_with_the_HIPAA_Security_Rule_for_ePHI/HIPAA_audit_controls",Healthcare,"Use cases for healthcare","HIPAA audit controls"
"Medical device data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Healthcare/Complying_with_the_HIPAA_Security_Rule_for_ePHI/HIPAA_audit_controls",Healthcare,"Use cases for healthcare","HIPAA audit controls"
"Authentication data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Healthcare/Complying_with_the_HIPAA_Security_Rule_for_ePHI/HIPAA_authentication_controls",Healthcare,"Use cases for healthcare","HIPAA authentication controls"
"Medical device data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Healthcare/Complying_with_the_HIPAA_Security_Rule_for_ePHI/HIPAA_authentication_controls",Healthcare,"Use cases for healthcare","HIPAA authentication controls"
"Endpoint data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Healthcare/Complying_with_the_HIPAA_Security_Rule_for_ePHI/HIPAA_integrity_controls",Healthcare,"Use cases for healthcare","HIPAA integrity controls"
"Medical device data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Healthcare/Complying_with_the_HIPAA_Security_Rule_for_ePHI/HIPAA_integrity_controls",Healthcare,"Use cases for healthcare","HIPAA integrity controls"
"Endpoint data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Healthcare/Complying_with_the_HIPAA_Security_Rule_for_ePHI/HIPAA_transmission_security",Healthcare,"Use cases for healthcare","HIPAA transmission security"
"Medical device data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Healthcare/Complying_with_the_HIPAA_Security_Rule_for_ePHI/HIPAA_transmission_security",Healthcare,"Use cases for healthcare","HIPAA transmission security"
Amazon,"Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/IT_Modernization/Infrastructure_Monitoring/Managing_an_Amazon_Web_Services_environment/Health_of_AWS_elastic_load_balancers","IT Modernization","Infrastructure Monitoring","Health of AWS elastic load balancers"
Amazon,"Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/IT_Modernization/Infrastructure_Monitoring/Managing_an_Amazon_Web_Services_environment/Health_of_critical_AWS_infrastructure_from_CloudWatch_metrics","IT Modernization","Infrastructure Monitoring","Health of critical AWS infrastructure from CloudWatch metrics"
"System log data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/IT_Modernization/Investigation_and_Troubleshooting/Recovering_lost_visibility_of_IT_infrastructure/High_CPU_utilization_alert","IT Modernization","Investigation and Troubleshooting","High CPU utilization alert"
"System log data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Security/Threat_Hunting/Detecting_a_ransomware_attack/High_file_deletion_frequency",Security,"Threat Hunting","High file deletion frequency"
"System log data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Security/Threat_Hunting/Detecting_a_ransomware_attack/High_process_termination_frequency",Security,"Threat Hunting","High process termination frequency"
"*","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Security/Incident_Management/Creating_a_timebound_picture_of_network_activity/Hosts_logging_data_in_a_certain_timeframe",Security,"Incident Management","Hosts logging data in a certain timeframe"
"*","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Security/Incident_Management/Creating_a_timebound_picture_of_network_activity/Hosts_logging_more_or_less_data_than_expected",Security,"Incident Management","Hosts logging more or less data than expected"
"Web server data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Security/Threat_Hunting/Reconstructing_a_website_defacement/IP_address_attempting_a_brute_force_password_attack",Security,"Threat Hunting","IP address attempting a brute force password attack"
"System log data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Security/Incident_Management/Investigating_a_ransomware_attack/IP_address_identification_based_on_host_name",Security,"Incident Management","IP address identification based on host name"
"Web server data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Security/Threat_Hunting/Reconstructing_a_website_defacement/IP_address_sending_repeated_requests_to_a_web_server",Security,"Threat Hunting","IP address sending repeated requests to a web server"
"Business service data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Manufacturing/Identifying_and_quantifying_your_organization's_carbon_emissions",Manufacturing,"Use cases for manufacturing","Identifying and quantifying your organization's carbon emissions"
"Business service data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Manufacturing/Identifying_and_visualizing_supply_chain_issues",Manufacturing,"Use cases for manufacturing","Identifying and visualizing supply chain issues"
Microsoft,"Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Security/Compliance/Identifying_new_Windows_local_admin_accounts",Security,Compliance,"Identifying new Windows local admin accounts"
"Web server data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Retail/Identifying_slowly_loading_web_pages",Retail,"Use cases for retail","Identifying slowly loading web pages"
"Firewall data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Retail/Identifying_web_users_by_country",Retail,"Use cases for retail","Identifying web users by country"
"Web server data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Retail/Identifying_web_users_by_country",Retail,"Use cases for retail","Identifying web users by country"
"DNS data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Security/Threat_Hunting/Monitoring_a_network_for_DNS_exfiltration/Increases_in_DNS_packet_size_and_volume",Security,"Threat Hunting","Increases in DNS packet size and volume"
"Business service data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Public_Sector/Ingesting_non-standard_data_for_law_enforcement_search_warrant_returns","Public Sector","Use cases for the public sector","Ingesting non-standard data for law enforcement search warrant returns"
"Microsoft Azure data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/IT_Modernization/Infrastructure_Monitoring/Managing_Azure_cloud_infrastructure/Inventory_of_Azure_managed_disks","IT Modernization","Infrastructure Monitoring","Inventory of Azure managed disks"
"Microsoft Azure data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/IT_Modernization/Infrastructure_Monitoring/Managing_Azure_cloud_infrastructure/Inventory_of_Azure_virtual_machines","IT Modernization","Infrastructure Monitoring","Inventory of Azure virtual machines"
"Microsoft Azure data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/IT_Modernization/Infrastructure_Monitoring/Managing_Azure_cloud_infrastructure/Inventory_of_Azure_virtual_networks","IT Modernization","Infrastructure Monitoring","Inventory of Azure virtual networks"
"System log data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/IT_Modernization/Investigation_and_Troubleshooting/Recovering_lost_visibility_of_IT_infrastructure/Inventory_of_devices_reporting_network_data","IT Modernization","Investigation and Troubleshooting","Inventory of devices reporting network data"
"Microsoft Azure data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/IT_Modernization/Infrastructure_Monitoring/Managing_Azure_cloud_infrastructure/Inventory_of_unattached_Azure_managed_disks","IT Modernization","Infrastructure Monitoring","Inventory of unattached Azure managed disks"
"Google Workspace","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Security/Threat_Hunting/Investigating_Gsuite_phishing_attacks",Security,"Threat Hunting","Investigating Gsuite phishing attacks"
"Deep packet inspection data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Security/Incident_Management/Investigating_a_ransomware_attack",Security,"Incident Management","Investigating a ransomware attack"
"Endpoint data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Security/Incident_Management/Investigating_a_ransomware_attack",Security,"Incident Management","Investigating a ransomware attack"
"System log data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Security/Incident_Management/Investigating_a_ransomware_attack",Security,"Incident Management","Investigating a ransomware attack"
"Server log data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Security/Incident_Management/Investigating_unusual_file_system_queries",Security,"Incident Management","Investigating unusual file system queries"
Microsoft,"Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/IT_Modernization/Investigation_and_Troubleshooting/Investigating_user_login_issues_and_account_lockouts","IT Modernization","Investigation and Troubleshooting","Investigating user login issues and account lockouts"
"Deep packet inspection data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Security/Threat_Hunting/Detecting_software_supply_chain_attacks/JA3%2F%2FJA3s_hash_overview",Security,"Threat Hunting","JA3/JA3s hash overview"
"Business service data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Security/Compliance/Knowing_your_financial_services_customer",Security,Compliance,"Knowing your financial services customer"
"Business service data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Financial_Services_and_Insurance/Detecting_wire_transfer_fraud/Large_wire_transfer_immediately_after_account_activation","Financial Services","Use cases for financial services","Large wire transfer immediately after account activation"
"Business service data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Public_Sector/Building_a_data-driven_law_enforcement_strategy/Law_enforcement_accident_reconstruction","Public Sector","Use cases for the public sector","Law enforcement accident reconstruction"
"Business service data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Public_Sector/Building_a_data-driven_law_enforcement_strategy/Law_enforcement_active_investigations","Public Sector","Use cases for the public sector","Law enforcement active investigations"
"Business service data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Public_Sector/Building_a_data-driven_law_enforcement_strategy/Law_enforcement_field_operations","Public Sector","Use cases for the public sector","Law enforcement field operations"
"Business service data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Public_Sector/Building_a_data-driven_law_enforcement_strategy/Law_enforcement_proactive_policing","Public Sector","Use cases for the public sector","Law enforcement proactive policing"
"Business service data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Public_Sector/Leveraging_crime_statistics_to_improve_public_safety","Public Sector","Use cases for the public sector","Leveraging crime statistics to improve public safety"
"Microsoft Azure data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/IT_Modernization/Infrastructure_Monitoring/Managing_Azure_cloud_infrastructure/List_of_Azure_resource_changes","IT Modernization","Infrastructure Monitoring","List of Azure resource changes"
"Microsoft Azure data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/IT_Modernization/Infrastructure_Monitoring/Managing_Azure_cloud_infrastructure/List_of_Azure_resource_network_interface_cards","IT Modernization","Infrastructure Monitoring","List of Azure resource network interface cards"
"Microsoft Azure data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/IT_Modernization/Infrastructure_Monitoring/Managing_Azure_cloud_infrastructure/List_of_Azure_resource_public_IP_addresses","IT Modernization","Infrastructure Monitoring","List of Azure resource public IP addresses"
"Microsoft Azure data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/IT_Modernization/Infrastructure_Monitoring/Managing_Azure_cloud_infrastructure/List_of_Azure_resource_unused_public_IP_addresses","IT Modernization","Infrastructure Monitoring","List of Azure resource unused public IP addresses"
"Authentication data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Security/Security_Monitoring/Securing_a_work-from-home_organization/Location_of_remote_workers",Security,"Security Monitoring","Location of remote workers"
Amazon,"Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/IT_Modernization/Infrastructure_Monitoring/Managing_an_Amazon_Web_Services_environment/Logging_output_from_AWS_Cloudwatch","IT Modernization","Infrastructure Monitoring","Logging output from AWS Cloudwatch"
Amazon,"Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/IT_Modernization/Infrastructure_Monitoring/Managing_an_Amazon_Web_Services_environment/Logging_output_from_AWS_Lambda_functions","IT Modernization","Infrastructure Monitoring","Logging output from AWS Lambda functions"
"Microsoft Azure data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/IT_Modernization/Infrastructure_Monitoring/Managing_Azure_cloud_infrastructure/Logging_output_from_any_Azure_Event_Hub_logs","IT Modernization","Infrastructure Monitoring","Logging output from any Azure Event Hub logs"
"Web server data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Technology%2C_Communications%2C_and_Media/Managing_web_server_performance/Long-term_trends_in_web_server_user_load","Technology, Communications, and Media","Use cases for technology, communications and media","Long-term trends in web server user load"
"Web server data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Technology%2C_Communications%2C_and_Media/Managing_web_server_performance/Long-term_website_performance_trends","Technology, Communications, and Media","Use cases for technology, communications and media","Long-term website performance trends"
"Telephony data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Technology%2C_Communications%2C_and_Media/Monitoring_key_telecommunications_service_metrics/Longest_and_shortest_call_duration_by_destination","Technology, Communications, and Media","Use cases for technology, communications and media","Longest and shortest call duration by destination"
"Deep packet inspection data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Security/Threat_Hunting/Detecting_software_supply_chain_attacks/Lookup_table_creation_for_scalable_anomaly_detection_with_JA3%2F%2FJA3s_hashes",Security,"Threat Hunting","Lookup table creation for scalable anomaly detection with JA3/JA3s hashes"
"Microsoft Sysmon data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Security/Threat_Hunting/Reconstructing_a_website_defacement/MD5_hash_of_an_uploaded_file",Security,"Threat Hunting","MD5 hash of an uploaded file"
"DHCP data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Security/Compliance/Processing_DMCA_notices/Machine_leasing_an_IP_address_at_a_particular_time",Security,Compliance,"Machine leasing an IP address at a particular time"
"Linux and Unix","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/IT_Modernization/Infrastructure_Monitoring/Maintaining_*nix_systems_with_the_Splunk_platform","IT Modernization","Infrastructure Monitoring","Maintaining *nix systems with the Splunk platform"
Microsoft,"Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/IT_Modernization/Infrastructure_Monitoring/Maintaining_Microsoft_Windows_systems_with_the_Splunk_platform","IT Modernization","Infrastructure Monitoring","Maintaining Microsoft Windows systems with the Splunk platform"
"Linux and Unix","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/IT_Modernization/Infrastructure_Monitoring/Managing_*nix_system_user_account_behavior","IT Modernization","Infrastructure Monitoring","Managing *nix system user account behavior"
"Microsoft Azure data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/IT_Modernization/Infrastructure_Monitoring/Managing_Azure_cloud_infrastructure","IT Modernization","Infrastructure Monitoring","Managing Azure cloud infrastructure"
Cisco,"Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/IT_Modernization/Infrastructure_Monitoring/Managing_Cisco_IOS_devices","IT Modernization","Infrastructure Monitoring","Managing Cisco IOS devices"
"Dell EMC Isilon data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/IT_Modernization/Infrastructure_Monitoring/Managing_Dell_Isilion_network_attached_storage","IT Modernization","Infrastructure Monitoring","Managing Dell Isilion network attached storage"
"Microsoft 365 data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/IT_Modernization/Infrastructure_Monitoring/Managing_O365_workloads","IT Modernization","Infrastructure Monitoring","Managing O365 workloads"
Amazon,"Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/IT_Modernization/Infrastructure_Monitoring/Managing_an_Amazon_Web_Services_environment","IT Modernization","Infrastructure Monitoring","Managing an Amazon Web Services environment"
"Firewall data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Security/Security_Monitoring/Managing_firewall_rules",Security,"Security Monitoring","Managing firewall rules"
"Business service data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Technology%2C_Communications%2C_and_Media/Managing_prepaid_mobile_services","Technology, Communications, and Media","Use cases for technology, communications and media","Managing prepaid mobile services"
"Telephony data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Technology%2C_Communications%2C_and_Media/Managing_prepaid_mobile_services","Technology, Communications, and Media","Use cases for technology, communications and media","Managing prepaid mobile services"
Microsoft,"Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/IT_Modernization/Infrastructure_Monitoring/Managing_printers_in_a_Windows_environment","IT Modernization","Infrastructure Monitoring","Managing printers in a Windows environment"
"Business service data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Technology%2C_Communications%2C_and_Media/Managing_telecommunications_content_delivery","Technology, Communications, and Media","Use cases for technology, communications and media","Managing telecommunications content delivery"
"Telephony data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Technology%2C_Communications%2C_and_Media/Managing_telecommunications_content_delivery","Technology, Communications, and Media","Use cases for technology, communications and media","Managing telecommunications content delivery"
"Load balancer data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Technology%2C_Communications%2C_and_Media/Managing_web_server_performance","Technology, Communications, and Media","Use cases for technology, communications and media","Managing web server performance"
"Web server data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Technology%2C_Communications%2C_and_Media/Managing_web_server_performance","Technology, Communications, and Media","Use cases for technology, communications and media","Managing web server performance"
"*","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Security/Security_Monitoring/Masking_IP_addresses_from_a_specific_range",Security,"Security Monitoring","Masking IP addresses from a specific range"
"System log data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/IT_Modernization/Infrastructure_Monitoring/Measuring_memory_utilization_by_host","IT Modernization","Infrastructure Monitoring","Measuring memory utilization by host"
"System log data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/IT_Modernization/Infrastructure_Monitoring/Measuring_storage_I%2F%2FO_latency","IT Modernization","Infrastructure Monitoring","Measuring storage I/O latency"
"System log data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/IT_Modernization/Infrastructure_Monitoring/Measuring_storage_speed_I%2F%2FO_utilization_by_host","IT Modernization","Infrastructure Monitoring","Measuring storage speed I/O utilization by host"
Microsoft,"Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/IT_Modernization/Infrastructure_Monitoring/Maintaining_Microsoft_Windows_systems_with_the_Splunk_platform/Microsoft_recommended_application_log_events","IT Modernization","Infrastructure Monitoring","Microsoft recommended application log events"
Amazon,"Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/IT_Modernization/Infrastructure_Monitoring/Managing_an_Amazon_Web_Services_environment/Missing_AWS_resource_tags","IT Modernization","Infrastructure Monitoring","Missing AWS resource tags"
"Business service data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Financial_Services_and_Insurance/Monitoring_ATM_usage","Financial Services","Use cases for financial services","Monitoring ATM usage"
"DNS data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Security/Threat_Hunting/Monitoring_DNS_queries",Security,"Threat Hunting","Monitoring DNS queries"
"Authentication data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Security/Compliance/Monitoring_NIST_SP_800-53_rev5_control_families",Security,Compliance,"Monitoring NIST SP 800-53 rev5 control families"
Change,"Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Security/Compliance/Monitoring_NIST_SP_800-53_rev5_control_families",Security,Compliance,"Monitoring NIST SP 800-53 rev5 control families"
"Endpoint data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Security/Compliance/Monitoring_NIST_SP_800-53_rev5_control_families",Security,Compliance,"Monitoring NIST SP 800-53 rev5 control families"
"Intrusion Detection","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Security/Compliance/Monitoring_NIST_SP_800-53_rev5_control_families",Security,Compliance,"Monitoring NIST SP 800-53 rev5 control families"
Inventory,"Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Security/Compliance/Monitoring_NIST_SP_800-53_rev5_control_families",Security,Compliance,"Monitoring NIST SP 800-53 rev5 control families"
"Network Traffic","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Security/Compliance/Monitoring_NIST_SP_800-53_rev5_control_families",Security,Compliance,"Monitoring NIST SP 800-53 rev5 control families"
Performance,"Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Security/Compliance/Monitoring_NIST_SP_800-53_rev5_control_families",Security,Compliance,"Monitoring NIST SP 800-53 rev5 control families"
"Web server data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Security/Compliance/Monitoring_NIST_SP_800-53_rev5_control_families",Security,Compliance,"Monitoring NIST SP 800-53 rev5 control families"
"Business service data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/IT_Modernization/Application_Monitoring/Monitoring_Robotic_Process_Automation_(RPA)_systems","IT Modernization","Application Monitoring","Monitoring Robotic Process Automation (RPA) systems"
"VMware data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/IT_Modernization/Infrastructure_Monitoring/Monitoring_VMware_virtualization_infrastructure","IT Modernization","Infrastructure Monitoring","Monitoring VMware virtualization infrastructure"
Microsoft,"Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Security/Threat_Hunting/Monitoring_Windows_account_access",Security,"Threat Hunting","Monitoring Windows account access"
"DNS data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Security/Threat_Hunting/Monitoring_a_network_for_DNS_exfiltration",Security,"Threat Hunting","Monitoring a network for DNS exfiltration"
"Business service data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Manufacturing/Monitoring_and_troubleshooting_device_temperature",Manufacturing,"Use cases for manufacturing","Monitoring and troubleshooting device temperature"
"Physical card reader data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Security/Security_Monitoring/Monitoring_badges_for_facilities_access",Security,"Security Monitoring","Monitoring badges for facilities access"
"Business service data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Security/Compliance/Monitoring_consumer_bank_accounts_to_maintain_compliance",Security,Compliance,"Monitoring consumer bank accounts to maintain compliance"
"Business service data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Financial_Services_and_Insurance/Monitoring_consumer_credit_card_transactions","Financial Services","Use cases for financial services","Monitoring consumer credit card transactions"
"Business service data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Manufacturing/Monitoring_equipment_issues_in_real-time_with_predictive_maintenance",Manufacturing,"Use cases for manufacturing","Monitoring equipment issues in real-time with predictive maintenance"
"Firewall data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Security/Security_Monitoring/Monitoring_for_network_traffic_volume_outliers",Security,"Security Monitoring","Monitoring for network traffic volume outliers"
"Telephony data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Technology%2C_Communications%2C_and_Media/Monitoring_key_telecommunications_service_metrics","Technology, Communications, and Media","Use cases for technology, communications and media","Monitoring key telecommunications service metrics"
"System log data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/IT_Modernization/Infrastructure_Monitoring/Monitoring_log_volume_trends","IT Modernization","Infrastructure Monitoring","Monitoring log volume trends"
"Authentication data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Healthcare/Monitoring_medical_record_numbers_for_anomalous_access",Healthcare,"Use cases for healthcare","Monitoring medical record numbers for anomalous access"
"Medical device data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Healthcare/Monitoring_medical_record_numbers_for_anomalous_access",Healthcare,"Use cases for healthcare","Monitoring medical record numbers for anomalous access"
"Business service data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Financial_Services_and_Insurance/Monitoring_mobile_device_payments","Financial Services","Use cases for financial services","Monitoring mobile device payments"
"Authentication data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Financial_Services_and_Insurance/Monitoring_new_logins_to_financial_applications","Financial Services","Use cases for financial services","Monitoring new logins to financial applications"
"Business service data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Financial_Services_and_Insurance/Monitoring_payment_responses","Financial Services","Use cases for financial services","Monitoring payment responses"
"Network access control data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Technology%2C_Communications%2C_and_Media/Monitoring_usage_of_wireless_access_points","Technology, Communications, and Media","Use cases for technology, communications and media","Monitoring usage of wireless access points"
Amazon,"Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Security/Behavior_Analysis/Monitoring_user_activity_spikes_in_AWS",Security,"Behavior Analysis","Monitoring user activity spikes in AWS"
"APM tool data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/IT_Modernization/Application_Monitoring/Monitoring_web_application_performance","IT Modernization","Application Monitoring","Monitoring web application performance"
"Application server data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/IT_Modernization/Application_Monitoring/Monitoring_web_application_performance","IT Modernization","Application Monitoring","Monitoring web application performance"
"Business service data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Financial_Services_and_Insurance/Monitoring_wire_transfers","Financial Services","Use cases for financial services","Monitoring wire transfers"
"Web server data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Technology%2C_Communications%2C_and_Media/Managing_web_server_performance/Most_common_operating_system_and_browser_combination","Technology, Communications, and Media","Use cases for technology, communications and media","Most common operating system and browser combination"
"Authentication data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Security/Security_Monitoring/Securing_a_work-from-home_organization/Most_commonly_accessed_business_application",Security,"Security Monitoring","Most commonly accessed business application"
"Business service data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Financial_Services_and_Insurance/Detecting_ATM_fraud/Most_frequent_ATM_users","Financial Services","Use cases for financial services","Most frequent ATM users"
"Application server data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/IT_Modernization/Application_Monitoring/Monitoring_web_application_performance/Most_used_assets_of_a_web_application","IT Modernization","Application Monitoring","Most used assets of a web application"
