epoch,_time,customer,os,location,vendor,helpSection,responseTime
1555079872,2019/04/12 10:37:52 EDT,Shelly,IOS 12.2,rabbit hole,MoonPay,login,1
1555103052,2019/04/12 17:04:12 EDT,Keefe,Android 7.1,rabbit hole,MoonPay,bill entry,4
1555114961,2019/04/12 20:22:41 EDT,Olga,IOS 11,rose,MoonPay,bill review,1
1555081821,2019/04/12 11:10:21 EDT,Xavier,IOS 12.2,barnsville,ButterCupPay,bill submit,1
1555104085,2019/04/12 17:21:25 EDT,Carlos,Windows 10,oaktree,ButterCupPay,bill pay,4
1555109353,2019/04/12 18:49:13 EDT,Deborah,Android 8.0,oaktree,ButterCupPay,bill entry,2
1555075854,2019/04/12 09:30:54 EDT,Cadman,IOS 12.2,rose,ButterCupPay,bill entry,4
1555085540,2019/04/12 12:12:20 EDT,Graiden,Android 7.1,oaktree,MoonPay,bill review,2
1555081002,2019/04/12 10:56:42 EDT,Scott,Android 7.1,barnsville,SplunkPay,bill review,1
1555079587,2019/04/12 10:33:07 EDT,Quentin,IOS 11,rabbit hole,MoonPay,bill entry,4
1555097598,2019/04/12 15:33:18 EDT,Brooke,IOS 12.2,garden,SplunkPay,bill submit,1
1555083092,2019/04/12 11:31:32 EDT,Grant,IOS 11,rabbit hole,ButterCupPay,bill entry,3
1555095952,2019/04/12 15:05:52 EDT,Nichole,IOS 10.4,oaktree,ButterCupPay,login,3
1555100121,2019/04/12 16:15:21 EDT,Dante,Android 7.1,barnsville,MoonPay,bill pay,1
1555087481,2019/04/12 12:44:41 EDT,Rogan,Android 7.1,oaktree,ButterCupPay,bill pay,3
1555088184,2019/04/12 12:56:24 EDT,Hamilton,IOS 12.2,rabbit hole,SplunkPay,bill pay,1
1555091438,2019/04/12 13:50:38 EDT,Roth,Android 7.1,barnsville,ButterCupPay,bill pay,5
1555116259,2019/04/12 20:44:19 EDT,Kirk,Windows 10,rose,ButterCupPay,bill submit,4
1555077535,2019/04/12 09:58:55 EDT,Ivor,IOS 11,barnsville,ButterCupPay,bill entry,4
1555121591,2019/04/12 22:13:11 EDT,Lilah,IOS 10.4,garden,SplunkPay,bill pay,3
1555111340,2019/04/12 19:22:20 EDT,Sebastian,Android 7.1,oaktree,ButterCupPay,bill review,4
1555083710,2019/04/12 11:41:50 EDT,Nash,Windows 10,rose,MoonPay,login,1
1555095355,2019/04/12 14:55:55 EDT,Axel,IOS 11,rabbit hole,SplunkPay,bill submit,3
1555088700,2019/04/12 13:05:00 EDT,George,IOS 12.2,barnsville,ButterCupPay,bill pay,1
1555117976,2019/04/12 21:12:56 EDT,Nicole,IOS 11,rose,MoonPay,bill entry,2
1555105154,2019/04/12 17:39:14 EDT,Dane,Android 7.1,barnsville,SplunkPay,bill entry,2
1555101062,2019/04/12 16:31:02 EDT,George,Android 7.1,rose,SplunkPay,bill submit,1
1555113110,2019/04/12 19:51:50 EDT,Zachery,IOS 11,oaktree,ButterCupPay,bill pay,1
1555103574,2019/04/12 17:12:54 EDT,Kermit,Android 8.0,garden,SplunkPay,bill review,1
